iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ARM,Armenia,1992,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.661,16776.015,,,,,,,,15777785238.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3442820.0,57.757,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1993,,0.0,,0.0,,0.0,-23.893,-13.8,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.342,13070.321,,,,,,,,13153103273.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3363111.0,43.957,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1994,,0.0,,0.0,,0.0,-10.603,-4.661,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.923,11967.158,,,,,,,,13441652409.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3283664.0,39.296,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1995,,0.0,,0.0,,0.0,-1.911,-0.751,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.736,11980.378,,,,,,,,14085538893.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3217349.0,38.545,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1996,,0.0,,0.0,,0.0,28.01,10.796,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.435,15573.897,,,,,,,,14363170073.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3168213.0,49.341,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1997,,0.0,,0.0,,0.0,-15.725,-7.759,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.887,13272.018,,,,,,,,14402198321.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3133081.0,41.582,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1998,,0.0,,0.0,,0.0,6.273,2.608,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.977,14215.176,,,,,,,,14841953998.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3108691.0,44.191,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,1999,,0.0,,0.0,,0.0,-38.195,-16.879,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.839,8841.605,,,,,,,,14850691138.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3089020.0,27.312,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,2000,,0.0,,0.0,,0.0,7.549,2.062,0.0,0.0,,,,,,229.537,0.0,,,,,0.0,,0.0,0.0,5.21,0.0,0.0,2.53,2.53,1.25,1.84,0.0,0.0,0.0,1.25,0.0,0.0,5.62,1.29,1.927,9569.225,,,,,,824.212,45.018,15244832384.0,45.018,,,,,824.212,,0.0,0.0,22.242,,,,,407.22,,54.982,3.09,1006.647,,,,,,-7.869,-0.41,32.74,,,,,599.427,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1830.859,3069597.0,29.374,407.22,22.242,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
ARM,Armenia,2001,,0.0,,0.0,,0.0,-1.656,-0.487,0.0,0.0,,,,,,236.984,0.0,,,,,0.0,,0.0,0.0,5.2,0.0,0.0,2.62,2.62,0.96,1.99,0.0,0.0,0.0,0.96,0.0,0.0,5.57,1.32,1.785,9469.055,,,,,,858.823,47.038,16184125852.0,47.038,,,,,858.823,,0.0,0.0,17.235,,,,,314.683,,52.962,2.95,966.996,,,,,,-7.115,-0.37,35.727,,,,,652.312,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1825.819,3050686.0,28.887,314.683,17.235,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
