iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Asia Pacific,1965,,,,,,,,,,,,,,,,,,,53.523,,2780.731,,,,,,,,,,156.09,0.025,,,1.644,157.734,0.0,0.0,,,,,,91.565,,4757.154,,,,,,,1.082,,56.232,,,,,,,8.346,,433.582,,,,157.759,,,8.435,,438.219,,,,,,0.001,,0.069,,,,,36.96,,1920.187,,,522.246,,,,,0.088,,4.567,,,,,,5195.369,,,,8.433,,438.149,,,,0.0,,0.0,,,,,0.0,,0.0,,
,Asia Pacific,1966,,,,,11.373,59.395,8.585,446.027,,,,,,,,,,5.422,51.964,150.781,2931.512,,,,,,,,,,162.312,0.584,,,1.643,163.955,0.0,0.0,,,,,8.98,91.898,427.193,5184.348,,,,,,10.95,1.106,6.157,62.389,,,,,,3.986,7.992,17.284,450.867,,,,164.539,,4.298,8.102,18.834,457.053,,,,,2236.0,0.029,1.553,1.622,,,,14.074,38.828,270.255,2190.442,,,581.64,,,,-0.061,0.081,-0.003,4.564,,,,,,5641.396,,,3.944,8.073,17.281,455.43,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1967,,,,,6.027,35.056,4.731,266.902,,,,,,,,,,-2.634,48.31,-77.214,2854.299,,,,,,,,,,152.867,0.629,,,1.424,154.291,0.0,0.0,,,,,5.664,92.716,293.622,5477.969,,,,,,14.429,1.208,9.002,71.392,,,,,,-5.819,7.187,-26.236,424.63,,,,154.92,,-5.846,7.284,-26.72,430.333,,,,,7.705,0.03,0.125,1.747,,,,16.519,43.198,361.833,2552.275,,,616.696,,,,-13.329,0.067,-0.608,3.956,,,,,,5908.297,,,-5.894,7.254,-26.845,428.586,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1968,,,,,17.017,104.944,7.769,459.019,,,,,,,,,,1.487,45.494,42.435,2896.733,,,,,,,,,,168.249,1.044,,,1.577,169.826,0.0,0.0,,,,,7.571,92.546,414.713,5892.682,,,,,,9.002,1.222,6.427,77.818,,,,,,10.063,7.34,42.729,467.359,,,,170.87,,10.296,7.454,44.307,474.64,,,,,65.978,0.046,1.153,2.9,,,,14.334,45.83,365.852,2918.126,,,721.64,,,,10.744,0.069,0.425,4.381,,,,,,6367.316,,,10.069,7.409,43.154,471.74,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1969,,,,,15.11,109.037,13.635,868.163,,,,,,,,,,12.202,44.92,353.455,3250.188,,,,,,,,,,174.164,1.807,,,1.608,175.772,0.0,0.0,,,,,14.417,93.183,849.529,6742.211,,,,,,31.847,1.418,24.782,102.6,,,,,,3.515,6.686,16.43,483.789,,,,177.579,,3.926,6.817,18.635,493.274,,,,,73.063,0.069,2.119,5.019,,,,16.15,46.844,471.292,3389.417,,,830.677,,,,1.966,0.062,0.086,4.467,,,,,,7235.479,,,3.501,6.748,16.516,488.255,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1970,,,,,38.279,317.978,13.843,1001.601,,,,,,,,,,11.721,44.083,380.951,3631.139,,,,,,,,,,180.71,5.889,,,1.777,182.487,0.0,0.0,,,,,14.411,93.647,971.609,7713.82,,,,,,38.717,1.728,39.724,142.325,,,151.017,,,3.759,6.094,18.184,501.973,,,,188.376,,6.08,6.353,29.992,523.267,,,,,225.947,0.199,11.34,16.359,,,,16.255,47.837,550.934,3940.351,,,1148.655,,,,10.492,0.06,0.469,4.935,,,,,,8237.08,,,3.82,6.154,18.653,506.908,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1971,,,18.27,27.591,20.083,230.688,9.518,783.992,,,,,,,,,,7.042,43.086,255.714,3886.852,,,,,,,,,,199.282,9.031,,,1.755,201.037,0.0,0.0,,,,,9.382,93.532,723.737,8437.557,,,,,,19.13,1.879,27.226,169.551,,,178.608,,,10.277,6.136,51.589,553.562,,,,210.068,,11.515,6.468,60.255,583.522,,,,,53.348,0.278,8.727,25.086,,,,11.187,48.566,440.797,4381.147,,,1379.343,,,,-1.243,0.054,-0.061,4.874,,,,,,9021.072,,,10.165,6.19,51.528,558.436,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1972,,,16.27,29.06,17.774,245.164,5.917,533.782,,,,,,,,,,3.852,42.246,149.739,4036.591,,,,,,,,,,205.116,10.607,,,1.786,206.902,0.0,0.0,,,,,6.081,93.677,513.113,8950.671,,,,,,15.844,2.056,26.864,196.415,,,207.667,,,2.927,5.963,16.205,569.767,,,,217.509,,3.542,6.323,20.669,604.191,,,,,17.452,0.308,4.378,29.464,,,,7.681,49.374,336.51,4717.657,,,1624.508,,,,1.766,0.052,0.086,4.96,,,,,,9554.854,,,2.917,6.015,16.291,574.727,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1973,,,24.101,50.051,19.395,315.069,8.014,765.732,,,,,,,,,,2.418,40.058,97.585,4134.176,,,,,,,,,,194.012,12.04,,,1.835,195.847,0.0,0.0,,,,,8.854,94.405,792.459,9743.13,,,,,,23.418,2.349,45.996,242.411,,,257.718,,,-5.414,5.222,-30.846,538.922,,,,207.887,,-4.423,5.595,-26.726,577.465,,,,,13.515,0.324,3.982,33.446,,,,13.754,51.998,648.878,5366.534,,,1939.577,,,,2.767,0.049,0.137,5.097,,,,,,10320.586,,,-5.343,5.271,-30.708,544.019,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Asia Pacific,1974,,,21.648,55.791,6.612,128.249,2.147,221.626,,,,,,,,,,2.432,40.169,100.56,4234.736,,,,,,,,,,217.905,22.028,,,2.496,220.401,0.0,0.0,,,,,1.29,93.612,125.676,9868.806,,,,,,24.72,2.868,59.925,302.336,,,313.509,,,12.315,5.742,66.369,605.291,,,,242.429,,16.616,6.388,95.95,673.414,,,,,82.95,0.58,27.743,61.189,,,,-0.649,50.575,-34.808,5331.726,,,2067.826,,,,36.037,0.066,1.837,6.934,,,,,,10542.212,,,12.537,5.807,68.206,612.225,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
