iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AUS,Australia,1900,,,,,,,,,,,,,,,,,,,,,,,,42.519,11512.229,,,,,,,,,,,,,,,,,,,,,,,,,23931177000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3693392.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1901,7.814,3.323,,0.0,,0.0,,,,,,,,,,,,,,,,,,45.842,12207.953,,,,,,,,,,,,,,,,,,,,,,,,,23221605000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3755077.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1902,-0.357,-0.164,,0.0,,0.0,,,,,,,,,,,,,,,,,,45.678,11971.35,,,,,,,,,,,,,,,,,,,,,,,,,23461900000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3815607.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1903,3.673,1.678,,0.0,,0.0,,,,,,,,,,,,,,,,,,47.356,12221.05,,,,,,,,,,,,,,,,,,,,,,,,,25312312000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3874926.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1904,-3.626,-1.717,,0.0,,0.0,,,,,,,,,,,,,,,,,,45.639,11597.639,,,,,,,,,,,,,,,,,,,,,,,,,27014316000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3935167.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1905,9.348,4.266,,0.0,,0.0,,,,,,,,,,,,,,,,,,49.905,12487.656,,,,,,,,,,,,,,,,,,,,,,,,,27327300000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3996345.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1906,14.695,7.333,,0.0,,0.0,,,,,,,,,,,,,,,,,,57.238,14103.422,,,,,,,,,,,,,,,,,,,,,,,,,29181408000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4058473.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1907,12.617,7.222,,0.0,,0.0,,,,,,,,,,,,,,,,,,64.46,15639.758,,,,,,,,,,,,,,,,,,,,,,,,,30366466000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4121568.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1908,5.297,3.414,,0.0,,0.0,,,,,,,,,,,,,,,,,,67.875,16216.08,,,,,,,,,,,,,,,,,,,,,,,,,31397757000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4185642.0,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,1909,-19.697,-13.369,,0.0,,0.0,,,,,,,,,,,,,,,,,,54.506,12810.462,,,,,,,,,,,,,,,,,,,,,,,,,33967320000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4254768.0,,,,,,,,,,,,,,,,,,,,,,
