iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AUT,Austria,1900,,,,,,,,,,,,,,,,,,,,,,,,172.526,28854.432,,,,,,,,,,,,,,,,,,,,,,,,,27439962000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5979177.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1901,5.607,9.674,,0.0,,0.0,,,,,,,,,,,,,,,,,,182.199,30162.66,,,,,,,,,,,,,,,,,,,,,,,,,27549775000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6040558.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1902,-3.808,-6.937,,0.0,,0.012,,,,,,,,,,,,,,,,,,175.262,28719.386,,,,,,,,,,,,,,,,,,,,,,,,,28628706000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1.906,,,,,,,,,,,6102566.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1903,2.144,3.757,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,179.019,29037.006,,,,,,,,,,,,,,,,,,,,,,,,,28896832000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1.886,,,,,,,,,,,6165209.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1904,1.317,2.357,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,181.376,29120.374,,,,,,,,,,,,,,,,,,,,,,,,,29346336000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1.867,,,,,,,,,,,6228494.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1905,4.717,8.555,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,189.931,30184.022,,,,,,,,,,,,,,,,,,,,,,,,,30988100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1.848,,,,,,,,,,,6292428.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1906,6.8,12.915,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,202.846,31908.947,,,,,,,,,,,,,,,,,,,,,,,,,32179134000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1.829,,,,,,,,,,,6357019.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1907,5.492,11.141,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,213.987,33319.484,,,,,,,,,,,,,,,,,,,,,,,,,34166141000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,1.811,,,,,,,,,,,6422273.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1908,0.936,2.004,,0.0,100.0,0.012,,,,,,,,,,,,,,,,,,215.991,33289.76,,,,,,,,,,,,,,,,,,,,,,,,,34318620000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,3.585,,,,,,,,,,,6488197.0,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,1909,-1.833,-3.959,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,212.031,32430.53,,,,,,,,,,,,,,,,,,,,,,,,,34204100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,3.558,,,,,,,,,,,6538011.0,,,,,,,,,,,,,,,,,,,,,,
