iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AZE,Azerbaijan,1985,,,,,,,,,,,,,,,,,,,0.456,,1.07,,160.499,,,,,,,,1.313,0.0,,,0.0,1.313,0.0,0.0,20.702,,4.101,35176.344,,98.445,,230.855,34629.453,,,57181877346.0,,,56.545,,132.6,,19890.629,137.172,20576.497,6.34,,1.555,,3.646,196.891,546.919,6.34,1.313,196.891,,1.555,,3.646,546.919,,,0.0,,0.0,,0.0,0.0,0.0,,,41.444,,97.186,,14578.324,153.865,23080.496,,0.0,,0.0,,0.0,,0.0,0.0,3105.402,6666447.0,234.501,196.891,6.34,,1.555,,3.646,546.919,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
AZE,Azerbaijan,1986,,,-3.34,-4.582,-1.361,-2.093,7.655,17.951,,,,,,,,,,0.0,0.424,0.0,1.07,,157.843,,,,,,,,0.804,0.0,,,0.0,0.804,0.0,0.0,21.542,,4.3,37242.393,8.387,99.115,19.363,250.218,36912.82,,,58704585599.0,,11.109,58.36,14.731,147.331,,21734.621,132.59,19559.992,3.734,-38.721,0.885,-1.412,2.234,118.657,329.603,3.734,0.804,118.657,-38.721,0.885,-1.412,2.234,329.603,,,0.0,,0.0,0.0,0.0,0.0,0.0,,4.766,40.331,4.632,101.817,,15020.356,151.772,22389.698,,0.0,,0.0,0.0,0.0,,0.0,0.0,3177.928,6778631.0,252.452,118.657,3.734,-38.721,0.885,-1.412,2.234,329.603,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1987,,,-8.088,-10.724,6.59,10.002,-3.093,-7.809,,,,,,,,,,0.0,0.437,0.0,1.07,,155.213,,,,,,,,0.804,0.0,,,0.0,0.804,0.0,0.0,22.909,,3.957,35489.118,-3.121,99.087,-7.809,242.41,35165.036,,,61831432110.0,,-1.234,59.479,-1.818,145.513,,21108.73,121.866,17678.397,3.511,0.0,0.913,0.0,2.234,116.68,324.111,3.511,0.804,116.68,0.0,0.913,0.0,2.234,324.111,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-5.884,39.17,-5.99,95.827,,13901.092,161.773,23467.561,,0.0,,0.0,0.0,0.0,,0.0,0.0,3323.282,6893486.0,244.644,116.68,3.511,0.0,0.913,0.0,2.234,324.111,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1988,,,-4.8,-5.85,-1.222,-1.977,0.083,0.203,,,,,,,,,,0.0,0.437,0.0,1.07,,152.633,,,,,,,,0.698,0.0,,,0.0,0.698,0.0,0.0,23.572,,3.763,34928.142,0.205,99.208,0.498,242.908,34651.476,,,65070243744.0,,-1.25,58.687,-1.818,143.694,,20498.423,116.016,16550.04,2.962,-13.187,0.792,-0.295,1.94,99.609,276.693,2.962,0.698,99.609,-13.187,0.792,-0.295,1.94,276.693,,,0.0,,0.0,0.0,0.0,0.0,0.0,,2.417,40.083,2.316,98.143,,14000.421,159.796,22795.376,,0.0,,0.0,0.0,0.0,,0.0,0.0,3362.612,7010027.0,244.847,99.609,2.962,-13.187,0.792,-0.295,1.94,276.693,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1989,,,-6.723,-7.799,-4.221,-6.745,1.975,4.836,,,,,,,,,,0.0,0.429,0.0,1.07,,150.13,,,,,,,,0.698,0.0,,,0.0,0.698,0.0,0.0,23.3,,4.175,35034.0,1.991,99.223,4.836,247.744,34761.871,,,59803710435.0,,5.065,60.466,7.278,150.972,,21183.518,108.217,15184.325,2.997,0.0,0.777,0.0,1.94,97.976,272.157,2.997,0.698,97.976,0.0,0.777,0.0,1.94,272.157,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-2.488,38.329,-2.442,95.701,,13428.223,153.051,21475.157,,0.0,,0.0,0.0,0.0,,0.0,0.0,3269.314,7126877.0,249.683,97.976,2.997,0.0,0.777,0.0,1.94,272.157,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1990,,,-10.811,-11.699,-5.015,-7.676,4.134,10.323,,,,,,,,,,-3.261,0.398,-0.035,1.035,,142.911,,,,,,,,1.658,0.0,,,0.0,1.658,0.0,0.0,23.152,,4.884,35898.695,3.091,98.229,7.657,255.4,35262.839,,,53235602172.0,,1.986,59.218,2.998,153.97,,21258.508,96.518,13326.097,7.161,137.446,1.771,2.666,4.606,228.918,635.885,7.161,1.658,228.918,137.446,1.771,2.666,4.606,635.885,,,0.0,,0.0,0.0,0.0,0.0,0.0,,4.904,38.613,4.694,100.395,,13861.42,145.375,20071.774,,0.0,,0.0,0.0,0.0,,0.0,0.0,3196.572,7242758.0,260.006,228.918,7.161,137.446,1.771,2.666,4.606,635.885,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1991,,,-13.131,-12.674,-5.81,-8.447,-3.926,-10.207,,,,,,,,,,-24.719,0.312,-0.256,0.779,,105.901,,,,,,,,1.759,0.0,,,0.0,1.759,0.0,0.0,23.45,,4.676,33949.443,-4.107,98.044,-10.489,244.911,33285.298,,,53426624440.0,,-4.312,58.98,-6.639,147.331,,20023.386,83.844,11394.983,7.503,6.11,1.956,0.281,4.887,239.102,664.173,7.503,1.759,239.102,6.11,1.956,0.281,4.887,664.173,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-3.58,38.752,-3.594,96.801,,13156.011,136.928,18609.562,,0.0,,0.0,0.0,0.0,,0.0,0.0,3186.963,7357945.0,249.798,239.102,7.503,6.11,1.956,0.281,4.887,664.173,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1992,,,-8.14,-6.824,-4.909,-6.722,-14.373,-35.902,,,,,,,,,,-82.09,0.065,-0.64,0.14,,18.678,0.0,0.0,,,,,,1.747,0.0,,,0.0,1.747,0.0,0.0,19.763,,5.118,28626.592,-14.646,97.731,-35.869,209.042,27977.035,,,41795271192.0,,-22.227,53.57,-32.748,114.583,,15335.163,77.019,10307.81,8.841,-0.682,2.269,-0.033,4.854,233.849,649.58,8.841,1.747,233.849,-0.682,2.269,-0.033,4.854,649.58,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-2.564,44.096,-2.482,94.319,,12623.194,130.206,17426.033,,0.0,,0.0,0.0,0.0,,0.0,0.0,2644.914,7471924.0,213.896,233.849,8.841,-0.682,2.269,-0.033,4.854,649.58,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1993,,0.0,-13.924,-10.724,-8.435,-10.983,-13.318,-28.487,,,,,,,,,,-75.0,0.019,-0.105,0.035,,4.602,0.0,0.0,,,,,,2.426,0.0,,,0.0,2.426,0.0,0.0,19.051,,5.707,24454.62,-14.529,96.365,-30.372,178.67,23565.809,,,32486442076.0,,-26.185,45.618,-30.003,84.58,,11155.703,66.295,8744.017,12.734,38.843,3.635,1.885,6.739,319.979,888.831,12.734,2.426,319.979,38.843,3.635,1.885,6.739,888.831,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.28,50.729,-0.264,94.055,,12405.504,119.223,15724.939,,0.0,,0.0,0.0,0.0,,0.0,0.0,2512.743,7581754.0,185.409,319.979,12.734,38.843,3.635,1.885,6.739,888.831,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AZE,Azerbaijan,1994,,0.0,-5.882,-3.9,-6.716,-8.007,-8.09,-15.0,,,,,,,,,,33.333,0.027,0.012,0.047,,6.054,0.0,0.0,,,,,,1.83,0.0,,,0.0,1.83,0.0,0.0,17.571,,6.462,22177.978,-7.469,97.017,-13.344,165.326,21516.422,,,26372109694.0,,-6.455,46.43,-5.46,79.12,,10297.144,62.395,8120.469,10.415,-24.567,2.983,-1.656,5.083,238.166,661.574,10.415,1.83,238.166,-24.567,2.983,-1.656,5.083,661.574,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-8.395,50.56,-7.896,86.159,,11213.224,111.215,14474.186,,0.0,,0.0,0.0,0.0,,0.0,0.0,2286.788,7683704.0,170.409,238.166,10.415,-24.567,2.983,-1.656,5.083,661.574,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
