iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BRB,Barbados,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.379,16962.009,,,,,,,,3104136000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252388.0,4.281,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1981,,0.0,,,,,4.072,0.174,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.465,17589.416,,,,,,,,3040380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253296.0,4.455,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1982,,0.0,,,,,1.389,0.062,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.563,17778.882,,,,,,,,2890272000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254078.0,4.517,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1983,,0.0,,,,,5.481,0.248,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.636,18700.815,,,,,,,,2911845000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254791.0,4.765,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1984,,0.0,,,,,-3.641,-0.173,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.524,17970.458,,,,,,,,3013632000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255493.0,4.591,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1985,,0.0,,,,,10.519,0.483,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.666,19801.257,,,,,,,,3044936000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256260.0,5.074,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1986,,0.0,,,,,4.879,0.248,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.663,20698.152,,,,,,,,3200232000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257117.0,5.322,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1987,,0.0,,,,,-4.786,-0.255,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.543,19639.251,,,,,,,,3284897000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258012.0,5.067,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1988,,0.0,,,,,-5.837,-0.296,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.402,18424.505,,,,,,,,3402620000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258970.0,4.771,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1989,,0.0,,,,,8.839,0.422,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.474,19976.69,,,,,,,,3522978000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259961.0,5.193,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1990,,0.0,,,,,5.939,0.308,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.616,21084.339,,,,,,,,3404428000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260933.0,5.502,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1991,,0.0,,,,,1.115,0.061,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.72,21239.817,,,,,,,,3234507078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261911.0,5.563,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1992,,0.0,,,,,5.635,0.313,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.941,22353.159,,,,,,,,3028225622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262890.0,5.876,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1993,,0.0,,,,,-2.545,-0.15,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.898,21703.404,,,,,,,,3017396908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263869.0,5.727,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1994,,0.0,,,,,-5.161,-0.296,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.784,20503.687,,,,,,,,3045284466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264893.0,5.431,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1995,,0.0,,,,,3.784,0.206,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.833,21194.58,,,,,,,,3074994212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265955.0,5.637,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1996,,0.0,,,,,-10.214,-0.576,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.6,18951.911,,,,,,,,3163662032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267047.0,5.061,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1997,,0.0,,,,,20.392,1.032,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.861,22719.857,,,,,,,,3273617376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268183.0,6.093,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1998,,0.0,,,,,1.571,0.096,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.844,22978.078,,,,,,,,3356270420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269334.0,6.189,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,1999,,0.0,,,,,4.691,0.29,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.939,23956.301,,,,,,,,3340959940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270455.0,6.479,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,2000,,0.0,,,,,7.506,0.486,0.0,0.0,,,,,,697.368,0.0,,,,,0.0,,0.0,0.0,0.76,0.0,0.0,0.76,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.76,0.53,2.018,25654.274,,,,,,2799.15,100.0,3452406192.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,2799.15,,,,0.0,0.0,,,,,0.0,0.0,,2799.15,271511.0,6.965,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
BRB,Barbados,2001,,0.0,,,,,0.06,0.004,0.0,0.0,,,,,,700.0,0.0,,,,,0.0,,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.56,2.092,25576.967,,,,,,2935.844,100.0,3330849802.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,2935.844,,,,0.0,0.0,,,,,0.0,0.0,,2935.844,272494.0,6.97,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
BRB,Barbados,2002,,0.0,,,,,0.673,0.047,0.0,0.0,,,,,,698.795,0.0,,,,,0.0,,0.0,0.0,0.83,0.0,0.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.83,0.58,2.114,25661.614,,,,,,3035.59,100.0,3319030630.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,3035.59,,,,0.0,0.0,,,,,0.0,0.0,,3035.59,273423.0,7.016,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
BRB,Barbados,2003,,0.0,,,,,1.066,0.075,0.0,0.0,,,,,,701.149,0.0,,,,,0.0,,0.0,0.0,0.87,0.0,0.0,0.87,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.87,0.61,2.109,25849.419,,,,,,3171.351,100.0,3362359737.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,3171.351,,,,0.0,0.0,,,,,0.0,0.0,,3171.351,274331.0,7.091,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
BRB,Barbados,2004,,0.0,,,,,0.745,0.053,0.0,0.0,,,,,,700.0,0.0,,,,,0.0,,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.63,2.12,25952.009,,,,,,3269.363,100.0,3369967176.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,3269.363,,,,0.0,0.0,,,,,0.0,0.0,,3269.363,275283.0,7.144,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
BRB,Barbados,2005,,0.0,,,,,0.774,0.055,0.0,0.0,,,,,,705.263,0.0,,,,,0.0,,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.67,2.077,26054.629,,,,,,3438.043,100.0,3466246056.0,0.0,,,,,0.0,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,3438.043,,,,0.0,0.0,,,,,0.0,0.0,,3438.043,276320.0,7.199,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
