iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BLR,Belarus,1985,,,,,,,,,,,,,,,,,,,6.154,,25.112,,2536.224,,,,,,,,0.02,0.0,,,0.0,0.02,0.0,0.0,33.175,,3.716,41209.959,,99.986,,407.985,41204.381,,,109799184000.0,,,21.207,,86.532,,8739.279,,,0.06,,0.014,,0.056,2.02,5.611,0.06,0.02,2.02,,0.014,,0.056,5.611,,,0.0,,0.0,,0.0,0.0,0.0,,,72.625,,296.34,,29928.879,,,,0.0,,0.0,,0.0,,0.0,0.0,3350.505,9901493.0,408.04,2.02,0.06,,0.014,,0.056,5.611,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
BLR,Belarus,1986,,,,,,,14.164,57.795,,,,,,,,,,9.396,5.897,2.36,27.472,,2756.79,,,,,,,,0.02,0.0,,,0.0,0.02,0.0,0.0,36.282,,4.13,46746.258,14.166,99.988,57.795,465.78,46740.72,,,112796186320.0,,1.915,18.931,1.657,88.189,,8849.695,,,0.055,0.0,0.012,0.0,0.056,2.007,5.575,0.055,0.02,2.007,0.0,0.012,0.0,0.056,5.575,,,0.0,,0.0,0.0,0.0,0.0,0.0,,18.147,75.159,53.778,350.119,,35134.235,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,3640.878,9965178.0,465.835,2.007,0.055,0.0,0.012,0.0,0.056,5.575,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1987,,,,,,,1.456,6.781,,,,,,,,,,-2.771,5.652,-0.761,26.711,,2664.004,,,,,,,,0.02,0.0,,,0.0,0.02,0.0,0.0,37.453,,4.143,47136.807,1.456,99.988,6.781,472.561,47131.304,,,114070847462.0,,12.875,21.062,11.355,99.543,,9928.072,,,0.053,0.0,0.012,0.0,0.056,1.995,5.541,0.053,0.02,1.995,0.0,0.012,0.0,0.056,5.541,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-1.089,73.274,-3.812,346.306,,34539.227,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,3735.412,10026470.0,472.616,1.995,0.053,0.0,0.012,0.0,0.056,5.541,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1988,,,,,,,1.436,6.786,,,,,,,,,,7.135,5.969,1.906,28.616,,2838.585,,,,,,,,0.02,0.0,,,0.0,0.02,0.0,0.0,38.15,,4.218,47553.958,1.436,99.988,6.786,479.346,47548.485,,,113655355176.0,,15.789,24.043,15.717,115.26,,11433.195,,,0.052,0.0,0.012,0.0,0.056,1.984,5.511,0.052,0.02,1.984,0.0,0.012,0.0,0.056,5.511,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-3.129,69.977,-10.837,335.469,,33276.705,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,3784.268,10081209.0,479.401,1.984,0.052,0.0,0.012,0.0,0.056,5.511,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1989,,,,,,,-3.284,-15.744,,,,,,,,,,-1.831,6.059,-0.524,28.092,,2774.821,,,,,,,,0.02,0.0,,,0.0,0.02,0.0,0.0,38.489,,3.828,45797.814,-3.285,99.988,-15.744,463.602,45792.363,,,121119311012.0,,5.311,26.179,6.122,121.382,,11989.573,,,0.052,0.0,0.012,0.0,0.056,1.976,5.488,0.052,0.02,1.976,0.0,0.012,0.0,0.056,5.488,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-6.362,67.75,-21.342,314.127,,31027.969,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,3801.758,10124000.0,463.657,1.976,0.052,0.0,0.012,0.0,0.056,5.488,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1990,,,,,,,-4.117,-19.088,,,,,,,,,,-12.039,5.558,-3.382,24.71,,2434.232,,,,,,,,0.02,0.0,,,0.0,0.02,0.0,0.0,39.526,,3.801,43794.982,-4.117,99.988,-19.088,444.514,43789.545,,,116974867000.0,,6.544,29.09,7.943,129.325,,12739.968,,,0.051,0.0,0.012,0.0,0.056,1.97,5.473,0.051,0.02,1.97,0.0,0.012,0.0,0.056,5.473,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-7.528,65.339,-23.649,290.478,,28615.344,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,3893.752,10151135.0,444.569,1.97,0.051,0.0,0.012,0.0,0.056,5.473,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1991,,,,,,,-1.081,-4.804,,,,,,,,,,-5.006,5.338,-1.237,23.473,,2310.173,,,,,,,,0.018,0.0,,,0.0,0.018,0.0,0.0,38.735,,3.857,43280.605,-1.079,99.989,-4.798,439.715,43275.719,,,114005495316.0,,4.658,30.778,6.024,135.349,,13320.709,,,0.046,-10.0,0.011,-0.006,0.05,1.772,4.921,0.046,0.018,1.772,-10.0,0.011,-0.006,0.05,4.921,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-3.3,63.873,-9.585,280.893,,27644.836,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,3812.205,10160785.0,439.765,1.772,0.046,-10.0,0.011,-0.006,0.05,4.921,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1992,,,,,,,-5.389,-23.697,,,,,,,,,,-16.713,4.699,-3.923,19.55,,1925.306,0.0,0.0,,,,,,0.017,0.0,,,0.0,0.017,0.0,0.0,37.595,,4.084,40974.384,-5.389,99.989,-23.694,416.021,40969.767,,,101880773333.0,,16.128,37.777,21.83,157.178,,15478.943,3.115,306.751,0.045,-5.556,0.011,-0.003,0.047,1.674,4.65,0.045,0.017,1.674,-5.556,0.011,-0.003,0.047,4.65,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-14.81,57.513,-41.601,239.292,,23565.518,25.251,2486.709,,0.0,,0.0,0.0,0.0,,0.0,0.0,3702.359,10154338.0,416.068,1.674,0.045,-5.556,0.011,-0.003,0.047,4.65,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1993,,0.0,0.0,0.0,-0.273,-0.069,-19.911,-82.845,,,,,,,,,,-14.118,5.039,-2.76,16.79,,1656.621,0.0,0.0,,,,,,0.019,0.0,,,0.0,0.019,0.0,0.0,33.369,,3.581,32877.963,-19.915,99.984,-82.851,333.17,32872.782,,,93050202894.0,,-7.218,43.764,-11.345,145.833,,14388.863,3.115,307.332,0.057,11.765,0.016,0.006,0.053,1.875,5.207,0.057,0.019,1.875,11.765,0.016,0.006,0.053,5.207,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-28.729,51.181,-68.745,170.547,,16827.299,25.182,2484.614,,0.0,,0.0,0.0,0.0,,0.0,0.0,3292.409,10135133.0,333.223,1.875,0.057,11.765,0.016,0.006,0.053,5.207,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
BLR,Belarus,1994,,0.0,0.0,0.0,-0.623,-0.157,-16.668,-55.542,,,,,,,,,,-29.936,4.236,-5.026,11.764,,1163.775,0.0,0.0,,,,,,0.019,0.0,,,0.0,0.019,0.0,0.0,31.397,,3.419,27470.62,-16.671,99.981,-55.542,277.628,27465.42,,,81212697200.0,,-12.581,45.911,-18.347,127.486,,12612.01,3.115,308.148,0.061,0.0,0.019,0.0,0.053,1.88,5.221,0.061,0.019,1.88,0.0,0.019,0.0,0.053,5.221,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-18.862,49.834,-32.168,138.379,,13689.635,25.025,2475.687,,0.0,,0.0,0.0,0.0,,0.0,0.0,3106.068,10108280.0,277.681,1.88,0.061,0.0,0.019,0.0,0.053,5.221,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
