iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BEL,Belgium,1900,,,,,,,,,,,,,,,,,,,,,,,,174.776,26017.322,,,,,,,,,,,,,,,,,,,,,,,,,39957893000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6717693.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1901,-5.323,-9.304,,0.0,,,,,,,,,,,,,,,,,,,,165.473,24376.014,,,,,,,,,,,,,,,,,,,,,,,,,40316328000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6788335.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1902,2.985,4.939,,0.0,,,,,,,,,,,,,,,,,,,,170.411,24836.207,,,,,,,,,,,,,,,,,,,,,,,,,41141880000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6861404.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1903,4.022,6.853,,0.0,,,,,,,,,,,,,,,,,,,,177.264,25553.681,,,,,,,,,,,,,,,,,,,,,,,,,42072961000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6936940.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1904,-4.353,-7.717,,0.0,,,,,,,,,,,,,,,,,,,,169.547,24175.06,,,,,,,,,,,,,,,,,,,,,,,,,43160826000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7013309.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1905,-4.332,-7.345,,0.0,,,,,,,,,,,,,,,,,,,,162.202,22875.964,,,,,,,,,,,,,,,,,,,,,,,,,44398900000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7090518.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1906,8.243,13.371,,0.0,,,,,,,,,,,,,,,,,,,,175.573,24492.089,,,,,,,,,,,,,,,,,,,,,,,,,45318952000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7168577.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1907,0.573,1.006,,0.0,,,,,,,,,,,,,,,,,,,,176.579,24364.148,,,,,,,,,,,,,,,,,,,,,,,,,45994584000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7247495.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1908,-0.578,-1.021,,0.0,,,,,,,,,,,,,,,,,,,,175.559,23959.57,,,,,,,,,,,,,,,,,,,,,,,,,46459559000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7327282.0,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,1909,-0.212,-0.372,,0.0,,,,,,,,,,,,,,,,,,,,175.186,23697.802,,,,,,,,,,,,,,,,,,,,,,,,,47335740000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7392503.0,,,,,,,,,,,,,,,,,,,,,,
