iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BTN,Bhutan,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.597,,,,,,,,,,,,,,,,,97.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406883.0,0.04,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1981,79.821,0.0,,,,,266.476,0.105,,,,,,,,,,,,,,,,0.0,1.045,,,,,,,,,,,,,,,,,346.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418107.0,0.145,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1982,11.409,0.0,,,,,3.008,0.004,,,,,,,,,,,,,,,,0.0,1.135,,,,,,,,,,,,,,,,,348.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428938.0,0.149,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1983,99.999,0.0,,,,,-1.728,-0.003,,,,,,,,,,,,,,,,0.001,2.214,,,,,,,,,,,,,,,,,333.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439823.0,0.147,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1984,100.0,0.001,,,,,3.381,0.005,,,,,,,,,,,,,,,,0.002,4.314,,,,,,,,,,,,,,,,,336.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451471.0,0.152,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1985,24.849,0.0,,,,,7.95,0.012,,,,,,,,,,,,,,,,0.002,5.238,,,,,,,,,,,,,,,,,352.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464264.0,0.164,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1986,60.434,0.001,,,,,387.646,0.635,,,,,,,,,,,,,,,,0.004,8.15,,,,,,,,,,,,,,,,,1668.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478683.0,0.799,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1987,128.571,0.005,,,,,244.684,1.955,,,,,,,,,,,,,,,,0.009,18.04,,,,,,,,,,,,,,,,,5570.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494313.0,2.754,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1988,9.211,0.001,,,,,26.281,0.724,,,,,,,,,,,,,,,,0.01,19.113,,,,,,,,,,,,,,,,,6824.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509532.0,3.477,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,1989,0.0,0.0,,,,,1.729,0.06,,,,,,,,,,,,,,,,0.01,18.65,,,,,,,,,,,,,,,,,6774.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522172.0,3.538,,,,,,,,,,,,,,,,,,,,,
