iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
BIH,Bosnia and Herzegovina,1992,,,,,,,,,,,,,,,,,,,,,,,,6.38,1506.872,,,,,,,,,,,,,,,,2.689,10297.625,,,,,,,,16213873349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4233673.0,43.597,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1993,-13.333,-0.851,,,,,-27.765,-12.104,,,,,,,,,,,,,,,,5.529,1355.497,,,,,,,,,,,,,,,,2.843,7720.706,,,,,,,,11076996909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4078940.0,31.492,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1994,7.692,0.425,,,,,5.197,1.637,,,,,,,,,,,,,,,,5.954,1512.576,,,,,,,,,,,,,,,,2.947,8415.793,,,,,,,,11242947930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3936527.0,33.129,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1995,17.143,1.021,,,,,65.809,21.802,,,,,,,,,,,,,,,,6.975,1821.61,,,,,,,,,,,,,,,,4.667,14345.782,,,,,,,,11770818064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3829049.0,54.931,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1996,3.049,0.213,,,,,-37.796,-20.762,,,,,,,,,,,,,,,,7.188,1909.375,,,,,,,,,,,,,,,,1.905,9076.793,,,,,,,,17934745851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764419.0,34.169,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1997,222.663,16.004,,,,,42.648,14.572,,,,,,,,,,,,,,,,23.192,6207.589,,,,,,,,,,,,,,,,2.239,13046.104,,,,,,,,21766901660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736070.0,48.741,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1998,29.012,6.728,,,,,18.1,8.822,,,,,,,,,,,,,,,,29.92,8012.221,,,,,,,,,,,,,,,,2.352,15414.574,,,,,,,,24470433627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734338.0,57.563,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,1999,-3.738,-1.119,,,,,1.44,0.829,,,,,,,,,,,,,,,,28.802,7694.114,,,,,,,,,,,,,,,,2.181,15598.898,,,,,,,,26775072364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3743353.0,58.392,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,2000,9.849,2.837,,,,,10.758,6.282,0.0,0.0,,,,,,420.896,49.851,,,,,1335.581,,31.639,8434.31,9.08,0.0,5.01,5.01,0.0,5.04,0.0,0.0,0.0,0.0,5.04,0.0,0.0,10.05,4.23,2.341,17240.947,,,,,,1335.581,49.851,27629668868.0,0.0,,,,,0.0,,,,50.149,,,,,1343.579,,50.149,5.04,1343.579,,,,,,-10.683,-0.97,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,2679.16,3751176.0,64.674,1343.579,50.149,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
BIH,Bosnia and Herzegovina,2001,1.519,0.481,,,,,-0.515,-0.333,0.0,0.0,,,,,,422.027,50.0,,,,,1365.991,,32.119,8552.539,9.17,0.0,5.13,5.13,0.0,5.13,0.0,0.0,0.0,0.0,5.13,0.0,0.0,10.26,4.33,2.303,17132.261,,,,,,1365.991,50.0,27937524522.0,0.0,,,,,0.0,,,,50.0,,,,,1365.991,,50.0,5.13,1365.991,,,,,,-11.887,-1.09,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,2731.983,3755514.0,64.34,1365.991,50.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
