iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
KHM,Cambodia,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.145,197.62,,,,,,,,9092187720.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6693759.0,1.323,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1981,,0.0,,0.0,,0.0,5.411,0.072,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.151,206.583,,,,,,,,9211223110.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6749849.0,1.394,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1982,,0.0,,0.0,,0.0,9.276,0.129,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.154,220.201,,,,,,,,9905037436.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6919803.0,1.524,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1983,,0.0,,0.0,,0.0,9.163,0.14,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.157,231.99,,,,,,,,10619108380.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7170004.0,1.663,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1984,,0.0,,0.0,,0.0,9.499,0.158,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.161,244.55,,,,,,,,11330466768.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7447844.0,1.821,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1985,,0.0,,0.0,,0.0,0.584,0.011,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.152,237.464,,,,,,,,12046064800.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7714894.0,1.832,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1986,,0.0,,0.0,,0.0,0.835,0.015,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.145,232.046,,,,,,,,12748870296.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7960952.0,1.847,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1987,,0.0,,0.0,,0.0,0.809,0.015,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.149,227.158,,,,,,,,12486216390.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,8198082.0,1.862,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1988,,0.0,,0.0,,0.0,7.886,0.147,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.157,238.163,,,,,,,,12803095050.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,8435909.0,2.009,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,1989,,0.0,,0.0,,0.0,0.435,0.009,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.154,232.168,,,,,,,,13115359815.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,8691331.0,2.018,,,,,,,,,,,,,,,,,,,,,
