iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CAN,Canada,1900,,,,,,,,,,,,,,,,,,,,,,,,42.667,7884.362,,,,,,,,,,,,,,,,,,,,,,,,,25320480000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.419,262.189,,,,,,,,,,,5411600.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1901,12.269,5.235,,0.0,-17.213,-0.244,,,,,,,,,,,,,,,,,,47.902,8671.888,,,,,,,,,,,,,,,,,,,,,,,,,27331232000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,212.649,,,,,,,,,,,5523789.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1902,15.126,7.245,,0.0,-29.703,-0.349,,,,,,,,,,,,,,,,,,55.147,9747.795,,,,,,,,,,,,,,,,,,,,,,,,,30001500000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,145.956,,,,,,,,,,,5657400.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1903,6.599,3.639,,0.0,-8.451,-0.07,,,,,,,,,,,,,,,,,,58.786,10112.538,,,,,,,,,,,,,,,,,,,,,,,,,30890282000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.756,130.04,,,,,,,,,,,5813200.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1904,3.711,2.182,,0.0,13.846,0.105,,,,,,,,,,,,,,,,,,60.968,10206.77,,,,,,,,,,,,,,,,,,,,,,,,,31336632000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.861,144.078,,,,,,,,,,,5973290.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1905,5.234,3.191,,0.0,14.865,0.128,,,,,,,,,,,,,,,,,,64.159,10453.159,,,,,,,,,,,,,,,,,,,,,,,,,35010548000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,161.06,,,,,,,,,,,6137788.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1906,12.384,7.946,,0.0,-10.588,-0.105,,,,,,,,,,,,,,,,,,72.105,11432.856,,,,,,,,,,,,,,,,,,,,,,,,,38508660000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.884,140.147,,,,,,,,,,,6306814.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1907,7.655,5.52,,0.0,38.158,0.337,,,,,,,,,,,,,,,,,,77.624,11978.174,,,,,,,,,,,,,,,,,,,,,,,,,40743492000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.221,188.435,,,,,,,,,,,6480495.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1908,3.566,2.768,,0.0,-33.333,-0.407,,,,,,,,,,,,,,,,,,80.392,12072.826,,,,,,,,,,,,,,,,,,,,,,,,,38793222000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814,122.256,,,,,,,,,,,6658958.0,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,1909,-3.534,-2.841,,0.0,-20.0,-0.163,,,,,,,,,,,,,,,,,,77.551,11351.562,,,,,,,,,,,,,,,,,,,,,,,,,42916041000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651,95.331,,,,,,,,,,,6831767.0,,,,,,,,,,,,,,,,,,,,,,
