iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CHL,Chile,1900,,,,,,,,,,,,,,,,,,,,,,,,2.609,832.025,,,,,,,,,,,,,,,,,,,,,,,,,10019174000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3135464.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1901,84.615,2.207,,0.0,,0.0,,,,,,,,,,,,,,,,,,4.816,1516.151,,,,,,,,,,,,,,,,,,,,,,,,,10227504000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3176610.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1902,25.0,1.204,,0.0,,0.0,,,,,,,,,,,,,,,,,,6.02,1871.09,,,,,,,,,,,,,,,,,,,,,,,,,10916516000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3217523.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1903,10.267,0.618,,0.0,,0.0,,,,,,,,,,,,,,,,,,6.638,2037.437,,,,,,,,,,,,,,,,,,,,,,,,,10362765000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3258189.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1904,-9.069,-0.602,,0.0,,0.0,,,,,,,,,,,,,,,,,,6.036,1829.542,,,,,,,,,,,,,,,,,,,,,,,,,11305700000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3299365.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1905,5.585,0.337,,0.0,,0.0,,,,,,,,,,,,,,,,,,6.373,1907.618,,,,,,,,,,,,,,,,,,,,,,,,,10881920000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3341058.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1906,17.506,1.116,,0.0,,0.0,,,,,,,,,,,,,,,,,,7.489,2213.603,,,,,,,,,,,,,,,,,,,,,,,,,11634896000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3383272.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1907,-10.718,-0.803,,0.0,,0.0,,,,,,,,,,,,,,,,,,6.687,1951.689,,,,,,,,,,,,,,,,,,,,,,,,,12222480000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3426016.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1908,12.845,0.859,,0.0,,0.0,,,,,,,,,,,,,,,,,,7.545,2174.911,,,,,,,,,,,,,,,,,,,,,,,,,13040880000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3469296.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1909,-4.362,-0.329,,0.0,,0.0,,,,,,,,,,,,,,,,,,7.216,2054.058,,,,,,,,,,,,,,,,,,,,,,,,,13257760000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3513193.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1910,19.466,1.405,,0.0,,0.0,,,,,,,,,,,,,,,,,,8.621,2423.193,,,,,,,,,,,,,,,,,,,,,,,,,14876745000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3557716.0,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,1911,10.615,0.915,,0.0,,0.0,,,,,,,,,,,,,,,,,,9.536,2646.808,,,,,,,,,,,,,,,,,,,,,,,,,15029274000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3602874.0,,,,,,,,,,,,,,,,,,,,,,
