iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CRI,Costa Rica,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.898,6760.829,,,,,,,,17997542672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389973.0,16.158,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1981,,0.0,,,,,3.172,0.513,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.948,6788.915,,,,,,,,17587703385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455593.0,16.671,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1982,,0.0,,,,,-2.435,-0.406,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.994,6445.737,,,,,,,,16366901617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523358.0,16.265,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1983,,0.0,,,,,10.099,1.643,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.065,6906.035,,,,,,,,16819422279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593015.0,17.907,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1984,,0.0,,,,,-3.82,-0.684,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.949,6464.697,,,,,,,,18139500540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2664220.0,17.223,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1985,,0.0,,,,,1.565,0.27,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.956,6391.937,,,,,,,,18289863744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736719.0,17.493,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1986,,0.0,,,,,-2.402,-0.42,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.885,6075.193,,,,,,,,19298687657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810245.0,17.073,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1987,,0.0,,,,,10.64,1.817,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.934,6547.771,,,,,,,,20217435231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2884856.0,18.889,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1988,,0.0,,,,,8.171,1.543,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.977,6900.802,,,,,,,,20903191090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960932.0,20.433,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,1989,,0.0,,,,,8.832,1.805,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.006,7317.284,,,,,,,,22103439006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039015.0,22.237,,,,,,,,,,,,,,,,,,,,,
