iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
HRV,Croatia,1990,,,,,,,,,0.113,2.094,,,,,,,7.111,,9.425,,9.403,131.899,1968.74,,,15.74,0.01,0.63,4.93,1.36,3.92,0.0,2.94,0.0,0.01,3.93,0.0,0.0,8.86,,1.709,20888.506,,89.406,,89.202,18675.66,1032.165,55.643,58374076956.0,15.35,,25.581,,25.523,284.735,5343.55,,,44.244,,10.594,,10.569,820.707,2212.863,44.357,3.93,822.801,,10.594,,10.569,2212.863,43.71,6.88,0.0,,0.0,,0.0,0.0,0.0,33.183,,54.4,,54.276,615.53,11363.37,,,0.0,2.094,,0.0,,0.0,0.0,0.113,0.0,1854.965,4776370.0,99.771,822.801,44.357,,10.594,,10.569,2212.863,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
HRV,Croatia,1991,,,,,,,-16.052,-16.016,0.116,2.101,,,,,,,4.54,-43.775,6.313,-4.116,5.287,81.933,1110.738,,,13.7,0.01,0.39,3.05,0.74,5.53,0.0,1.92,0.0,0.01,5.54,0.0,0.0,8.59,,1.838,17595.678,-24.419,80.495,-21.782,67.419,14163.735,640.756,35.506,45560400476.0,8.615,-7.392,28.22,-1.887,23.636,155.462,4965.547,,,64.377,54.56,19.505,5.767,16.336,1161.764,3431.957,64.494,5.54,1163.865,54.56,19.505,5.767,16.336,3431.957,37.299,5.11,0.0,,0.0,0.0,0.0,0.0,0.0,22.352,-29.073,45.963,-15.779,38.496,403.361,8087.45,,,0.0,2.101,,0.0,0.0,0.0,0.0,0.116,0.0,1804.621,4760003.0,83.755,1163.865,64.494,54.56,19.505,5.767,16.336,3431.957,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1992,,,,,,,-4.793,-4.014,0.112,2.113,,,,,,,7.416,-12.101,5.828,-0.64,4.647,139.45,981.927,1.137,240.273,11.68,0.01,0.66,4.54,1.37,4.35,0.0,2.51,0.0,0.01,4.36,0.0,0.0,8.9,,1.979,16848.417,0.333,84.829,0.225,67.644,14292.425,959.25,51.011,40296484886.0,15.393,3.658,30.725,0.865,24.5,289.465,5176.677,19.739,4170.704,48.876,-26.05,15.15,-4.256,12.081,919.105,2552.484,48.989,4.36,921.218,-25.948,15.171,-4.239,12.097,2556.006,23.801,2.78,0.0,,0.0,0.0,0.0,0.0,0.0,28.202,0.0,48.276,0.0,38.496,530.334,8133.821,25.307,5347.063,0.0,2.113,,0.021,0.017,0.017,0.0,0.112,3.521,1880.467,4732866.0,79.741,921.218,48.989,-25.948,15.171,-4.239,12.097,2556.006,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1993,-8.757,-0.1,13.627,2.69,1.567,0.396,4.316,3.442,0.209,4.258,,,,,,,4.702,-15.012,4.748,-0.698,3.95,95.795,840.793,1.038,220.882,11.69,0.02,0.45,5.0,1.82,4.55,0.0,2.73,0.0,0.02,4.57,0.0,0.0,9.57,,2.192,17707.858,4.21,84.743,2.848,70.492,15006.1,1064.388,52.247,37941876958.0,19.018,5.584,31.098,1.368,25.868,387.437,5506.826,22.429,4774.682,47.544,4.622,15.194,0.558,12.639,968.593,2690.537,47.753,4.57,972.85,4.914,15.257,0.594,12.692,2701.773,18.135,2.12,0.0,,0.0,0.0,0.0,0.0,0.0,28.527,5.656,48.896,2.177,40.674,581.156,8658.481,25.703,5471.679,0.0,4.258,216.667,0.063,0.036,0.053,0.0,0.209,11.235,2037.238,4697537.0,83.183,972.85,47.753,4.914,15.257,0.594,12.692,2701.773,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1994,-9.853,-0.102,-12.955,-2.906,7.277,1.87,0.846,0.704,0.114,2.147,,,,,,,1.14,-37.407,2.947,-1.477,2.472,21.469,530.764,0.935,200.816,11.83,0.01,0.1,3.33,1.84,5.43,0.0,1.39,0.0,0.01,5.44,0.0,0.0,8.77,,2.043,18010.023,-2.438,81.983,-1.718,68.773,14765.179,714.93,37.97,41058421506.0,20.981,-5.913,29.014,-1.53,24.339,395.036,5225.432,19.523,4191.566,61.916,19.451,17.997,2.458,15.097,1165.786,3241.28,62.03,5.44,1167.933,19.085,18.017,2.422,15.114,3244.858,25.866,3.06,0.0,,0.0,0.0,0.0,0.0,0.0,15.849,3.168,50.022,1.289,41.962,298.424,9008.983,27.574,5919.908,0.0,2.147,-68.421,0.02,-0.036,0.017,0.0,0.114,3.578,1882.863,4657800.0,83.887,1167.933,62.03,19.085,18.017,2.422,15.114,3244.858,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1995,-35.726,-0.334,9.438,1.843,-13.97,-3.852,3.493,2.93,0.108,2.166,,,,,,,2.589,-17.787,2.341,-0.44,2.032,51.984,440.237,0.601,130.221,12.35,0.01,0.24,3.58,0.88,5.68,0.0,2.46,0.0,0.01,5.69,0.0,0.0,9.27,,1.956,18804.721,3.263,81.801,2.244,71.017,15382.422,775.435,38.619,44384567029.0,9.493,-7.576,25.911,-1.844,22.495,190.61,4872.465,21.366,4627.958,61.273,4.563,18.183,0.689,15.786,1230.299,3419.306,61.381,5.69,1232.465,4.54,18.199,0.686,15.8,3422.314,24.939,3.08,0.0,,0.0,0.0,0.0,0.0,0.0,26.537,10.789,53.549,4.527,46.489,532.841,10069.719,23.722,5138.195,0.0,2.166,-16.667,0.016,-0.003,0.014,0.0,0.108,3.008,2007.9,4616763.0,86.817,1232.465,61.381,4.54,18.199,0.686,15.8,3422.314,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1996,-16.504,-0.099,-8.624,-1.843,-9.13,-2.166,6.928,6.015,0.09,2.186,,,,,,,1.074,-18.12,1.793,-0.368,1.664,26.23,363.765,0.502,109.724,12.86,0.01,0.12,3.3,1.31,7.86,0.0,1.87,0.0,0.01,7.87,0.0,0.0,11.17,,1.957,20291.607,-0.077,76.442,-0.055,70.962,15511.295,721.329,29.543,47434643413.0,11.728,12.057,27.154,2.712,25.207,286.346,5509.921,19.523,4267.531,70.367,38.36,23.528,6.056,21.842,1718.075,4774.255,70.457,7.87,1720.261,38.414,23.558,6.069,21.869,4780.327,13.142,1.69,0.0,,0.0,0.0,0.0,0.0,0.0,16.741,-5.159,47.496,-2.399,44.091,408.753,9637.61,21.556,4711.812,0.0,2.186,100.0,0.03,0.014,0.028,0.0,0.09,6.072,2441.59,4574888.0,92.832,1720.261,70.457,38.414,23.558,6.069,21.869,4780.327,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1997,-28.422,-0.143,-11.115,-2.17,-0.357,-0.077,-0.561,-0.521,0.0,0.0,,,,,,,4.985,70.0,3.065,1.165,2.829,112.523,624.198,0.359,79.275,13.61,0.0,0.51,4.38,1.17,5.85,0.0,2.7,0.0,0.0,5.85,0.0,0.0,10.23,,1.798,20366.878,7.165,82.381,5.085,76.047,16778.535,966.374,42.815,51344324398.0,11.437,3.66,28.306,0.923,26.13,258.141,5765.101,17.353,3828.736,57.185,-25.563,17.613,-5.583,16.258,1290.705,3587.134,57.185,5.85,1290.705,-25.632,17.619,-5.606,16.264,3588.36,24.835,3.38,0.0,,0.0,0.0,0.0,0.0,0.0,26.393,6.798,51.01,2.997,47.088,595.71,10389.236,21.479,4738.983,0.0,0.0,-80.0,0.006,-0.022,0.006,0.0,0.0,1.226,2257.08,4532405.0,92.311,1290.705,57.185,-25.632,17.619,-5.606,16.264,3588.36,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1998,4.082,0.015,-1.875,-0.325,5.588,1.2,5.772,5.328,0.087,2.226,,,,,,,4.716,-4.392,2.77,-0.124,2.705,120.216,602.163,0.374,83.254,14.24,0.01,0.54,5.42,1.34,6.02,0.0,3.54,0.0,0.01,6.03,0.0,0.0,11.45,,1.83,21736.666,6.378,82.854,4.85,80.897,18009.606,1206.615,47.336,53359113205.0,11.703,-3.872,25.725,-1.012,25.118,298.314,5591.84,17.028,3790.82,52.576,2.887,17.132,0.469,16.728,1340.188,3723.985,52.664,6.03,1342.415,2.938,17.146,0.478,16.742,3727.077,19.593,2.79,0.0,,0.0,0.0,0.0,0.0,0.0,30.917,12.713,54.358,5.986,53.075,788.084,11815.603,22.679,5048.93,0.0,2.226,150.0,0.014,0.008,0.014,0.0,0.087,3.092,2549.029,4491906.0,97.639,1342.415,52.664,2.938,17.146,0.478,16.742,3727.077,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
HRV,Croatia,1999,-65.681,-0.246,-1.274,-0.217,-17.726,-4.02,3.214,3.139,0.077,2.244,,,,,,,4.006,-11.308,2.38,-0.306,2.399,116.685,538.32,0.128,28.799,14.6,0.01,0.52,5.64,1.23,7.33,0.0,3.89,0.0,0.01,7.34,0.0,0.0,12.98,,1.881,22613.898,-0.591,79.799,-0.478,80.419,18045.623,1265.582,43.451,53571236568.0,9.476,1.391,25.271,0.35,25.468,276.005,5714.76,16.811,3772.309,56.471,21.671,20.196,3.625,20.353,1644.808,4567.046,56.549,7.34,1647.052,21.603,20.201,3.617,20.358,4568.293,11.096,1.62,0.0,,0.0,0.0,0.0,0.0,0.0,29.969,-0.983,52.147,-0.522,52.553,872.893,11792.543,18.659,4187.03,0.0,2.244,-60.0,0.006,-0.008,0.006,0.0,0.077,1.247,2912.635,4456446.0,100.778,1647.052,56.549,21.603,20.201,3.617,20.358,4568.293,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
