iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CZE,Czechia,1965,,,,,,,,,,,,,,,,,,,87.716,,410.841,,41874.02,,,,,,,,2.232,0.0,,,0.0,2.232,0.0,0.0,,,,47738.284,,98.676,,462.179,47106.459,,,,,,0.916,,4.29,,437.299,,,,,1.324,,6.199,227.47,631.863,,2.232,227.47,,1.324,,6.199,631.863,,,,,0.0,,0.0,0.0,0.0,,,10.045,,47.047,,4795.141,,,,0.0,,0.0,,0.0,,,0.0,,9811375.0,468.378,227.47,,,1.324,,6.199,631.863,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
CZE,Czechia,1966,,,,,,,0.754,3.529,,,,,,,,,,-0.294,86.803,-1.21,409.632,,41709.557,,,,,,,,2.104,0.0,,,0.0,2.104,0.0,0.0,,,,48050.554,0.841,98.762,3.885,466.064,47455.602,,,,,4.656,0.952,0.2,4.49,,457.206,,,,-5.743,1.238,-0.356,5.843,214.196,594.99,,2.104,214.196,-5.743,1.238,-0.356,5.843,594.99,,,,,0.0,0.0,0.0,0.0,0.0,,10.405,11.007,4.895,51.942,,5288.839,,,,0.0,,0.0,0.0,0.0,,,0.0,,9821063.0,471.908,214.196,,-5.743,1.238,-0.356,5.843,594.99,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1967,,,,,,,-1.548,-7.307,,,,,,,,,,-3.293,85.265,-13.491,396.141,,40352.138,,,,,,,,1.896,0.0,,,0.0,1.896,0.0,0.0,,,,47325.577,-1.444,98.866,-6.73,459.334,46789.158,,,,,20.121,1.161,0.904,5.394,,549.424,,,,-9.874,1.134,-0.577,5.266,193.124,536.457,,1.896,193.124,-9.874,1.134,-0.577,5.266,536.457,,,,,0.0,0.0,0.0,0.0,0.0,,11.276,12.441,5.857,57.799,,5887.596,,,,0.0,,0.0,0.0,0.0,,,0.0,,9817110.0,464.6,193.124,,-9.874,1.134,-0.577,5.266,536.457,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1968,,,,,,,4.311,20.029,,,,,,,,,,3.514,84.614,13.921,410.062,,41809.225,,,,,,,,1.467,0.0,,,0.0,1.467,0.0,0.0,,,,49411.914,4.62,99.159,21.22,480.554,48996.406,,,,,23.314,1.372,1.258,6.651,,678.15,,,,-22.611,0.841,-1.191,4.076,149.597,415.548,,1.467,149.597,-22.611,0.841,-1.191,4.076,415.548,,,,,0.0,0.0,0.0,0.0,0.0,,10.452,13.173,6.041,63.84,,6509.031,,,,0.0,,0.0,0.0,0.0,,,0.0,,9807943.0,484.629,149.597,,-22.611,0.841,-1.191,4.076,415.548,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1969,,,,,,,4.269,20.689,,,,,,,,,,3.937,84.344,16.142,426.205,,43466.705,,,,,,,,1.198,0.0,,,0.0,1.198,0.0,0.0,,,,51535.123,4.461,99.342,21.438,501.992,51195.876,,,,,9.664,1.443,0.643,7.294,,743.882,,,,-18.373,0.658,-0.749,3.327,122.144,339.288,,1.198,122.144,-18.373,0.658,-0.749,3.327,339.288,,,,,0.0,0.0,0.0,0.0,0.0,,7.288,13.554,4.653,68.493,,6985.288,,,,0.0,,0.0,0.0,0.0,,,0.0,,9805320.0,505.318,122.144,,-18.373,0.658,-0.749,3.327,339.288,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1970,,,,,,,4.205,21.247,,,,,,,,,,1.236,81.941,5.268,431.473,,43948.664,,,,,,,,1.71,0.0,,,0.0,1.71,0.0,0.0,,,6.145,53634.434,3.949,99.098,19.823,521.815,53150.567,,,85688637048.0,,9.851,1.522,0.719,8.012,,816.131,,,,42.804,0.902,1.424,4.751,174.207,483.909,,1.71,174.207,42.804,0.902,1.424,4.751,483.909,,,,,0.0,0.0,0.0,0.0,0.0,,20.2,15.635,13.836,82.329,,8385.772,,,,0.0,,0.0,0.0,0.0,,,0.0,,9817667.0,526.565,174.207,,42.804,0.902,1.424,4.751,483.909,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1971,,,,,,,5.112,26.92,,,,,,,,,,4.186,81.219,18.061,449.534,,45650.953,,,,,,,,1.208,0.0,,,0.0,1.208,0.0,0.0,,,6.139,56207.228,5.426,99.394,28.315,550.13,55866.51,,,90161721573.0,,24.243,1.799,1.943,9.955,,1010.947,,,,-29.369,0.606,-1.395,3.356,122.674,340.762,,1.208,122.674,-29.369,0.606,-1.395,3.356,340.762,,,,,0.0,0.0,0.0,0.0,0.0,,10.095,16.376,8.311,90.64,,9204.611,,,,0.0,,0.0,0.0,0.0,,,0.0,,9847215.0,553.485,122.674,,-29.369,0.606,-1.395,3.356,340.762,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1972,,,,,,,0.566,3.134,,,,,,,,,,-1.426,79.61,-6.408,443.126,,44800.53,,,,,,,,1.264,0.0,,,0.0,1.264,0.0,0.0,,,5.863,56274.71,0.541,99.369,2.979,553.108,55919.778,,,94933132908.0,,8.594,1.942,0.856,10.81,,1092.953,,,,4.636,0.631,0.156,3.511,127.792,354.977,,1.264,127.792,4.636,0.631,0.156,3.511,354.977,,,,,0.0,0.0,0.0,0.0,0.0,,9.412,17.817,8.531,99.171,,10026.294,,,,0.0,,0.0,0.0,0.0,,,0.0,,9891102.0,556.619,127.792,,4.636,0.631,0.156,3.511,354.977,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1973,,,,,,,0.602,3.352,,,,,,,,,,-2.149,77.433,-9.525,433.601,,43594.743,,,,,,,,1.081,0.0,,,0.0,1.081,0.0,0.0,,,5.635,56300.032,0.698,99.464,3.86,556.969,55998.175,,,99378514080.0,,9.824,2.12,1.062,11.872,,1193.674,,,,-14.478,0.536,-0.508,3.003,108.685,301.903,,1.081,108.685,-14.478,0.536,-0.508,3.003,301.903,,,,,0.0,0.0,0.0,0.0,0.0,,12.426,19.911,12.323,111.494,,11209.758,,,,0.0,,0.0,0.0,0.0,,,0.0,,9946191.0,559.971,108.685,,-14.478,0.536,-0.508,3.003,301.903,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
CZE,Czechia,1974,,,,,,,1.049,5.875,,,,,,,,,,-0.37,76.345,-1.605,431.996,,43168.265,,,,,,,,1.819,0.0,,,0.0,1.819,0.0,0.0,,,5.431,56543.413,0.687,99.107,3.825,560.793,56038.547,,,104186941880.0,,21.923,2.558,2.603,14.475,,1446.474,,,,68.27,0.893,2.05,5.053,181.768,504.911,,1.819,181.768,68.27,0.893,2.05,5.053,504.911,,,,,0.0,0.0,0.0,0.0,0.0,,2.535,20.204,2.827,114.321,,11423.809,,,,0.0,,0.0,0.0,0.0,,,0.0,,10007275.0,565.845,181.768,,68.27,0.893,2.05,5.053,504.911,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
