iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
DJI,Djibouti,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,6.127,17676.994,,,,,,,,1035609000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358960.0,6.345,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1981,,0.0,,,,,-20.219,-1.283,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,4.747,13502.103,,,,,,,,1066395000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374934.0,5.062,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1982,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,4.673,13139.937,,,,,,,,1083308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385268.0,5.062,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1983,,0.0,,,,,-25.0,-1.266,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.463,9641.437,,,,,,,,1096310000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393800.0,3.797,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1984,,0.0,,,,,-16.438,-0.624,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.874,7814.104,,,,,,,,1104000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406018.0,3.173,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1985,,0.0,,,,,-0.273,-0.009,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.876,7434.067,,,,,,,,1100160000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425608.0,3.164,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1986,,0.0,,,,,-10.0,-0.316,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.615,6267.288,,,,,,,,1088971000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454359.0,2.848,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1987,,0.0,,,,,2.179,0.062,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.664,5933.963,,,,,,,,1092030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490337.0,2.91,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1988,,0.0,,,,,-2.044,-0.059,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.577,5387.928,,,,,,,,1105884000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528993.0,2.85,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1989,,0.0,,,,,135.016,3.848,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,6.221,11879.598,,,,,,,,1076712000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563855.0,6.698,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1990,,0.0,,,,,2.741,0.184,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,5.976,11656.619,,,,,,,,1151692000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590393.0,6.882,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1991,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,6.192,11340.637,,,,,,,,1111365170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606843.0,6.882,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1992,,0.0,,,,,1.254,0.086,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,5.948,11329.612,,,,,,,,1171473852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615050.0,6.968,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1993,,0.0,,,,,0.617,0.043,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,5.732,11335.872,,,,,,,,1223278976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618504.0,7.011,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1994,,0.0,,,,,2.713,0.19,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,6.052,11571.199,,,,,,,,1189922959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622364.0,7.201,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1995,,0.0,,,,,-0.934,-0.067,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,5.702,11317.282,,,,,,,,1251123071.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630385.0,7.134,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,1996,,0.0,,,,,0.274,0.02,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,6.049,11114.429,,,,,,,,1182573444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643649.0,7.154,,,,,,,,,,,,,,,,,,,,,
