iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SLV,El Salvador,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.766,2884.734,,,,,,,,17280720210.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4591135.0,13.244,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1981,,0.0,,0.0,,0.0,-9.194,-1.218,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.759,2577.276,,,,,,,,15850661547.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4666361.0,12.027,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1982,,0.0,,0.0,,0.0,3.086,0.371,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.829,2617.057,,,,,,,,14958442863.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4737256.0,12.398,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1983,,0.0,,0.0,,0.0,0.594,0.074,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.827,2595.527,,,,,,,,15073954290.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4804936.0,12.471,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1984,,0.0,,0.0,,0.0,5.637,0.703,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.854,2704.622,,,,,,,,15421201965.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4871041.0,13.174,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1985,,0.0,,0.0,,0.0,1.764,0.232,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.853,2715.672,,,,,,,,15722767764.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4936803.0,13.407,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1986,,0.0,,0.0,,0.0,5.128,0.687,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.89,2817.53,,,,,,,,15830937294.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5002339.0,14.094,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1987,,0.0,,0.0,,0.0,-2.551,-0.36,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.845,2710.333,,,,,,,,16252802385.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5067531.0,13.735,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1988,,0.0,,0.0,,0.0,9.084,1.248,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.907,2918.664,,,,,,,,16515979216.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5133273.0,14.982,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,1989,,0.0,,0.0,,0.0,1.184,0.177,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.908,2914.985,,,,,,,,16692309194.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5200608.0,15.16,,,,,,,,,,,,,,,,,,,,,
