iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ERI,Eritrea,1994,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,1750.666,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2218436.0,3.884,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,1995,,0.0,,0.0,,0.0,14.559,0.565,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,2018.466,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2204227.0,4.449,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,1996,,0.0,,0.0,,0.0,2.211,0.098,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,2070.375,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2196467.0,4.548,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,1997,,0.0,,0.0,,0.0,1.097,0.05,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,2094.295,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2195192.0,4.597,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,1998,,0.0,,0.0,,0.0,6.193,0.285,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,2212.65,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2206439.0,4.882,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,1999,,0.0,,0.0,,0.0,3.795,0.185,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,2264.831,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2237412.0,5.067,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,2000,,0.0,,0.0,,0.0,-48.706,-2.468,0.0,0.0,,,,,,700.0,0.0,,,,,0.0,,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.14,,1133.844,,,,,,87.244,100.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,87.244,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,87.244,2292413.0,2.599,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
ERI,Eritrea,2001,,0.0,,0.0,,0.0,9.548,0.248,0.0,0.0,,,,,,681.818,0.0,,,,,0.0,,0.0,0.0,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.15,,1199.051,,,,,,92.642,100.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,92.642,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,92.642,2374721.0,2.847,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
ERI,Eritrea,2002,,0.0,,0.0,,0.0,-8.82,-0.251,0.0,0.0,,,,,,708.333,0.0,,,,,0.0,,0.0,0.0,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.17,,1046.431,,,,,,96.733,100.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,96.733,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,96.733,2481059.0,2.596,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
ERI,Eritrea,2003,,0.0,,0.0,,0.0,19.858,0.516,0.0,0.0,,,,,,692.308,0.0,,,,,0.0,,0.0,0.0,0.26,0.0,0.0,0.26,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.26,0.18,,1196.404,,,,,,99.963,100.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,99.963,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,99.963,2600972.0,3.112,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
