iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
EST,Estonia,1985,,,,,,,,,,,,,,,,,,,57.002,,67.52,,44351.113,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,17.827,,4.655,77806.242,,100.0,,118.453,77806.304,,,25443763184.0,,,8.853,,10.486,,6887.945,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,34.145,,40.446,,26567.246,,,,0.0,,0.0,,0.0,,0.0,0.0,11709.762,1522405.0,118.453,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
EST,Estonia,1986,,,,,,,-0.481,-0.57,,,,,,,,,,1.216,57.974,0.821,68.342,,44492.225,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,17.951,,4.509,76744.95,-0.481,100.0,-0.57,117.883,76745.012,,,26143514352.0,,-9.116,8.085,-0.956,9.53,,6204.528,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-1.076,33.941,-0.435,40.011,,26048.258,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,11686.59,1536034.0,117.883,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1987,,,,,,,1.513,1.783,,,,,,,,,,0.863,57.603,0.59,68.931,,44437.124,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,17.9,,4.533,77143.924,1.513,100.0,1.783,119.666,77143.986,,,26398461152.0,,8.342,8.628,0.795,10.325,,6656.326,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.997,33.769,0.399,40.41,,26050.537,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,11539.386,1551209.0,119.666,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1988,,,,,,,-1.699,-2.033,,,,,,,,,,-4.609,55.898,-3.177,65.754,,42037.006,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,17.627,,4.245,75203.212,-1.699,100.0,-2.033,117.633,75203.273,,,27713411607.0,,7.699,9.453,0.795,11.12,,7109.282,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.862,34.649,0.349,40.758,,26056.985,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,11269.019,1564200.0,117.633,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1989,,,,,,,3.054,3.592,,,,,,,,,,3.523,56.152,2.316,68.071,,43357.977,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,17.611,,4.109,77215.035,3.054,100.0,3.592,121.225,77215.097,,,29500419354.0,,0.0,9.173,0.0,11.12,,7083.167,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,3.13,34.675,1.276,42.034,,26773.953,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,11217.433,1569967.0,121.225,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1990,,,,,,,-0.716,-0.868,0.0,0.0,,,,,,,0.0,-4.807,53.839,-3.272,64.798,0.0,41398.258,,,10.18,0.0,0.0,17.18,0.96,0.0,0.0,16.22,0.0,0.0,0.0,0.0,0.0,17.18,,4.447,76893.26,-0.716,100.0,-0.868,120.357,76893.322,10975.91,100.0,27066096534.0,5.588,27.831,11.811,3.095,14.215,613.322,9081.807,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-68.762,-7.0,0.0,,0.0,0.0,0.0,0.0,0.0,94.412,-1.644,34.351,-0.691,41.343,10362.588,26413.257,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10975.91,1565246.0,120.357,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1991,,,,,,,-9.716,-11.694,0.0,0.0,,,,,,,0.0,-10.54,53.347,-6.83,57.969,0.0,37442.084,,,9.86,0.0,0.0,14.63,0.97,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,14.63,,4.533,70185.76,-9.716,100.0,-11.694,108.663,70185.816,9449.561,100.0,23969414022.0,6.63,0.412,13.136,0.059,14.274,626.526,9219.466,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-48.377,-4.77,0.0,,0.0,0.0,0.0,0.0,0.0,93.37,-11.906,33.517,-4.923,36.421,8823.035,23524.266,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9449.561,1548220.0,108.663,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1992,,,,,,,-27.689,-30.088,0.0,0.0,,,,,,,0.0,-12.615,64.468,-7.313,50.656,0.0,33308.51,0.0,0.0,8.59,0.0,0.0,11.83,0.29,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,11.83,,3.878,51666.643,-27.689,100.0,-30.088,78.575,51666.685,7778.744,100.0,20260762853.0,2.451,-41.534,10.621,-5.929,8.345,190.688,5487.373,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-37.718,-3.24,0.0,,0.0,0.0,0.0,0.0,0.0,97.549,-46.256,24.911,-16.847,19.574,7588.057,12870.802,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7778.744,1520811.0,78.575,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1993,,0.0,,0.0,,0.0,-20.965,-16.473,0.0,0.0,,,,,,,0.0,-26.53,59.929,-13.439,37.217,0.0,25010.35,0.0,0.0,7.52,0.0,0.0,9.12,0.13,0.0,0.0,8.99,0.0,0.0,0.0,0.0,0.0,9.12,,3.405,41733.398,-20.965,100.0,-16.473,62.102,41733.432,6128.785,100.0,18240809871.0,1.425,-50.433,6.661,-4.209,4.136,87.362,2779.796,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-21.277,-1.6,0.0,,0.0,0.0,0.0,0.0,0.0,98.575,6.0,33.41,1.174,20.748,6041.423,13943.285,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6128.785,1488060.0,62.102,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
EST,Estonia,1994,,0.0,,0.0,,0.0,0.575,0.357,0.0,0.0,,,,,,,0.0,1.037,60.205,0.386,37.603,0.0,25806.881,0.0,0.0,7.96,0.0,0.0,9.15,0.22,0.0,0.0,8.93,0.0,0.0,0.0,0.0,0.0,9.15,,3.538,42865.319,0.575,100.0,0.357,62.459,42865.353,6279.64,100.0,17654291517.0,2.404,43.618,9.511,1.804,5.941,150.986,4077.136,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-14.95,-1.19,0.0,,0.0,0.0,0.0,0.0,0.0,97.596,-8.837,30.284,-1.833,18.915,6128.654,12981.335,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6279.64,1457090.0,62.459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
