iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
OWID_EU27,European Union (27),1965,,,,,,,,,,,,,,,,,,,48.599,,,,12249.089,,,,,,,,211.806,4.542,,,2.909,214.715,0.0,0.0,,,,25204.205,,93.506,,8769.017,23567.365,,,,,,3.914,,,,986.585,,,,,6.274,,588.351,569.244,1581.235,,219.257,589.269,,6.494,,609.048,1636.86,,,,,0.135,,12.617,12.207,33.908,,,40.992,,,,10331.691,,,,7.818,,0.086,,8.081,,,21.717,,372083039.0,9378.057,577.062,,,6.36,,596.431,1602.952,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
OWID_EU27,European Union (27),1966,,,,,,,3.406,319.414,,,,,,,,,,-3.955,45.14,-180.268,,,11674.333,,,,,,,,230.454,5.574,,,3.979,234.433,0.0,0.0,,,,25862.671,2.985,93.125,261.776,9030.793,24084.673,,,,,13.499,4.296,49.553,,,1111.171,,,,8.804,6.601,51.799,640.15,614.609,1707.248,,240.007,640.086,9.464,6.875,57.638,666.686,1778.019,,,,22.721,0.16,2.867,15.483,14.866,41.293,,10.21,43.689,392.491,,,11299.169,,,,10.612,36.782,0.114,2.972,11.053,,,29.477,,374960152.0,9697.471,625.221,,9.183,6.715,54.772,651.203,1736.725,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1967,,,,,,,3.509,340.327,,,,,,,,,,-1.92,42.772,-84.032,,,11367.75,,,,,,,,222.193,6.597,,,4.316,226.509,0.0,0.0,,,,26577.486,3.981,93.549,359.497,9390.29,24863.052,,,,,18.892,4.935,78.714,,,1311.581,,,,-3.585,6.149,-22.948,617.202,588.308,1634.191,,233.106,617.203,-2.875,6.451,-19.17,647.516,1714.455,,,,18.353,0.183,2.842,18.325,17.467,48.52,,8.611,45.842,364.816,,,12183.721,,,,11.428,8.469,0.119,0.936,11.989,,,31.743,,377680509.0,10037.798,599.736,,-3.38,6.268,-22.012,629.191,1665.935,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1968,,,,,,,7.145,717.249,,,,,,,,,,1.847,40.657,79.295,,,11498.442,,,,,,,,226.581,7.622,,,4.818,231.399,0.0,0.0,,,,28281.623,7.463,93.827,700.818,10091.108,26535.72,,,,,26.864,5.843,133.073,,,1652.532,,,,1.975,5.852,12.19,629.392,595.82,1655.058,,239.021,628.533,2.538,6.173,16.431,663.947,1745.926,,,,15.537,0.197,2.847,21.172,20.043,55.675,,10.615,47.327,488.45,,,13384.746,,,,12.669,11.631,0.124,1.394,13.383,,,35.193,,380283931.0,10755.047,608.49,,2.159,5.976,13.584,642.775,1690.251,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1969,,,,,,,8.323,895.099,,,,,,,,,,2.384,38.428,104.258,,,11694.167,,,,,,,,222.458,11.443,,,5.243,227.701,0.0,0.0,,,,30431.284,8.867,94.298,894.758,10985.866,28696.122,,,,,25.69,6.78,161.441,,,2063.222,,,,-1.82,5.304,-11.453,617.939,581.081,1614.116,,239.144,624.667,0.051,5.702,0.342,664.289,1735.186,,,,50.131,0.273,10.614,31.786,29.89,83.028,,12.359,49.09,629.059,,,14938.734,,,,13.695,8.821,0.125,1.181,14.564,,,38.042,,382834500.0,11650.145,594.776,,-1.598,5.429,-10.272,632.503,1652.158,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1970,,,,,,,7.343,855.451,,,,,,,,,,-0.829,35.502,-37.129,,,11520.675,,,,,,,,234.723,16.785,,,6.94,241.663,0.0,0.0,,,,32450.304,7.299,94.259,801.829,11787.694,30587.448,,,,,21.128,7.651,166.883,,,2482.65,,,,5.513,5.214,34.069,652.008,609.073,1691.871,,258.448,670.637,8.072,5.741,53.623,717.912,1862.882,,,,46.684,0.373,14.839,46.625,43.555,120.986,,11.751,51.106,672.074,,,16584.122,,,,18.009,32.372,0.154,4.715,19.279,,,50.025,,385376851.0,12505.596,627.082,,6.132,5.368,38.784,671.287,1741.897,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1971,,,,,,,3.196,399.649,,,,,,,,,,-2.852,33.422,-126.606,,,11118.843,,,,,,,,233.228,21.928,,,7.058,240.286,0.0,0.0,,,,33267.996,3.302,94.356,389.189,12176.884,31390.378,,,,,18.428,8.78,176.314,,,2920.902,,,,-0.637,5.02,-4.153,647.855,601.23,1670.085,,262.214,675.952,1.457,5.644,10.46,728.372,1877.645,,,,30.64,0.472,14.286,60.911,56.527,157.021,,5.312,52.154,339.481,,,17350.634,,,,18.194,1.694,0.152,0.327,19.605,,,50.539,,387917715.0,12905.245,619.424,,-0.57,5.172,-3.826,667.461,1720.624,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1972,,,,,,,5.431,700.864,,,,,,,,,,-1.507,31.223,-64.995,,,10880.736,,,,,,,,244.836,34.295,,,6.926,251.762,0.0,0.0,,,,34848.744,5.212,94.16,634.632,12811.516,32813.586,,,,,18.33,9.854,207.696,,,3434.045,,,,4.977,4.998,32.246,680.102,627.089,1741.915,,286.057,732.666,9.093,5.84,66.233,794.604,2035.186,,,,56.398,0.7,34.353,95.264,87.838,243.996,,7.309,53.083,491.931,,,18498.805,,,,17.739,-1.869,0.141,-0.366,19.239,,,49.275,,390433275.0,13606.109,644.828,,4.776,5.14,31.88,699.34,1791.191,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1973,,,,,,,5.717,777.843,,,,,,,,,,0.116,29.569,4.934,,,10824.953,,,,,,,,243.532,40.071,,,7.442,250.974,0.0,0.0,,,,36609.604,5.963,94.379,763.988,13575.504,34551.965,,,,,14.784,10.699,198.216,,,3916.969,,,,-0.533,4.703,-3.623,676.479,619.831,1721.753,,291.045,740.76,1.744,5.621,13.855,808.46,2057.668,,,,16.842,0.774,16.044,111.308,101.988,283.299,,7.765,54.112,560.838,,,19810.043,,,,18.942,7.454,0.144,1.434,20.673,,,52.616,,392901062.0,14383.952,638.772,,-0.313,4.847,-2.189,697.151,1774.369,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
OWID_EU27,European Union (27),1974,,,,,,,-1.014,-145.881,,,,,,,,,,1.276,30.253,54.257,,,10896.846,,,,,,,,263.017,46.695,,,7.829,270.847,0.0,0.0,,,,36019.487,-1.617,93.805,-219.482,13356.021,33788.077,,,,,11.994,12.105,184.585,,,4360.279,,,,8.001,5.131,54.126,730.605,665.382,1848.284,,317.542,803.317,9.104,6.195,73.601,882.061,2231.439,,,,16.531,0.911,18.4,129.708,118.129,328.137,,-5.888,51.447,-458.324,,,18530.952,,,,19.807,5.202,0.153,1.075,21.748,,,55.018,,395287999.0,14238.071,685.188,,7.918,5.284,55.201,752.353,1903.303,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
