iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
FIN,Finland,1965,,,,,,,,,,,,,,,,,,,17.814,,20.26,,4434.579,,,,,,,,9.354,0.0,,,0.0,9.354,0.0,0.0,,,2.038,24893.238,,77.154,,87.745,19206.167,,,55796187432.0,,,0.0,,0.0,,0.0,,,,,22.846,,25.982,2047.351,5687.09,,9.354,2047.351,,22.846,,25.982,5687.09,,,,,0.0,,0.0,0.0,0.0,,,59.34,,67.485,,14771.588,,,,0.0,,0.0,,0.0,,,0.0,,4568604.0,113.727,2047.351,,,22.846,,25.982,5687.09,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
FIN,Finland,1966,,,,,,,13.873,15.777,,,,,,,,,,-7.183,14.52,-1.455,18.805,,4104.798,,,,,,,,10.381,0.0,,,0.0,10.381,0.0,0.0,,,2.267,28269.271,14.729,77.734,12.924,100.669,21974.843,,,57128017299.0,,,0.0,0.0,0.0,,0.0,,,,10.983,22.266,2.854,28.836,2266.0,6294.45,,10.381,2266.0,10.983,22.266,2.854,28.836,6294.45,,,,,0.0,0.0,0.0,0.0,0.0,,21.307,63.214,14.379,81.865,,17870.045,,,,0.0,,0.0,0.0,0.0,,,0.0,,4581115.0,129.505,2266.0,,10.983,22.266,2.854,28.836,6294.45,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1967,,,,,,,5.145,6.663,,,,,,,,,,-3.79,13.286,-0.713,18.092,,3942.744,,,,,,,,11.629,0.0,,,0.0,11.629,0.0,0.0,,,2.334,29674.912,3.174,76.277,3.195,103.865,22635.055,,,58340959248.0,,,0.0,0.0,0.0,,0.0,,,,12.027,23.723,3.468,32.304,2534.355,7039.88,,11.629,2534.355,12.027,23.723,3.468,32.304,7039.88,,,,,0.0,0.0,0.0,0.0,0.0,,4.774,62.99,3.908,85.773,,18692.312,,,,0.0,,0.0,0.0,0.0,,,0.0,,4588660.0,136.168,2534.355,,12.027,23.723,3.468,32.304,7039.88,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1968,,,,,,,8.8,11.983,,,,,,,,,,20.433,14.707,3.697,21.789,,4742.825,,,,,,,,10.489,0.0,,,0.0,10.489,0.0,0.0,,,2.482,32248.683,14.587,80.334,15.151,119.015,25906.59,,,59681450100.0,,,0.0,0.0,0.0,,0.0,,,,-9.806,19.666,-3.168,29.136,2283.161,6342.119,,10.489,2283.161,-9.806,19.666,-3.168,29.136,6342.119,,,,,0.0,0.0,0.0,0.0,0.0,,13.354,65.627,11.454,97.227,,21163.765,,,,0.0,,0.0,0.0,0.0,,,0.0,,4594021.0,148.151,2283.161,,-9.806,19.666,-3.168,29.136,6342.119,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1969,,,,,,,10.261,15.202,,,,,,,,,,19.962,16.001,4.349,26.138,,5680.914,,,,,,,,8.745,0.0,,,0.0,8.745,0.0,0.0,,,2.497,35503.59,16.842,85.129,20.045,139.06,30223.729,,,65431181535.0,,,0.0,0.0,0.0,,0.0,,,,-16.622,14.871,-4.843,24.293,1900.759,5279.89,,8.745,1900.759,-16.622,14.871,-4.843,24.293,5279.89,,,,,0.0,0.0,0.0,0.0,0.0,,16.143,69.128,15.696,112.922,,24542.814,,,,0.0,,0.0,0.0,0.0,,,0.0,,4601033.0,163.353,1900.759,,-16.622,14.871,-4.843,24.293,5279.89,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1970,,,,,,,10.192,16.648,,,,,,,,,,1.643,14.76,0.429,26.568,,5760.065,,,,,,,,9.524,0.0,,,0.0,9.524,0.0,0.0,,,2.56,39025.894,10.416,85.302,14.485,153.546,33289.985,,,70319882662.0,,,0.0,0.0,0.0,,0.0,,,,8.905,14.698,2.163,26.456,2064.937,5735.94,,9.524,2064.937,8.905,14.698,2.163,26.456,5735.94,,,,,0.0,0.0,0.0,0.0,0.0,,12.447,70.543,14.056,126.978,,27529.921,,,,0.0,,0.0,0.0,0.0,,,0.0,,4612365.0,180.002,2064.937,,8.905,14.698,2.163,26.456,5735.94,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1971,,,,,,,2.592,4.666,,,,,,,,,,-11.247,12.769,-2.988,23.579,,5093.449,,,,,,,,10.681,0.0,,,0.0,10.681,0.0,0.0,,,2.572,39890.356,0.946,83.934,1.453,154.998,33481.54,,,71787710060.0,,,0.0,0.0,0.0,,0.0,,,,12.143,16.066,3.213,29.669,2307.183,6408.848,,10.681,2307.183,12.143,16.066,3.213,29.669,6408.848,,,,,0.0,0.0,0.0,0.0,0.0,,3.497,71.165,4.441,131.419,,28388.091,,,,0.0,,0.0,0.0,0.0,,,0.0,,4629371.0,184.667,2307.183,,12.143,16.066,3.213,29.669,6408.848,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1972,,,,,,,5.514,10.183,,,,,,,,,,10.935,13.425,2.578,26.158,,5623.913,,,,,,,,10.38,0.0,,,0.0,10.38,0.0,0.0,,,2.522,41892.752,7.109,85.203,11.019,166.018,35693.749,,,77268847678.0,,,0.0,0.0,0.0,,0.0,,,,-2.818,14.797,-0.836,28.833,2231.651,6199.036,,10.38,2231.651,-2.818,14.797,-0.836,28.833,6199.036,,,,,0.0,0.0,0.0,0.0,0.0,,6.423,71.778,8.441,139.86,,30069.836,,,,0.0,,0.0,0.0,0.0,,,0.0,,4651174.0,194.85,2231.651,,-2.818,14.797,-0.836,28.833,6199.036,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1973,,,,,,,10.281,20.032,,,,,,,,,,10.988,13.511,2.874,29.032,,6209.449,,,,,,,,10.58,0.0,,,0.0,10.58,0.0,0.0,,,2.606,45959.752,11.732,86.324,19.477,185.494,39674.115,,,82444985189.0,,,0.0,0.0,0.0,,0.0,,,,1.927,13.676,0.556,29.388,2262.841,6285.673,,10.58,2262.841,1.927,13.676,0.556,29.388,6285.673,,,,,0.0,0.0,0.0,0.0,0.0,,11.871,72.813,16.602,156.462,,33464.666,,,,0.0,,0.0,0.0,0.0,,,0.0,,4675450.0,214.883,2262.841,,1.927,13.676,0.556,29.388,6285.673,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1974,,,,,,,-4.291,-9.22,,,,,,,,,,1.906,14.385,0.553,29.585,,6296.377,,,,,,,,12.703,0.0,,,0.0,12.703,0.0,0.0,,,2.421,43769.384,-8.15,82.843,-15.118,170.377,36259.765,,,84941604566.0,,,2.161,4.444,4.444,,945.872,,,,20.069,17.157,5.898,35.286,2703.473,7509.653,,12.703,2703.473,20.069,17.157,5.898,35.286,7509.653,,,,,0.0,0.0,0.0,0.0,0.0,,-12.856,66.296,-20.115,136.347,,29017.516,,,,0.0,,0.0,0.0,0.0,,,0.0,,4698782.0,205.663,2703.473,,20.069,17.157,5.898,35.286,7509.653,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1975,,,,,,,1.653,3.401,,,,,,,,,,-9.398,12.821,-2.78,26.805,,5680.542,,,,,,,,12.209,0.0,,,0.0,12.209,0.0,0.0,,,2.433,44304.86,2.801,83.778,4.773,175.149,37117.778,,,85922513043.0,,65.487,3.518,2.911,7.355,,1558.679,,,,-3.888,16.222,-1.372,33.914,2587.36,7187.118,,12.209,2587.36,-3.888,16.222,-1.372,33.914,7187.118,,,,,0.0,0.0,0.0,0.0,0.0,,3.405,67.439,4.642,140.989,,29878.557,,,,0.0,,0.0,0.0,0.0,,,0.0,,4718744.0,209.063,2587.36,,-3.888,16.222,-1.372,33.914,7187.118,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1976,,,,,,,6.351,13.277,,,,,,,,,,34.751,16.245,9.315,36.12,,7629.221,,,,,,,,9.482,0.0,,,0.0,9.482,0.0,0.0,,,2.599,46962.472,11.906,88.154,20.853,196.002,41399.349,,,85553421056.0,,17.177,3.876,1.263,8.618,,1820.354,,,,-22.338,11.846,-7.576,26.338,2002.736,5563.16,,9.482,2002.736,-22.338,11.846,-7.576,26.338,5563.16,,,,,0.0,0.0,0.0,0.0,0.0,,7.288,68.033,10.275,151.264,,31949.774,,,,0.0,,0.0,0.0,0.0,,,0.0,,4734432.0,222.341,2002.736,,-22.338,11.846,-7.576,26.338,5563.16,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1977,,,,,,,5.514,12.261,,,,,,,,,,0.833,15.525,0.301,36.421,,7672.51,,,,,,,,12.182,2.642,,,0.0,12.182,0.0,0.0,,,2.735,49421.667,-1.316,82.448,-2.579,193.424,40747.13,,,85774126200.0,,1.702,3.736,0.147,8.765,,1846.458,,,,28.476,14.424,7.5,33.838,2566.252,7128.485,,14.824,3122.845,56.341,17.552,14.839,41.178,8674.576,,,,,3.128,7.339,7.339,556.593,1546.092,,-2.001,63.187,-3.026,148.238,,31228.161,,,,0.0,,0.0,0.0,0.0,,,0.0,,4746929.0,234.601,2566.252,,28.476,14.424,7.5,33.838,7128.485,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1978,,,,,,,3.994,9.37,,,,,,,,,,34.797,20.123,12.673,49.094,,10317.689,,,,,,,,9.799,3.241,,,0.0,9.799,0.0,0.0,,,2.786,51273.301,7.406,85.153,14.326,207.749,43660.812,,,87565328400.0,,8.88,3.912,0.778,9.543,,2005.638,,,,-19.561,11.157,-6.619,27.219,2059.366,5720.465,,13.04,2740.509,-12.034,14.847,-4.955,36.222,7612.531,,,,22.669,3.69,1.664,9.003,681.143,1892.065,,0.59,61.118,0.874,149.112,,31337.484,,,,0.0,,0.0,0.0,0.0,,,0.0,,4758256.0,243.971,2059.366,,-19.561,11.157,-6.619,27.219,5720.465,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1979,,,,,,,8.004,19.527,,,,,,,,,,-3.628,17.956,-1.781,47.313,,9916.1,,,,,,,,10.871,6.695,,,0.0,10.871,0.0,0.0,,,2.813,55225.193,3.348,81.483,6.956,214.705,44998.984,,,93659511330.0,,-0.355,3.609,-0.034,9.509,,1993.036,,,,10.937,11.46,2.977,30.196,2278.334,6328.71,,17.565,3681.448,34.704,18.517,12.571,48.793,10226.253,,,,106.561,7.058,9.594,18.597,1403.114,3897.543,,5.882,59.918,8.771,157.883,,33089.849,,,,0.0,,0.0,0.0,0.0,,,0.0,,4771341.0,263.498,2278.334,,10.937,11.46,2.977,30.196,6328.71,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1980,,,,,,,-0.411,-1.083,,,,,,,,,,13.474,20.459,6.375,53.688,,11212.475,0.0,0.0,,,,,,10.217,6.974,,,0.0,10.217,0.0,0.0,,,2.66,54804.009,-0.02,81.803,-0.043,214.663,44831.214,,,98649602400.0,,-5.93,3.409,-0.564,8.946,,1868.233,0.0,0.0,,-6.012,10.815,-1.815,28.381,2133.802,5927.233,,17.191,3590.219,-2.133,18.197,-1.041,47.752,9972.839,,,,4.167,7.382,0.775,19.371,1456.417,4045.606,,-3.708,57.935,-5.854,152.029,,31750.506,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,4788247.0,262.415,2133.802,,-6.012,10.815,-1.815,28.381,5927.233,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1981,,0.0,,0.0,,0.0,0.571,1.498,,,,,,,,,,-38.545,12.502,-20.694,32.994,,6859.775,0.0,0.0,,,,,,13.655,14.563,,,0.0,13.655,0.0,0.0,,,2.626,54869.837,-13.571,70.3,-29.132,185.531,38573.474,,,100487246340.0,,-20.429,2.697,-1.828,7.118,,1479.906,0.0,0.0,,33.643,14.372,9.548,37.929,2838.897,7885.831,,28.218,5866.702,64.144,29.7,30.63,78.383,16296.407,,,,108.83,15.328,21.082,40.453,3027.805,8410.576,,-4.348,55.101,-6.611,145.419,,30233.793,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,4809807.0,263.913,2838.897,,33.643,14.372,9.548,37.929,7885.831,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1982,,0.0,,0.0,,0.0,-1.273,-3.361,,,,,,,,,,10.918,14.046,3.602,36.596,,7568.903,0.0,0.0,,,,,,13.089,16.659,,,0.0,13.089,0.0,0.0,,,2.511,53887.731,-4.102,68.286,-7.611,177.92,36797.557,,,103754924835.0,,-5.545,2.58,-0.395,6.723,,1390.527,0.0,0.0,,-4.143,13.954,-1.571,36.358,2707.055,7519.604,,29.748,6152.473,5.423,31.714,4.25,82.633,17090.217,,,,14.391,17.76,5.822,46.275,3445.418,9570.613,,-7.44,51.659,-10.819,134.6,,27838.127,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,4835102.0,260.553,2707.055,,-4.143,13.954,-1.571,36.358,7519.604,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1983,,0.0,,0.0,,0.0,-1.025,-2.671,,,,,,,,,,8.62,15.414,3.154,39.751,,8175.538,0.0,0.0,,,,,,13.581,17.597,,,0.0,13.581,0.0,0.0,,,2.42,53038.336,-3.734,66.417,-6.643,171.277,35226.447,,,106555389928.0,,-3.02,2.528,-0.203,6.52,,1341.023,0.0,0.0,,3.758,14.629,1.366,37.724,2793.157,7758.776,,31.178,6412.29,4.806,33.583,3.972,86.605,17811.931,,,,5.63,18.954,2.605,48.88,3619.133,10053.154,,-7.128,48.474,-9.594,125.006,,25709.886,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,4862171.0,257.881,2793.157,,3.758,14.629,1.366,37.724,7758.776,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1984,,0.0,,0.0,,0.0,4.252,10.965,,,,,,,,,,15.174,17.029,6.032,45.783,,9365.992,0.0,0.0,,,,,,13.247,18.736,,,0.0,13.247,0.0,0.0,,,2.449,54999.163,5.096,66.954,8.727,180.004,36824.311,,,109771884968.0,,14.532,2.778,0.948,7.468,,1527.717,0.0,0.0,,-2.454,13.688,-0.926,36.799,2710.094,7528.046,,31.983,6542.957,2.584,33.046,2.238,88.842,18174.896,,,,6.472,19.358,3.164,52.044,3832.863,10646.85,,1.398,47.147,1.748,126.754,,25930.602,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,4888197.0,268.847,2710.094,,-2.454,13.688,-0.926,36.799,7528.046,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1985,,0.0,,0.0,,0.0,5.041,13.553,,,,,,,,,,26.742,20.547,12.243,58.026,,11814.962,0.0,0.0,,,,,,12.334,18.926,,,0.0,12.334,0.0,0.0,49.394,,2.489,57501.003,8.645,69.251,15.561,195.565,39820.059,,,113466472884.0,,26.886,3.355,2.008,9.476,,1929.371,0.0,0.0,24.971,-6.893,12.132,-2.536,34.262,2511.462,6976.289,63.288,31.261,6365.151,-2.259,30.749,-2.007,86.835,17680.99,,,38.317,1.017,18.617,0.529,52.573,3853.689,10704.701,,1.033,45.348,1.31,128.064,,26075.726,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,10057.379,4911220.0,282.4,2511.462,24.971,-6.893,12.132,-2.536,34.262,6976.289,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1986,,0.0,,0.0,,0.0,1.159,3.274,,,,,,,,,,-8.566,18.572,-4.971,53.055,,10760.982,0.0,0.0,,,,,,12.39,18.945,,,0.0,12.39,0.0,0.0,48.948,,2.459,57942.12,1.569,69.531,3.067,198.633,40287.775,,,116153574706.0,,21.072,4.016,1.997,11.472,,2326.863,0.0,0.0,25.312,0.45,12.047,0.154,34.416,2512.99,6980.533,64.017,31.335,6355.576,0.238,30.469,0.207,87.042,17654.391,,,38.705,0.1,18.422,0.053,52.626,3842.586,10673.859,,4.717,46.943,6.041,134.105,,27199.93,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,9927.912,4930342.0,285.674,2512.99,25.312,0.45,12.047,0.154,34.416,6980.533,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1987,,0.0,,0.0,,0.0,5.246,14.988,,,,,,,,,,12.009,19.765,6.372,59.427,,12014.268,0.0,0.0,,,,,,13.796,19.509,,,0.0,13.796,0.0,0.0,53.016,,2.486,60784.399,4.79,69.23,9.515,208.147,42080.792,,,120921063351.0,,32.252,5.046,3.7,15.172,,3067.348,0.0,0.0,26.022,11.348,12.746,3.906,38.322,2789.109,7747.531,62.821,33.305,6733.311,6.288,30.77,5.473,92.515,18703.656,,,36.799,2.978,18.025,1.567,54.193,3944.202,10956.125,,-0.415,44.418,-0.557,133.548,,26999.175,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,10718.167,4946368.0,300.662,2789.109,26.022,11.348,12.746,3.906,38.322,7747.531,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1988,,0.0,,0.0,,0.0,-0.635,-1.908,,,,,,,,,,0.123,19.916,0.073,59.5,,11993.325,0.0,0.0,,,,,,13.363,19.418,,,0.0,13.363,0.0,0.0,53.491,,2.355,60219.329,-0.216,69.521,-0.45,207.697,41865.155,,,126851456652.0,,7.565,5.463,1.148,16.32,,3289.598,0.0,0.0,24.981,-3.141,12.424,-1.204,37.118,2693.482,7481.901,61.282,32.781,6607.515,-1.576,30.479,-1.458,91.057,18354.222,,,36.301,-0.469,18.055,-0.254,53.939,3914.032,10872.321,,-1.251,44.142,-1.671,131.877,,26582.233,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,10782.091,4961097.0,298.754,2693.482,24.981,-3.141,12.424,-1.204,37.118,7481.901,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1989,,0.0,,0.0,,0.0,0.466,1.392,,,,,,,,,,-2.174,19.393,-1.294,58.206,,11694.807,0.0,0.0,,,,,,13.03,18.958,,,0.0,13.03,0.0,0.0,53.359,,2.239,60305.174,1.73,70.396,3.593,211.29,42452.284,,,134045456292.0,,31.127,7.13,5.08,21.4,,4299.68,0.0,0.0,24.42,-2.487,12.059,-0.923,36.195,2618.042,7272.344,59.949,31.988,6427.052,-2.417,29.604,-2.201,88.856,17852.937,,,35.529,-2.369,17.545,-1.278,52.661,3809.011,10580.593,,-0.147,43.873,-0.193,131.683,,26457.797,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,10720.863,4977118.0,300.146,2618.042,24.42,-2.487,12.059,-0.923,36.195,7272.344,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1990,,0.0,,0.0,,0.0,5.832,17.505,9.487,1032.781,,0.0,,0.0,0.0,,17.761,5.293,19.294,3.081,61.288,1933.462,12266.783,0.0,0.0,65.03,5.16,9.66,19.15,4.66,10.86,19.22,4.83,0.0,5.16,16.02,0.0,0.0,54.39,,2.37,63578.215,4.195,69.307,8.863,220.153,44063.936,3832.898,35.209,134055211004.0,8.568,17.804,7.936,3.81,25.21,932.705,5045.819,0.0,0.0,19.967,-16.651,9.497,-6.027,30.168,2173.643,6038.24,64.791,35.24,7053.332,9.726,30.693,8.642,97.498,19514.33,16.362,10.64,35.337,0.655,16.687,0.345,53.006,3846.908,10609.199,8.88,1.498,42.076,1.972,133.655,966.731,26751.334,0.0,0.0,0.0,1032.781,,4.509,14.322,14.322,0.0,9.487,2866.614,10886.23,4996220.0,317.651,3206.424,29.454,22.922,14.007,8.297,44.492,8905.132,0.0,,0.0,0.001,0.001,0.0,0.278,0.0,,0.0,0.0,0.0,0.0,0.0
FIN,Finland,1991,,0.0,,0.0,,0.0,2.246,7.133,8.624,996.188,,0.0,0.0,0.0,0.0,,16.885,-0.124,18.847,-0.076,61.212,1950.536,12195.673,0.0,0.0,65.27,5.0,9.79,20.27,4.95,13.2,19.51,5.53,0.0,5.0,18.2,0.0,0.0,57.98,,2.573,64709.22,0.118,67.864,0.259,220.413,43914.461,4038.545,34.96,126220410775.0,8.537,5.395,8.181,1.36,26.57,986.226,5293.746,0.0,0.0,22.766,21.522,11.288,6.493,36.661,2629.936,7304.265,65.04,37.71,7513.248,7.05,32.136,6.874,104.372,20794.811,11.169,7.29,33.65,1.539,16.572,0.816,53.822,3887.125,10723.3,9.538,-0.767,40.837,-1.025,132.631,1101.784,26425.042,0.0,0.0,0.0,996.188,-3.045,4.275,-0.436,13.886,0.0,8.624,2766.637,11551.794,5019134.0,324.784,3626.124,31.39,13.617,15.564,6.058,50.55,10071.511,0.0,0.0,0.0,0.0,0.001,0.0,0.277,0.0,,0.001,0.002,0.002,0.0,0.332
