iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
GEO,Georgia,1992,,,,,,,,,,,,,,,,,,,,,,,,0.718,135.372,,,,,,,,,,,,,,,,3.32,17760.809,,,,,,,,28371175570.0,,,,,,,,0.218,41.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.831,345.158,,,,,,,,,,,5303925.0,94.202,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1993,6.383,0.046,-100.0,-0.218,-31.223,-0.572,-38.279,-36.059,,,,,,,,,,,,,,,,0.764,146.639,,,,,,,,,,,,,,,,2.912,11162.092,,,,,,,,19963487697.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.259,241.717,,,,,,,,,,,5208954.0,58.143,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1994,22.667,0.173,,0.0,-9.575,-0.121,-22.92,-13.327,,,,,,,,,,,,,,,,0.937,183.823,,,,,,,,,,,,,,,,2.517,8792.461,,,,,,,,17806234261.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139,223.368,,,,,,,,,,,5097126.0,44.816,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1995,-81.522,-0.764,,0.0,-44.705,-0.509,-1.25,-0.56,,,,,,,,,,,,,,,,0.173,34.792,,,,,,,,,,,,,,,,2.433,8893.492,,,,,,,,18187136096.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,126.51,,,,,,,,,,,4976252.0,44.256,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1996,-52.941,-0.092,,0.0,20.329,0.128,5.144,2.277,,,,,,,,,,,,,,,,0.081,16.811,,,,,,,,,,,,,,,,2.327,9601.115,,,,,,,,19998451242.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.758,156.3,,,,,,,,,,,4846627.0,46.533,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1997,-68.75,-0.056,,0.651,122.336,0.927,3.01,1.401,,,,,,,,,,,,,,,,0.025,5.406,,,,,,,,,,,,,,,,2.178,10177.847,,,,,,,,22010930391.0,,,,,,,,0.651,138.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.684,357.622,,,,,,,,,,,4709596.0,47.934,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1998,200.0,0.051,0.0,0.0,-18.085,-0.305,1.258,0.603,,,,,,,,,,,,,,,,0.076,16.694,,,,,,,,,,,,,,,,2.154,10608.134,,,,,,,,22536785532.0,,,,,,,,0.651,142.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,301.538,,,,,,,,,,,4575396.0,48.536,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,1999,6.667,0.005,0.0,0.0,0.388,0.005,-2.993,-1.453,,,,,,,,,,,,,,,,0.081,18.282,,,,,,,,,,,,,,,,2.039,10564.793,,,,,,,,23091363629.0,,,,,,,,0.651,146.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.385,310.772,,,,,,,,,,,4456652.0,47.084,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,2000,-56.25,-0.046,0.0,0.0,-8.842,-0.122,-14.633,-6.89,0.0,0.0,,,,,,118.294,0.0,,,,,0.0,,0.036,8.171,7.52,0.0,0.0,1.47,1.47,5.8,0.0,0.0,0.0,0.0,5.8,0.0,0.0,7.27,0.86,1.707,9214.134,,,,,,336.987,20.22,23550461380.0,20.22,,,,,336.987,,0.651,149.18,79.78,,,,,1329.609,,79.78,5.8,1329.609,,,,,,3.324,0.25,0.0,,,,,0.0,,0.0,,,,,0.0,,1.263,289.429,0.0,0.0,,,,,0.0,0.0,,1666.596,4362184.0,40.194,1329.609,79.78,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GEO,Georgia,2001,-85.681,-0.031,0.0,0.0,-0.273,-0.003,-7.615,-3.061,0.0,0.0,,,,,,113.235,0.0,,,,,0.0,,0.005,1.188,7.07,0.0,0.0,1.31,1.31,5.49,0.0,0.0,0.0,0.0,5.49,0.0,0.0,6.8,0.77,1.513,8641.605,,,,,,304.865,19.265,24543610975.0,19.265,,,,,304.865,,0.651,151.444,80.735,,,,,1277.641,,80.735,5.49,1277.641,,,,,,3.819,0.27,0.0,,,,,0.0,,0.0,,,,,0.0,,1.259,293.018,0.0,0.0,,,,,0.0,0.0,,1582.506,4296981.0,37.133,1277.641,80.735,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
