iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
DEU,Germany,1900,,,,,,,,,,,,,,,,,,,,,,,,647.411,11731.584,,,,,,,,,,,,,,,,,,,,,,,,,258778104000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,10.537,,,,,,,,,,,55185341.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1901,0.941,6.095,,0.0,-12.0,-0.07,,,,,,,,,,,,,,,,,,653.506,11673.699,,,,,,,,,,,,,,,,,,,,,,,,,252659264000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512,9.141,,,,,,,,,,,55981081.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1902,-1.329,-8.683,,0.0,13.636,0.07,,,,,,,,,,,,,,,,,,644.823,11352.177,,,,,,,,,,,,,,,,,,,,,,,,,258695544000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,10.237,,,,,,,,,,,56801719.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1903,8.149,52.546,,0.0,26.0,0.151,,,,,,,,,,,,,,,,,,697.37,12097.071,,,,,,,,,,,,,,,,,,,,,,,,,273137585000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.733,12.71,,,,,,,,,,,57647806.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1904,3.999,27.887,,0.0,42.857,0.314,,,,,,,,,,,,,,,,,,725.257,12396.178,,,,,,,,,,,,,,,,,,,,,,,,,284058684000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047,17.89,,,,,,,,,,,58506492.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1905,5.798,42.054,,0.0,-12.222,-0.128,,,,,,,,,,,,,,,,,,767.31,12922.479,,,,,,,,,,,,,,,,,,,,,,,,,290170512000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.919,15.473,,,,,,,,,,,59377964.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1906,7.666,58.825,,0.0,2.532,0.023,,,,,,,,,,,,,,,,,,826.136,13708.973,,,,,,,,,,,,,,,,,,,,,,,,,298832544000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.942,15.632,,,,,,,,,,,60262412.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1907,5.486,45.322,,0.0,30.864,0.291,,,,,,,,,,,,,,,,,,871.457,14248.804,,,,,,,,,,,,,,,,,,,,,,,,,312083652000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.233,20.157,,,,,,,,,,,61160030.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1908,3.229,28.135,,0.0,33.019,0.407,,,,,,,,,,,,,,,,,,899.592,14492.953,,,,,,,,,,,,,,,,,,,,,,,,,317376969000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,26.419,,,,,,,,,,,62071014.0,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,1909,1.153,10.376,,0.0,-2.837,-0.047,,,,,,,,,,,,,,,,,,909.969,14497.412,,,,,,,,,,,,,,,,,,,,,,,,,323838360000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.593,25.384,,,,,,,,,,,62767668.0,,,,,,,,,,,,,,,,,,,,,,
