iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
GIN,Guinea,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.061,818.145,,,,,,,,3758107232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4871446.0,3.986,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1981,,0.0,,,,,-1.751,-0.07,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.038,787.943,,,,,,,,3770853662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4969595.0,3.916,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1982,,0.0,,,,,1.609,0.063,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.037,783.671,,,,,,,,3836730612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5077073.0,3.979,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1983,,0.0,,,,,2.042,0.081,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.049,781.451,,,,,,,,3872161400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195443.0,4.06,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1984,,0.0,,,,,0.304,0.012,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.038,764.563,,,,,,,,3922762416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5326369.0,4.072,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1985,,0.0,,,,,-5.966,-0.243,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.93,699.981,,,,,,,,4117874922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470716.0,3.829,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1986,,0.0,,,,,20.957,0.803,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.095,822.806,,,,,,,,4229720586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5629420.0,4.632,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1987,,0.0,,,,,6.674,0.309,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.133,851.713,,,,,,,,4360596072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5801323.0,4.941,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1988,,0.0,,,,,1.347,0.067,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.084,837.047,,,,,,,,4619869664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5982484.0,5.008,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1989,,0.0,,,,,-3.231,-0.162,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.011,785.704,,,,,,,,4795308848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6167480.0,4.846,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1990,,0.0,,,,,31.927,1.547,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.279,1006.403,,,,,,,,4999406832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6352282.0,6.393,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1991,,0.0,,,,,-21.078,-1.347,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.982,772.074,,,,,,,,5139871866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6534936.0,5.045,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1992,,0.0,,,,,3.065,0.155,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.97,774.283,,,,,,,,5362577693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6716032.0,5.2,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1993,,0.0,,,,,4.577,0.238,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.955,788.454,,,,,,,,5695353460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6897171.0,5.438,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1994,,0.0,,,,,1.151,0.063,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.917,776.814,,,,,,,,5997837007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7081119.0,5.501,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1995,,0.0,,,,,-0.531,-0.029,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.861,752.652,,,,,,,,6351702674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7269631.0,5.472,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1996,,0.0,,,,,0.495,0.027,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.82,736.704,,,,,,,,6708782305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7463782.0,5.499,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1997,,0.0,,,,,5.545,0.305,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.815,757.433,,,,,,,,7124296552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7662071.0,5.804,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1998,,0.0,,,,,2.179,0.126,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.794,754.374,,,,,,,,7467530420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7860772.0,5.93,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,1999,,0.0,,,,,4.289,0.254,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.788,767.785,,,,,,,,7849296292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8054745.0,6.184,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,2000,,0.0,,,,,25.806,1.596,0.0,0.0,,,,,,333.333,0.0,,,,,0.0,,0.0,0.0,0.75,0.0,0.0,0.34,0.0,0.41,0.0,0.34,0.0,0.0,0.41,0.0,0.0,0.75,0.25,0.956,944.122,,,,,,41.258,45.333,8142368437.0,0.0,,,,,0.0,,,,54.667,,,,,49.753,,54.667,0.41,49.753,,,,,,0.0,0.0,0.0,,,,,0.0,,45.333,,,,,41.258,,,,0.0,0.0,,,,,0.0,0.0,,91.011,8240735.0,7.78,49.753,54.667,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GIN,Guinea,2001,,0.0,,,,,9.564,0.744,0.0,0.0,,,,,,297.872,0.0,,,,,0.0,,0.0,0.0,0.94,0.0,0.0,0.39,0.0,0.55,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.94,0.28,0.999,1012.744,,,,,,46.334,41.489,8530150708.0,0.0,,,,,0.0,,,,58.511,,,,,65.343,,58.511,0.55,65.343,,,,,,0.0,0.0,0.0,,,,,0.0,,41.489,,,,,46.334,,,,0.0,0.0,,,,,0.0,0.0,,111.678,8417082.0,8.524,65.343,58.511,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GIN,Guinea,2002,,0.0,,,,,4.186,0.357,0.0,0.0,,,,,,292.929,0.0,,,,,0.0,,0.0,0.0,0.99,0.0,0.0,0.4,0.0,0.59,0.0,0.4,0.0,0.0,0.59,0.0,0.0,0.99,0.29,0.978,1034.373,,,,,,46.587,40.404,9080053280.0,0.0,,,,,0.0,,,,59.596,,,,,68.716,,59.596,0.59,68.716,,,,,,0.0,0.0,0.0,,,,,0.0,,40.404,,,,,46.587,,,,0.0,0.0,,,,,0.0,0.0,,115.303,8586077.0,8.881,68.716,59.596,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GIN,Guinea,2003,,0.0,,,,,-2.842,-0.252,0.0,0.0,,,,,,390.805,0.0,,,,,0.0,,0.0,0.0,0.87,0.0,0.0,0.47,0.0,0.4,0.0,0.47,0.0,0.0,0.4,0.0,0.0,0.87,0.34,0.927,985.797,,,,,,53.695,54.023,9309105826.0,0.0,,,,,0.0,,,,45.977,,,,,45.698,,45.977,0.4,45.698,,,,,,0.0,0.0,0.0,,,,,0.0,,54.023,,,,,53.695,,,,0.0,0.0,,,,,0.0,0.0,,99.393,8753097.0,8.629,45.698,45.977,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GIN,Guinea,2004,,0.0,,,,,8.136,0.702,0.0,0.0,,,,,,297.872,0.0,,,,,0.0,,0.0,0.0,0.94,0.0,0.0,0.39,0.0,0.55,0.0,0.39,0.0,0.0,0.55,0.0,0.0,0.94,0.28,0.967,1045.387,,,,,,43.694,41.489,9645747243.0,0.0,,,,,0.0,,,,58.511,,,,,61.62,,58.511,0.55,61.62,,,,,,0.0,0.0,0.0,,,,,0.0,,41.489,,,,,43.694,,,,0.0,0.0,,,,,0.0,0.0,,105.314,8925729.0,9.331,61.62,58.511,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GIN,Guinea,2005,,0.0,,,,,1.065,0.099,0.0,0.0,,,,,,318.182,0.0,,,,,0.0,,0.0,0.0,0.88,0.0,0.0,0.39,0.0,0.49,0.0,0.39,0.0,0.0,0.49,0.0,0.0,0.88,0.28,0.937,1035.198,,,,,,42.812,44.318,10059820718.0,0.0,,,,,0.0,,,,55.682,,,,,53.789,,55.682,0.49,53.789,,,,,,0.0,0.0,0.0,,,,,0.0,,44.318,,,,,42.812,,,,0.0,0.0,,,,,0.0,0.0,,96.602,9109585.0,9.43,53.789,55.682,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
GIN,Guinea,2006,,0.0,,,,,1.684,0.159,0.0,0.0,,,,,,329.412,0.0,,,,,0.0,,0.0,0.0,0.85,0.0,0.0,0.39,0.0,0.46,0.0,0.39,0.0,0.0,0.46,0.0,0.0,0.85,0.28,0.933,1030.254,,,,,,41.902,45.882,10279821317.0,0.0,,,,,0.0,,,,54.118,,,,,49.423,,54.118,0.46,49.423,,,,,,0.0,0.0,0.0,,,,,0.0,,45.882,,,,,41.902,,,,0.0,0.0,,,,,0.0,0.0,,91.325,9307421.0,9.589,49.423,54.118,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
