iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
HUN,Hungary,1900,,,,,,,,,,,,,,,,,,,,,,,,23.713,3336.968,,,,,,,,,,,,,,,,,,,,,,,,,19107487000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,3.273,,,,,,,,,,,7106099.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1901,0.523,0.124,,0.0,50.0,0.012,,,,,,,,,,,,,,,,,,23.837,3330.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,4.875,,,,,,,,,,,7156620.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1902,-6.068,-1.446,,0.0,33.333,0.012,,,,,,,,,,,,,,,,,,22.391,3106.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,6.455,,,,,,,,,,,7207005.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1903,3.293,0.737,,0.0,-25.0,-0.012,,,,,,,,,,,,,,,,,,23.128,3186.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,4.808,,,,,,,,,,,7257249.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1904,2.27,0.525,,0.0,-33.333,-0.012,,,,,,,,,,,,,,,,,,23.653,3236.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,3.183,,,,,,,,,,,7307843.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1905,4.274,1.011,,0.0,150.0,0.035,,,,,,,,,,,,,,,,,,24.664,3351.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,7.902,,,,,,,,,,,7358790.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1906,6.407,1.58,,0.0,-40.0,-0.023,,,,,,,,,,,,,,,,,,26.244,3541.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,4.708,,,,,,,,,,,7410092.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1907,1.221,0.32,,0.0,-33.333,-0.012,,,,,,,,,,,,,,,,,,26.564,3560.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,3.117,,,,,,,,,,,7461752.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1908,6.973,1.852,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,28.417,3781.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,3.096,,,,,,,,,,,7513772.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1909,8.874,2.522,,0.0,50.0,0.012,,,,,,,,,,,,,,,,,,30.938,4091.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,4.614,,,,,,,,,,,7561439.0,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,1910,-0.634,-0.196,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,30.742,4042.478,,,,,,,,,,,,,,,,,,,,,,,,,24369072000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,4.588,,,,,,,,,,,7604704.0,,,,,,,,,,,,,,,,,,,,,,
