iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ISL,Iceland,1965,,,,,,,,,,,,,,,,,,,1.018,,0.076,,395.294,,,,,,,,0.641,0.0,,,0.0,0.641,0.0,0.0,,,2.755,38833.211,,76.169,,5.688,29579.03,,,2711260800.0,,,0.0,,0.0,,0.0,,,,,23.831,,1.78,3331.513,9254.211,,0.641,3331.513,,23.831,,1.78,9254.211,,,,,0.0,,0.0,0.0,0.0,,,75.151,,5.612,,29183.737,,,,0.0,,0.0,,0.0,,,0.0,,192315.0,7.468,3331.513,,,23.831,,1.78,9254.211,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
ISL,Iceland,1966,,,,,,,4.981,0.372,,,,,,,,,,-26.367,0.714,-0.02,0.056,,287.073,,,,,,,,0.624,0.0,,,0.0,0.624,0.0,0.0,,,2.662,40207.965,7.36,77.895,0.419,6.107,31320.116,,,2945495380.0,,,0.0,0.0,0.0,,0.0,,,,-2.622,22.105,-0.047,1.733,3199.635,8887.882,,0.624,3199.635,-2.622,22.105,-0.047,1.733,8887.882,,,,,0.0,0.0,0.0,0.0,0.0,,7.816,77.181,0.439,6.051,,31033.043,,,,0.0,,0.0,0.0,0.0,,,0.0,,194991.0,7.84,3199.635,,-2.622,22.105,-0.047,1.733,8887.882,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1967,,,,,,,-1.018,-0.08,,,,,,,,,,-23.144,0.554,-0.013,0.043,,217.935,,,,,,,,0.664,0.0,,,0.0,0.664,0.0,0.0,,,2.668,39312.06,-3.153,76.215,-0.193,5.915,29961.595,,,2909013992.0,,,0.0,0.0,0.0,,0.0,,,,6.507,23.785,0.113,1.846,3366.176,9350.497,,0.664,3366.176,6.507,23.785,0.113,1.846,9350.497,,,,,0.0,0.0,0.0,0.0,0.0,,-2.968,75.66,-0.18,5.872,,29743.66,,,,0.0,,0.0,0.0,0.0,,,0.0,,197405.0,7.76,3366.176,,6.507,23.785,0.113,1.846,9350.497,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1968,,,,,,,5.811,0.451,,,,,,,,,,-21.022,0.414,-0.009,0.034,,170.168,,,,,,,,0.687,0.0,,,0.0,0.687,0.0,0.0,,,2.99,41124.791,6.572,76.763,0.389,6.303,31568.723,,,2746591760.0,,,0.0,0.0,0.0,,0.0,,,,3.371,23.237,0.062,1.908,3440.194,9556.101,,0.687,3440.194,3.371,23.237,0.062,1.908,9556.101,,,,,0.0,0.0,0.0,0.0,0.0,,6.775,76.349,0.398,6.269,,31398.555,,,,0.0,,0.0,0.0,0.0,,,0.0,,199669.0,8.211,3440.194,,3.371,23.237,0.062,1.908,9556.101,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1969,,,,,,,-0.529,-0.043,,,,,,,,,,-29.528,0.293,-0.01,0.024,,118.554,,,,,,,,0.86,0.0,,,0.002,0.862,0.0,0.0,,,2.9,40441.007,-8.406,70.684,-0.53,5.773,28585.535,,,2816529600.0,,,0.0,0.0,0.0,,0.0,,,,25.215,29.251,0.481,2.389,4258.532,11829.265,,0.862,4267.959,25.492,29.315,0.486,2.394,11855.452,,,,,0.0,0.0,0.0,0.0,0.0,,-8.291,70.391,-0.52,5.75,,28466.981,,,,9.427,,0.065,0.005,0.005,,,26.186,,201971.0,8.168,4267.959,,25.492,29.315,0.486,2.394,11855.452,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1970,,,,,,,20.593,1.682,,,,,,,,,,-33.179,0.162,-0.008,0.016,,78.269,,,,,,,,1.413,0.0,,,0.012,1.425,0.0,0.0,,,3.254,48184.178,2.047,59.814,0.118,5.892,28820.826,,,3026862320.0,,,0.0,0.0,0.0,,0.0,,,,64.272,39.845,1.536,3.925,6911.649,19199.04,,1.425,6970.796,65.311,40.186,1.564,3.958,19363.337,,,,,0.0,0.0,0.0,0.0,0.0,,2.194,59.651,0.126,5.876,,28742.557,,,,59.147,535.032,0.341,0.028,0.034,,,164.297,,204423.0,9.85,6970.796,,65.311,40.186,1.564,3.958,19363.337,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1971,,,,,,,8.841,0.871,,,,,,,,,,-31.25,0.103,-0.005,0.011,,53.116,,,,,,,,1.54,0.0,,,0.012,1.552,0.0,0.0,,,3.133,51767.503,8.81,59.797,0.519,6.411,30955.382,,,3422363752.0,,,0.0,0.0,0.0,,0.0,,,,8.967,39.891,0.352,4.277,7434.269,20650.765,,1.552,7492.373,8.887,40.203,0.352,4.31,20812.164,,,,,0.0,0.0,0.0,0.0,0.0,,8.919,59.694,0.524,6.4,,30902.266,,,,58.104,-0.48,0.312,-0.0,0.033,,,161.399,,207095.0,10.721,7492.373,,8.887,40.203,0.352,4.31,20812.164,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1972,,,,,,,8.709,0.934,,,,,,,,,,-27.778,0.068,-0.003,0.008,,37.844,,,,,,,,1.703,0.0,,,0.022,1.724,0.0,0.0,,,3.207,55516.615,7.085,58.903,0.454,6.865,32701.095,,,3634269650.0,,,0.0,0.0,0.0,,0.0,,,,10.587,40.58,0.453,4.729,8110.4,22528.906,,1.724,8213.597,11.126,41.097,0.48,4.79,22815.566,,,,,0.0,0.0,0.0,0.0,0.0,,7.144,58.835,0.457,6.857,,32663.251,,,,103.197,80.038,0.516,0.027,0.06,,,286.659,,209928.0,11.654,8213.597,,11.126,41.097,0.48,4.79,22815.566,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1973,,,,,,,20.728,2.416,,,,,,,,,,-37.063,0.036,-0.003,0.005,,23.496,,,,,,,,2.181,0.0,,,0.024,2.205,0.0,0.0,,,3.625,66118.858,15.73,56.465,1.08,7.945,37333.736,,,3881376828.0,,,0.0,0.0,0.0,,0.0,,,,28.098,43.058,1.329,6.058,10248.916,28469.233,,2.205,10362.636,27.892,43.535,1.336,6.126,28785.123,,,,,0.0,0.0,0.0,0.0,0.0,,15.791,56.429,1.083,7.94,,37310.24,,,,113.72,11.706,0.478,0.007,0.067,,,315.89,,212803.0,14.07,10362.636,,27.892,43.535,1.336,6.126,28785.123,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1974,,,,,,,-2.612,-0.367,,,,,,,,,,-19.444,0.029,-0.001,0.004,,18.685,,,,,,,,2.258,0.0,,,0.006,2.264,0.0,0.0,,,3.34,63566.08,-6.68,54.106,-0.531,7.414,34393.14,,,4102783496.0,,,0.0,0.0,0.0,,0.0,,,,3.54,45.777,0.214,6.273,10475.581,29098.859,,2.264,10502.259,2.664,45.894,0.163,6.289,29172.965,,,,,0.0,0.0,0.0,0.0,0.0,,-6.671,54.077,-0.53,7.41,,34374.455,,,,26.678,-76.236,0.117,-0.051,0.016,,,74.107,,215568.0,13.703,10502.259,,2.664,45.894,0.163,6.289,29172.965,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1975,,,,,,,-4.102,-0.562,,,,,,,,,,-32.828,0.021,-0.001,0.003,,12.406,,,,,,,,2.206,0.0,,,0.018,2.224,0.0,0.0,,,3.183,60256.822,-6.082,52.989,-0.451,6.963,31929.353,,,4128416985.0,,,0.0,0.0,0.0,,0.0,,,,-2.329,46.623,-0.146,6.127,10113.766,28093.817,,2.224,10197.896,-1.767,47.011,-0.111,6.178,28327.512,,,,,0.0,0.0,0.0,0.0,0.0,,-6.068,52.968,-0.45,6.96,,31916.947,,,,84.13,219.023,0.388,0.035,0.051,,,233.695,,218079.0,13.141,10197.896,,-1.767,47.011,-0.111,6.178,28327.512,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1976,,,,,,,3.305,0.434,,,,,,,,,,1.745,0.02,0.0,0.003,,12.497,,,,,,,,2.35,0.0,,,0.019,2.369,0.0,0.0,,,3.102,61627.371,0.47,51.535,0.033,6.996,31759.41,,,4375583641.0,,,0.0,0.0,0.0,,0.0,,,,6.524,48.076,0.4,6.526,10666.164,29628.258,,2.369,10752.474,6.5,48.465,0.402,6.579,29868.008,,,,,0.0,0.0,0.0,0.0,0.0,,0.469,51.514,0.033,6.993,,31746.913,,,,86.31,3.625,0.389,0.002,0.053,,,239.75,,220276.0,13.575,10752.474,,6.5,48.465,0.402,6.579,29868.008,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1977,,,,,,,5.783,0.785,,,,,,,,,,-8.88,0.017,-0.0,0.003,,11.285,,,,,,,,2.52,0.0,,,0.016,2.536,0.0,0.0,,,3.016,64607.512,4.579,50.948,0.32,7.316,32916.099,,,4761430695.0,,,0.0,0.0,0.0,,0.0,,,,7.244,48.74,0.473,6.999,11336.366,31489.93,,2.536,11408.918,7.064,49.052,0.465,7.044,31691.465,,,,,0.0,0.0,0.0,0.0,0.0,,4.584,50.93,0.321,7.314,,32904.814,,,,72.552,-15.18,0.312,-0.008,0.045,,,201.535,,222267.0,14.36,11408.918,,7.064,49.052,0.465,7.044,31691.465,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
ISL,Iceland,1978,,,,,,,4.426,0.636,,,,,,,,,,-15.393,0.014,-0.0,0.002,,9.468,,,,,,,,2.605,0.0,,,0.018,2.623,0.0,0.0,,,2.97,66901.174,5.366,51.406,0.393,7.709,34391.57,,,5048370873.0,,,0.0,0.0,0.0,,0.0,,,,3.385,48.255,0.237,7.236,11621.889,32283.052,,2.623,11703.466,3.449,48.594,0.243,7.287,32509.653,,,,,0.0,0.0,0.0,0.0,0.0,,5.373,51.392,0.393,7.707,,34382.102,,,,81.576,13.388,0.339,0.006,0.051,,,226.601,,224146.0,14.996,11703.466,,3.449,48.594,0.243,7.287,32509.653,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
