iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
IDN,Indonesia,1900,,,,,,,,,,,,,,,,,,,,,,,,1.653,43.297,,,,,,,,,,,,,,,,,,,,,,,,,51910100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.617,94.759,,,,,,,,,,,38169857.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1901,0.985,0.016,,0.0,78.135,2.826,,,,,,,,,,,,,,,,,,1.669,43.17,,,,,,,,,,,,,,,,,,,,,,,,,51089575000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.443,166.664,,,,,,,,,,,38658803.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1902,-6.341,-0.106,,0.0,-39.35,-2.535,,,,,,,,,,,,,,,,,,1.563,39.922,,,,,,,,,,,,,,,,,,,,,,,,,50067220000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.908,99.805,,,,,,,,,,,39153251.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1903,9.896,0.155,,0.0,136.905,5.35,,,,,,,,,,,,,,,,,,1.718,43.339,,,,,,,,,,,,,,,,,,,,,,,,,52836520000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.257,233.565,,,,,,,,,,,39635616.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1904,9.479,0.163,,0.0,12.814,1.186,,,,,,,,,,,,,,,,,,1.881,46.891,,,,,,,,,,,,,,,,,,,,,,,,,53544038000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.444,260.407,,,,,,,,,,,40105530.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1905,32.035,0.602,,0.0,20.601,2.152,,,,,,,,,,,,,,,,,,2.483,61.214,,,,,,,,,,,,,,,,,,,,,,,,,54217260000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.595,310.516,,,,,,,,,,,40562543.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1906,21.967,0.545,,0.0,4.34,0.547,,,,,,,,,,,,,,,,,,3.028,73.853,,,,,,,,,,,,,,,,,,,,,,,,,55577652000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.142,320.485,,,,,,,,,,,41006369.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1907,8.065,0.244,,0.0,21.947,2.884,,,,,,,,,,,,,,,,,,3.273,78.949,,,,,,,,,,,,,,,,,,,,,,,,,57011000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.026,386.608,,,,,,,,,,,41453239.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1908,6.468,0.212,,0.0,3.048,0.488,,,,,,,,,,,,,,,,,,3.484,83.154,,,,,,,,,,,,,,,,,,,,,,,,,56856240000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.515,394.122,,,,,,,,,,,41902329.0,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,1909,15.421,0.537,,0.0,7.324,1.21,,,,,,,,,,,,,,,,,,4.022,94.954,,,,,,,,,,,,,,,,,,,,,,,,,59669190000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.724,418.48,,,,,,,,,,,42353629.0,,,,,,,,,,,,,,,,,,,,,,
