iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ITA,Italy,1900,,,,,,,,,,,,,,,,,,,,,,,,1.17,34.996,,,,,,,,,,,,,,,,,,,,,,,,,109905408000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.696,,,,,,,,,,,33442744.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1901,-11.25,-0.132,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.039,30.835,,,,,,,,,,,,,,,,,,,,,,,,,112370009000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.691,,,,,,,,,,,33684844.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1902,-1.719,-0.018,,0.0,50.0,0.012,,,,,,,,,,,,,,,,,,1.021,30.074,,,,,,,,,,,,,,,,,,,,,,,,,115173586000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,1.028,,,,,,,,,,,33943753.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1903,-15.444,-0.158,,0.0,-33.333,-0.012,,,,,,,,,,,,,,,,,,0.863,25.224,,,,,,,,,,,,,,,,,,,,,,,,,117151272000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.68,,,,,,,,,,,34219691.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1904,-23.067,-0.199,,0.0,100.0,0.023,,,,,,,,,,,,,,,,,,0.664,19.249,,,,,,,,,,,,,,,,,,,,,,,,,120148615000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,1.348,,,,,,,,,,,34497872.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1905,53.358,0.354,,0.0,50.0,0.023,,,,,,,,,,,,,,,,,,1.018,29.282,,,,,,,,,,,,,,,,,,,,,,,,,123658852000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,2.006,,,,,,,,,,,34778313.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1906,15.485,0.158,,0.0,16.667,0.012,,,,,,,,,,,,,,,,,,1.176,33.544,,,,,,,,,,,,,,,,,,,,,,,,,128904644000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.322,,,,,,,,,,,35061033.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1907,-3.661,-0.043,,0.0,14.286,0.012,,,,,,,,,,,,,,,,,,1.133,32.055,,,,,,,,,,,,,,,,,,,,,,,,,132267304000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,2.632,,,,,,,,,,,35346051.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1908,4.085,0.046,,0.0,-12.5,-0.012,,,,,,,,,,,,,,,,,,1.179,33.096,,,,,,,,,,,,,,,,,,,,,,,,,136236705000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.285,,,,,,,,,,,35633384.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1909,15.713,0.185,,0.0,-14.286,-0.012,,,,,,,,,,,,,,,,,,1.365,38.034,,,,,,,,,,,,,,,,,,,,,,,,,138550938000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.945,,,,,,,,,,,35879156.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1910,1.669,0.023,,0.0,16.667,0.012,,,,,,,,,,,,,,,,,,1.387,38.45,,,,,,,,,,,,,,,,,,,,,,,,,140034188000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.256,,,,,,,,,,,36082944.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1911,-0.703,-0.01,,0.0,42.857,0.035,,,,,,,,,,,,,,,,,,1.378,38.01,,,,,,,,,,,,,,,,,,,,,,,,,142868790000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,3.209,,,,,,,,,,,36244325.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1912,18.347,0.253,,0.0,-30.0,-0.035,,,,,,,,,,,,,,,,,,1.63,44.837,,,,,,,,,,,,,,,,,,,,,,,,,143956250000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.239,,,,,,,,,,,36362869.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1913,4.735,0.077,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.708,46.863,,,,,,,,,,,,,,,,,,,,,,,,,151115136000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.234,,,,,,,,,,,36438143.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1914,11.566,0.197,,0.0,-14.286,-0.012,,,,,,,,,,,,,,,,,,1.905,52.175,,,,,,,,,,,,,,,,,,,,,,,,,143912210000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.911,,,,,,,,,,,36513572.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1915,24.024,0.458,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.363,64.576,,,,,,,,,,,,,,,,,,,,,,,,,138330444000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.907,,,,,,,,,,,36589157.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1916,38.944,0.92,,0.0,16.667,0.012,,,,,,,,,,,,,,,,,,3.283,89.539,,,,,,,,,,,,,,,,,,,,,,,,,150355764000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,2.22,,,,,,,,,,,36664897.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1917,34.224,1.124,,0.0,-14.286,-0.012,,,,,,,,,,,,,,,,,,4.406,119.935,,,,,,,,,,,,,,,,,,,,,,,,,150214855000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.899,,,,,,,,,,,36740792.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1918,23.051,1.016,,0.0,-16.667,-0.012,,,,,,,,,,,,,,,,,,5.422,147.252,,,,,,,,,,,,,,,,,,,,,,,,,144677120000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,1.579,,,,,,,,,,,36822942.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1919,-45.898,-2.489,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2.934,79.385,,,,,,,,,,,,,,,,,,,,,,,,,137862250000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,1.574,,,,,,,,,,,36953258.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1920,72.841,2.137,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,5.07,136.548,,,,,,,,,,,,,,,,,,,,,,,,,141701022000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,1.566,,,,,,,,,,,37132267.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1921,-32.213,-1.633,,0.0,-20.0,-0.012,,,,,,,,,,,,,,,,,,3.437,91.996,,,,,,,,,,,,,,,,,,,,,,,,,137949060000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,1.245,,,,,,,,,,,37360499.0,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,1922,-0.536,-0.018,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,3.419,90.827,,,,,,,,,,,,,,,,,,,,,,,,,149601808000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,1.236,,,,,,,,,,,37638491.0,,,,,,,,,,,,,,,,,,,,,,
