iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
JPN,Japan,1900,,,,,,,,,,,,,,,,,,,,,,,,57.462,1311.75,,,,,,,,,,,,,,,,,,,,,,,,,93641721211.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.326,30.266,,,,,,,,,,,43805856.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1901,20.463,11.759,,0.0,27.193,0.361,,,,,,,,,,,,,,,,,,69.221,1563.473,,,,,,,,,,,,,,,,,,,,,,,,,96537573997.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.686,38.089,,,,,,,,,,,44273920.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1902,7.702,5.332,,0.0,8.276,0.14,,,,,,,,,,,,,,,,,,74.553,1665.43,,,,,,,,,,,,,,,,,,,,,,,,,91087775110.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.826,40.789,,,,,,,,,,,44764779.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1903,4.015,2.994,,0.0,-19.745,-0.361,,,,,,,,,,,,,,,,,,77.546,1712.636,,,,,,,,,,,,,,,,,,,,,,,,,101027678015.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,32.363,,,,,,,,,,,45278858.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1904,6.276,4.867,,0.0,46.825,0.686,,,,,,,,,,,,,,,,,,82.413,1799.459,,,,,,,,,,,,,,,,,,,,,,,,,101057249235.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.152,46.978,,,,,,,,,,,45798840.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1905,7.626,6.284,,0.0,-4.865,-0.105,,,,,,,,,,,,,,,,,,88.698,1914.69,,,,,,,,,,,,,,,,,,,,,,,,,98867773079.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.047,44.185,,,,,,,,,,,46324792.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1906,12.5,11.087,,0.0,29.545,0.605,,,,,,,,,,,,,,,,,,99.785,2129.574,,,,,,,,,,,,,,,,,,,,,,,,,109990610947.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.652,56.59,,,,,,,,,,,46856783.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1907,6.336,6.322,,0.0,17.544,0.465,,,,,,,,,,,,,,,,,,106.107,2238.795,,,,,,,,,,,,,,,,,,,,,,,,,112465893865.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.117,65.763,,,,,,,,,,,47394882.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1908,7.413,7.866,,0.0,2.985,0.093,,,,,,,,,,,,,,,,,,113.974,2377.466,,,,,,,,,,,,,,,,,,,,,,,,,113744843376.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,66.957,,,,,,,,,,,47939159.0,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,1909,1.539,1.754,,0.0,-2.899,-0.093,,,,,,,,,,,,,,,,,,115.728,2386.454,,,,,,,,,,,,,,,,,,,,,,,,,114021209442.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.117,64.273,,,,,,,,,,,48493608.0,,,,,,,,,,,,,,,,,,,,,,
