iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
JOR,Jordan,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.477,9591.317,,,,,,,,15444604787.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2377997.0,22.808,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1981,,0.0,,0.0,,0.0,18.594,4.241,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.673,10973.83,,,,,,,,16171682904.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2464870.0,27.049,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1982,,0.0,,0.0,,0.0,13.636,3.689,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.77,11990.355,,,,,,,,17370376431.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2563525.0,30.738,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1983,,0.0,,0.0,,0.0,6.0,1.844,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.839,12196.478,,,,,,,,17715678048.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2671413.0,32.582,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1984,,0.0,,0.0,,0.0,5.95,1.939,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.794,12397.534,,,,,,,,19244551089.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2784457.0,34.52,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1985,,0.0,,0.0,,0.0,3.225,1.113,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.789,12287.211,,,,,,,,19913089500.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2900055.0,35.634,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1986,,0.0,,0.0,,0.64,6.56,2.338,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.748,12592.888,,,,,,,,21720214033.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,212.087,,,,,,,,,,,3015294.0,37.971,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1987,,0.0,,0.0,-50.0,-0.32,7.675,2.914,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.833,13054.969,,,,,,,,22309352262.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,102.099,,,,,,,,,,,3131800.0,40.886,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1988,,0.0,,0.0,-0.011,-0.0,-6.166,-2.521,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.737,11780.714,,,,,,,,22080859355.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,98.176,,,,,,,,,,,3256552.0,38.365,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1989,,0.0,,0.86,-60.109,-0.192,2.999,1.151,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.001,11624.389,,,,,,,,19744194600.0,,,,,,,,0.86,252.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,37.518,,,,,,,,,,,3399333.0,39.515,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1990,,0.0,63.929,0.55,50.0,0.064,6.683,2.641,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.138,11822.012,,,,,,,,19715854376.0,,,,,,,,1.41,395.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,53.649,,,,,,,,,,,3565888.0,42.156,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1991,,0.0,0.0,0.0,0.0,0.0,-5.195,-2.19,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.969,10627.842,,,,,,,,20298214350.0,,,,,,,,1.41,374.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,50.872,,,,,,,,,,,3760493.0,39.966,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1992,,0.0,15.468,0.218,-100.0,-0.191,17.859,7.138,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.005,11841.977,,,,,,,,23492215431.0,,,,,,,,1.628,409.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3977667.0,47.103,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1993,,0.0,33.264,0.541,,0.0,-1.073,-0.506,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.877,11090.603,,,,,,,,24831921788.0,,,,,,,,2.169,516.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4201559.0,46.598,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1994,,0.0,40.025,0.868,,0.0,14.919,6.952,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.03,12141.767,,,,,,,,26378711247.0,,,,,,,,3.037,688.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4410357.0,53.55,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1995,,0.0,3.539,0.107,,0.0,4.822,2.582,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.978,12232.218,,,,,,,,28377887963.0,,,,,,,,3.145,685.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4588842.0,56.132,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1996,,0.0,-6.884,-0.217,,0.0,7.472,4.194,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.054,12746.201,,,,,,,,29368569317.0,,,,,,,,2.928,618.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4732848.0,60.326,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1997,,0.0,7.407,0.217,,0.0,-3.353,-2.023,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.893,12024.856,,,,,,,,30792687896.0,,,,,,,,3.145,648.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4848536.0,58.303,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1998,,0.0,-3.448,-0.108,,0.0,6.949,4.052,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.936,12612.212,,,,,,,,32203982099.0,,,,,,,,3.037,614.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4943975.0,62.354,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,1999,,0.0,0.0,0.0,,0.0,1.032,0.644,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.864,12520.124,,,,,,,,33788473011.0,,,,,,,,3.037,603.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5031754.0,62.998,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,2000,,0.0,3.571,0.108,,0.026,5.304,3.342,0.144,1.952,,,,,,555.556,0.0,,,,,0.0,,0.0,0.0,7.35,0.01,0.0,6.88,4.56,0.04,0.0,2.32,0.0,0.01,0.05,0.0,0.0,6.93,3.85,1.857,12950.693,,,,,,1343.096,99.278,35716133661.0,65.801,,,,,890.191,,3.145,614.017,0.577,,,,,7.809,,0.722,0.05,9.761,,,,,,5.714,0.42,0.0,,,,,0.0,,33.478,,,,,452.904,,0.026,4.993,0.0,1.952,,,,,0.0,0.144,,1352.856,5122495.0,66.34,9.761,0.722,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2001,,0.0,0.0,0.0,-0.229,-0.0,-3.952,-2.622,0.141,1.917,,,,,,557.746,0.0,,,,,0.0,,0.0,0.0,7.4,0.01,0.0,7.05,4.67,0.04,0.0,2.38,0.0,0.01,0.05,0.0,0.0,7.1,3.96,1.672,12212.802,,,,,,1351.266,99.296,38099917301.0,65.775,,,,,895.094,,3.145,602.857,0.563,,,,,7.667,,0.704,0.05,9.583,,,,,,4.054,0.3,0.0,,,,,0.0,,33.521,,,,,456.172,,0.026,4.891,0.0,1.917,,,,,0.0,0.141,,1360.85,5217328.0,63.718,9.583,0.704,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2002,,0.0,6.897,0.217,-50.0,-0.013,4.876,3.107,0.131,1.881,,,,,,551.047,0.0,,,,,0.0,,0.0,0.0,7.96,0.01,0.0,7.58,5.23,0.05,0.0,2.35,0.0,0.01,0.06,0.0,0.0,7.64,4.21,1.637,12566.997,,,,,,1425.478,99.215,40832221479.0,68.455,,,,,983.542,,3.362,632.291,0.654,,,,,9.403,,0.785,0.06,11.283,,,,,,4.02,0.32,0.0,,,,,0.0,,30.759,,,,,441.936,,0.013,2.4,0.0,1.881,,,,,0.0,0.131,,1436.762,5317514.0,66.825,11.283,0.785,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2003,,0.0,0.0,0.0,0.0,0.0,9.198,6.146,0.133,1.84,,,,,,550.532,0.0,,,,,0.0,,0.0,0.0,8.49,0.01,0.0,7.47,5.15,0.04,0.0,2.32,0.0,0.01,0.05,0.0,0.0,7.52,4.14,1.693,13428.633,,,,,,1374.669,99.335,43096850021.0,68.484,,,,,947.73,,3.362,618.733,0.532,,,,,7.361,,0.665,0.05,9.201,,,,,,11.425,0.97,0.0,,,,,0.0,,30.851,,,,,426.939,,0.013,2.348,0.0,1.84,,,,,0.0,0.133,,1383.87,5434036.0,72.972,9.201,0.665,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2004,,0.0,0.0,0.0,0.23,0.0,8.64,6.305,0.119,1.792,,,,,,551.601,0.0,,,,,0.0,,0.0,0.0,9.22,0.01,0.0,8.37,5.77,0.05,0.0,2.6,0.0,0.01,0.06,0.0,0.0,8.43,4.65,1.672,14206.692,,,,,,1499.935,99.288,47416274712.0,68.446,,,,,1034.006,,3.362,602.522,0.593,,,,,8.96,,0.712,0.06,10.752,,,,,,8.568,0.79,0.0,,,,,0.0,,30.842,,,,,465.93,,0.013,2.292,0.0,1.792,,,,,0.0,0.119,,1510.687,5580241.0,79.277,10.752,0.712,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2005,,0.0,-9.677,-0.325,-0.229,-0.0,8.571,6.795,0.11,1.734,,,,,,535.242,0.0,,,,,0.0,,0.0,0.0,9.82,0.01,0.0,9.01,6.9,0.06,0.0,2.11,0.0,0.01,0.07,0.0,0.0,9.08,4.86,1.655,14928.327,,,,,,1562.706,99.229,52009521309.0,75.991,,,,,1196.745,,3.037,526.714,0.661,,,,,10.406,,0.771,0.07,12.141,,,,,,7.536,0.74,0.0,,,,,0.0,,23.238,,,,,365.961,,0.013,2.213,0.0,1.734,,,,,0.0,0.11,,1574.847,5765639.0,86.071,12.141,0.771,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2006,,0.0,14.286,0.434,0.0,0.0,3.395,2.923,0.191,3.338,,,,,,535.885,0.0,,,,,0.0,,0.0,0.0,10.91,0.02,0.0,10.38,7.95,0.05,0.0,2.43,0.0,0.02,0.07,0.0,0.0,10.45,5.6,1.561,14853.238,,,,,,1732.441,99.33,57027647580.0,76.077,,,,,1326.869,,3.471,579.262,0.478,,,,,8.345,,0.67,0.07,11.683,,,,,,4.216,0.46,0.0,,,,,0.0,,23.254,,,,,405.571,,0.013,2.13,0.0,3.338,,,,,0.0,0.191,,1744.124,5991547.0,88.994,11.683,0.67,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2007,,0.0,-37.47,-1.3,0.0,0.0,-3.828,-3.407,0.164,3.197,,,,,,528.256,0.0,,,,,0.0,,0.0,0.0,12.24,0.02,0.0,12.13,9.73,0.06,0.0,2.4,0.0,0.02,0.08,0.0,0.0,12.21,6.45,1.367,13682.303,,,,,,1939.159,99.345,62595024703.0,79.689,,,,,1555.483,,2.17,346.94,0.491,,,,,9.592,,0.655,0.08,12.789,,,,,,0.245,0.03,0.0,,,,,0.0,,19.656,,,,,383.675,,0.013,2.04,0.0,3.197,,,,,0.0,0.164,,1951.948,6255290.0,85.587,12.789,0.655,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2008,,0.0,-16.0,-0.347,0.23,0.0,-3.666,-3.138,0.154,3.05,,,,,,528.462,0.0,,,,,0.0,,0.0,0.0,13.22,0.02,0.0,12.92,10.36,0.06,0.0,2.56,0.0,0.02,0.08,0.0,0.0,13.0,6.87,1.208,12575.233,,,,,,1970.572,99.385,68244793597.0,79.692,,,,,1580.118,,1.823,278.042,0.462,,,,,9.151,,0.615,0.08,12.202,,,,,,1.664,0.22,0.0,,,,,0.0,,19.692,,,,,390.454,,0.013,1.951,0.0,3.05,,,,,0.0,0.154,,1982.773,6556473.0,82.449,12.202,0.615,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2009,,0.0,4.762,0.087,-0.229,-0.0,3.996,3.294,0.149,2.901,,,,,,520.864,0.0,,,,,0.0,,0.0,0.0,13.66,0.02,0.0,13.34,11.15,0.06,0.0,2.19,0.0,0.02,0.08,0.0,0.0,13.42,6.99,1.167,12438.755,,,,,,1935.224,99.404,73471748786.0,83.085,,,,,1617.523,,1.91,277.051,0.447,,,,,8.704,,0.596,0.08,11.606,,,,,,1.757,0.24,0.0,,,,,0.0,,16.319,,,,,317.702,,0.013,1.851,0.0,2.901,,,,,0.0,0.149,,1946.83,6893258.0,85.744,11.606,0.596,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
JOR,Jordan,2010,,0.0,0.0,0.0,0.0,0.0,4.084,3.502,0.144,2.754,,,,,,521.238,0.0,,,,,0.0,,0.0,0.0,14.5,0.02,0.0,13.81,11.54,0.06,0.0,2.27,0.0,0.02,0.08,0.0,0.0,13.89,7.24,1.158,12290.188,,,,,,1901.8,99.424,77063828478.0,83.081,,,,,1589.194,,1.91,263.0,0.432,,,,,8.263,,0.576,0.08,11.017,,,,,,4.207,0.61,0.0,,,,,0.0,,16.343,,,,,312.606,,0.013,1.757,0.0,2.754,,,,,0.0,0.144,,1912.817,7261541.0,89.246,11.017,0.576,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
