iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
KAZ,Kazakhstan,1985,,,,,,,,,,,,,,,,,72.687,,55.779,,443.498,3770.556,28310.371,666.059,42517.326,,,59.068,76.053,8.686,5.21,0.0,8.299,,0.0,5.21,0.0,0.0,81.263,,4.362,50754.13,,98.18,,780.621,49830.264,4854.749,93.588,182290343205.0,10.688,,11.349,,90.234,554.444,5760.0,38.679,2469.027,6.412,,1.82,,14.474,332.606,923.907,6.412,5.21,332.606,,1.82,,14.474,923.907,,,0.0,,0.0,,0.0,0.0,0.0,10.212,,31.051,,246.888,529.749,15759.893,263.536,16822.586,,0.0,,0.0,,0.0,,0.0,0.0,5187.355,15665594.0,795.094,332.606,6.412,,1.82,,14.474,923.907,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
KAZ,Kazakhstan,1986,5.046,33.613,6.745,2.609,2.78,7.327,2.302,18.3,,,,,,,,,73.303,5.066,57.287,22.469,465.968,3934.792,29393.928,699.672,44136.299,,,62.376,80.312,9.172,4.782,0.0,8.764,,0.0,4.782,0.0,0.0,85.094,,4.406,51310.039,2.497,98.367,19.491,800.112,50472.184,5066.21,94.381,184592273544.0,10.779,21.081,13.432,19.022,109.256,578.594,6892.031,41.288,2604.482,5.619,-8.227,1.633,-1.191,13.283,301.642,837.896,5.619,4.782,301.642,-8.227,1.633,-1.191,13.283,837.896,,,0.0,,0.0,0.0,0.0,0.0,0.0,10.299,-8.911,27.648,-22.001,224.887,552.824,14186.225,270.863,17086.408,,0.0,,0.0,0.0,0.0,,0.0,0.0,5367.852,15852524.0,813.394,301.642,5.619,-8.227,1.633,-1.191,13.283,837.896,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1987,3.3,23.088,8.362,3.452,3.306,8.955,2.234,18.174,,,,,,,,,72.636,3.904,58.222,18.189,484.157,4007.419,30185.775,722.76,45061.925,,,64.276,82.758,9.452,5.732,0.0,9.031,,0.0,5.732,0.0,0.0,88.49,,4.532,51845.78,1.942,98.085,15.535,815.646,50853.124,5159.719,93.522,183469478262.0,10.681,4.464,13.725,4.878,114.134,589.273,7115.892,44.74,2789.41,6.478,19.871,1.915,2.639,15.922,357.371,992.698,6.478,5.732,357.371,19.871,1.915,2.639,15.922,992.698,,,0.0,,0.0,0.0,0.0,0.0,0.0,10.205,-3.349,26.138,-7.532,217.355,563.027,13551.457,279.818,17445.812,,0.0,,0.0,0.0,0.0,,0.0,0.0,5517.09,16039253.0,831.568,357.371,6.478,19.871,1.915,2.639,15.922,992.698,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1988,0.312,2.257,13.041,5.834,3.741,10.467,3.624,30.137,,,,,,,,,71.526,4.309,58.607,20.864,505.021,3902.324,31162.63,725.016,44737.528,,,63.241,81.426,9.299,6.991,0.0,8.885,,0.0,6.991,0.0,0.0,88.417,,4.338,53171.947,3.266,97.746,26.638,842.284,51973.617,5024.406,92.093,198629915744.0,10.518,4.274,13.811,4.878,119.011,573.819,7343.645,50.574,3120.726,7.907,21.974,2.254,3.499,19.421,431.414,1198.373,7.907,6.991,431.414,21.974,2.254,3.499,19.421,1198.373,,,0.0,,0.0,0.0,0.0,0.0,0.0,10.049,0.412,25.328,0.896,218.252,548.262,13467.342,290.285,17912.183,,0.0,,0.0,0.0,0.0,,0.0,0.0,5455.82,16205998.0,861.704,431.414,7.907,21.974,2.254,3.499,19.421,1198.373,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1989,-3.5,-25.372,-5.943,-3.006,1.763,5.117,-1.569,-13.521,,,,,,,,,71.262,-4.555,56.829,-23.004,482.017,3913.296,29522.99,699.644,42852.365,,,63.892,82.263,9.395,7.292,0.102,8.977,,0.0,7.292,0.0,0.0,89.657,,4.291,51950.208,-1.738,97.579,-14.638,827.646,50692.324,5038.532,91.753,197669310639.0,10.479,3.279,14.491,3.902,122.913,575.433,7528.281,47.569,2913.524,8.133,4.298,2.388,0.835,20.256,446.627,1240.631,8.247,7.394,452.853,5.752,2.421,1.117,20.538,1257.925,,,0.113,,0.033,0.282,0.282,6.226,17.294,10.012,2.045,26.258,4.464,222.715,549.803,13641.053,295.402,18093.021,,0.0,,0.0,0.0,0.0,,0.0,0.0,5491.384,16326848.0,848.183,446.627,8.133,4.298,2.388,0.835,20.256,1240.631,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1990,-5.129,-35.886,6.013,2.86,1.575,4.652,1.17,9.922,,,,,,,,,71.12,-6.579,52.477,-31.71,450.307,3792.996,27484.796,663.758,40512.872,,,62.144,80.013,9.138,7.366,0.0,8.731,,0.0,7.366,0.0,0.0,87.379,,4.402,52374.975,1.208,97.616,9.999,837.645,51126.16,4883.641,91.57,194940981328.0,10.458,6.587,15.267,8.097,131.01,557.743,7996.259,50.429,3077.974,8.43,1.015,2.384,0.206,20.461,449.588,1248.857,8.43,7.366,449.588,-0.374,2.384,-0.077,20.461,1248.857,,,0.0,-100.0,0.0,-0.282,0.0,0.0,0.0,9.992,15.092,29.871,33.612,256.327,532.902,15645.105,300.054,18313.976,,0.0,,0.0,0.0,0.0,,0.0,0.0,5333.23,16383881.0,858.105,449.588,8.43,1.015,2.384,0.206,20.461,1248.857,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1991,-0.942,-6.252,10.847,5.47,3.101,9.304,-0.104,-0.89,,,,,,,,,72.231,-2.383,51.279,-10.733,439.575,3793.457,26847.042,657.506,40157.197,,,62.111,78.252,8.641,7.2,0.539,7.499,,0.0,7.2,0.0,0.0,85.99,,4.914,52354.41,-0.23,97.492,-1.927,835.718,51041.48,4779.219,91.001,174429512652.0,10.049,4.989,16.046,6.536,137.546,527.762,8400.6,55.899,3414.044,8.373,-2.254,2.333,-0.461,20.0,439.74,1221.501,9.0,7.739,472.67,5.066,2.508,1.037,21.498,1312.972,,,0.627,,0.175,1.498,1.498,32.93,91.471,8.721,0.886,30.167,2.27,258.597,458.0,15793.838,309.358,18894.044,,0.0,,0.0,0.0,0.0,,0.0,0.0,5251.84,16373308.0,857.215,439.74,8.373,-2.254,2.333,-0.461,20.0,1221.501,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1992,-3.044,-20.014,2.885,1.613,-3.008,-9.304,-1.283,-10.998,,,,,,,,,71.908,0.738,52.329,3.246,442.82,3668.255,27162.22,637.492,39103.225,,,59.803,75.839,8.735,6.866,0.464,7.3,,0.0,6.866,0.0,0.0,83.166,,5.096,51906.223,-1.18,97.594,-9.861,825.857,50657.324,4651.875,91.189,166043897933.0,10.504,2.837,16.715,3.902,141.448,535.823,8676.272,57.512,3527.735,8.256,-4.639,2.254,-0.928,19.072,421.154,1169.874,8.814,7.33,449.618,-5.286,2.406,-1.136,20.361,1248.94,,,0.558,-13.934,0.152,-0.209,1.289,28.464,79.066,8.778,-6.577,28.549,-17.009,241.588,447.797,14818.831,300.054,18405.049,,0.0,,0.0,0.0,0.0,,0.0,0.0,5101.329,16302809.0,846.217,421.154,8.256,-4.639,2.254,-0.928,19.072,1169.874,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1993,-11.86,-75.608,-17.592,-10.118,-10.853,-32.564,-11.753,-99.457,,,,,,,,,71.024,-9.19,53.849,-40.694,402.126,3418.779,24851.527,561.884,34724.578,,,55.32,69.815,7.76,7.629,0.446,6.735,,0.0,7.629,0.0,0.0,77.889,,4.927,46149.952,-12.294,96.996,-101.528,724.329,44763.712,4314.57,89.634,151572682288.0,9.963,-4.138,18.158,-5.853,135.594,479.568,8379.782,47.394,2928.978,9.795,11.113,2.838,2.119,21.192,471.474,1309.652,10.368,8.075,499.059,10.168,3.004,2.07,22.432,1386.277,,,0.573,-3.81,0.166,-0.049,1.24,27.585,76.625,8.647,-22.758,24.989,-54.981,186.608,416.223,11532.402,267.49,16530.952,,0.0,,0.0,0.0,0.0,,0.0,0.0,4813.561,16181161.0,746.76,471.474,9.795,11.113,2.838,2.119,21.192,1309.652,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
KAZ,Kazakhstan,1994,-6.626,-37.231,-32.87,-15.579,-11.687,-31.261,-10.982,-82.006,,,,,,,,,70.539,-2.177,59.176,-8.754,393.372,2939.886,24551.694,524.653,32745.344,,,47.104,57.222,5.35,9.179,0.38,4.768,,0.0,9.179,0.0,0.0,66.777,,4.99,41489.464,-11.891,96.006,-86.128,638.201,39832.237,3571.43,85.692,133221814987.0,8.012,-27.338,14.821,-37.069,98.526,333.936,6149.307,31.816,1985.723,13.746,20.317,3.836,4.306,25.497,572.892,1591.367,14.315,9.559,596.613,18.373,3.994,4.121,26.553,1657.26,,,0.569,-14.851,0.159,-0.184,1.056,23.721,65.893,7.141,-21.599,22.009,-40.305,146.303,297.609,9131.236,236.229,14743.806,,0.0,,0.0,0.0,0.0,,0.0,0.0,4167.773,16022224.0,664.753,572.892,13.746,20.317,3.836,4.306,25.497,1591.367,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
