iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Kosovo,2000,,,,,,,,,0.0,,,,,,,804.054,97.635,,,,,,,,,3.33,0.0,2.89,2.91,0.0,0.05,0.0,0.02,0.0,0.0,0.05,0.0,0.0,2.96,2.38,,,,,,,,,98.311,,0.0,,,,,,,,,1.689,,,,,,,1.689,0.05,,,,,,,11.111,0.37,0.0,,,,,,,0.676,,,,,,,,,,,,,,,0.0,0.0,,,,,,1.689,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2001,,,,,,,,,0.0,,,,,,,806.971,98.123,,,,,,,,,4.2,0.0,3.66,3.68,0.0,0.05,0.0,0.02,0.0,0.0,0.05,0.0,0.0,3.73,3.01,,,,,,,,,98.66,,0.0,,,,,,,,,1.34,,,,,,,1.34,0.05,,,,,,,11.19,0.47,0.0,,,,,,,0.536,,,,,,,,,,,,,,,0.0,0.0,,,,,,1.34,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2002,,,,,,,,,0.0,,,,,,,805.93,98.113,,,,,,,,,4.18,0.0,3.64,3.66,0.0,0.05,0.0,0.02,0.0,0.0,0.05,0.0,0.0,3.71,2.99,,,,,,,,,98.652,,0.0,,,,,,,,,1.348,,,,,,,1.348,0.05,,,,,,,11.244,0.47,0.0,,,,,,,0.539,,,,,,,,,,,,,,,0.0,0.0,,,,,,1.348,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2003,,,,,,,,,0.0,,,,,,,807.163,97.796,,,,,,,,,4.09,0.0,3.55,3.58,0.0,0.05,0.0,0.03,0.0,0.0,0.05,0.0,0.0,3.63,2.93,,,,,,,,,98.623,,0.0,,,,,,,,,1.377,,,,,,,1.377,0.05,,,,,,,11.247,0.46,0.0,,,,,,,0.826,,,,,,,,,,,,,,,0.0,0.0,,,,,,1.377,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2004,,,,,,,,,0.0,,,,,,,796.569,96.569,,,,,,,,,4.54,0.0,3.94,3.97,0.0,0.11,0.0,0.03,0.0,0.0,0.11,0.0,0.0,4.08,3.25,,,,,,,,,97.304,,0.0,,,,,,,,,2.696,,,,,,,2.696,0.11,,,,,,,10.132,0.46,0.0,,,,,,,0.735,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.696,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2005,,,,,,,,,0.0,,,,,,,798.206,96.861,,,,,,,,,4.73,0.0,4.32,4.35,0.0,0.11,0.0,0.03,0.0,0.0,0.11,0.0,0.0,4.46,3.56,,,,,,,,,97.534,,0.0,,,,,,,,,2.466,,,,,,,2.466,0.11,,,,,,,5.708,0.27,0.0,,,,,,,0.673,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.466,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2006,,,,,,,,,0.0,,,,,,,801.354,97.065,,,,,,,,,4.71,0.0,4.3,4.33,0.0,0.1,0.0,0.03,0.0,0.0,0.1,0.0,0.0,4.43,3.55,,,,,,,,,97.743,,0.0,,,,,,,,,2.257,,,,,,,2.257,0.1,,,,,,,5.945,0.28,0.0,,,,,,,0.677,,,,,,,,,,,,,,,0.0,0.0,,,,,,2.257,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2007,,,,,,,,,0.0,,,,,,,803.313,97.516,,,,,,,,,5.05,0.0,4.71,4.74,0.0,0.09,0.0,0.03,0.0,0.0,0.09,0.0,0.0,4.83,3.88,,,,,,,,,98.137,,0.0,,,,,,,,,1.863,,,,,,,1.863,0.09,,,,,,,4.356,0.22,0.0,,,,,,,0.621,,,,,,,,,,,,,,,0.0,0.0,,,,,,1.863,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2008,,,,,,,,,0.0,,,,,,,806.202,97.868,,,,,,,17.623,,5.57,0.0,5.05,5.08,0.0,0.08,0.0,0.03,0.0,0.0,0.08,0.0,0.0,5.16,4.16,,,,,,,,,98.45,,0.0,,,,,,,0.0,,1.55,,,,,,,1.55,0.08,,,,,,,7.361,0.41,0.0,,,,,,,0.581,,,,,,,0.0,,,,,,,,0.0,0.0,,,,24.446,,1.55,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2009,11.307,1.993,,0.0,,0.0,12.493,3.054,0.0,,,,,,,800.805,97.384,,,,,,,19.616,,5.46,0.0,4.84,4.85,0.0,0.12,0.0,0.01,0.0,0.0,0.12,0.0,0.0,4.97,3.98,,,,,,,,,97.586,,0.0,,,,,,,0.0,,2.414,,,,,,,2.414,0.12,,,,,,,8.974,0.49,0.0,,,,,,,0.201,,,,,,,0.0,,,,,,,,0.0,0.0,,,,27.5,,2.414,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2010,0.676,0.133,,0.0,,0.0,-0.876,-0.241,0.0,,,,,,,793.037,96.518,,,,,,,19.749,,5.64,0.0,4.99,5.01,0.0,0.16,0.0,0.02,0.0,0.0,0.16,0.0,0.0,5.17,4.1,,,,,,,,,96.905,,0.0,,,,,,,0.0,,3.095,,,,,,,3.095,0.16,,,,,,,8.333,0.47,0.0,,,,,,,0.387,,,,,,,0.0,,,,,,,,0.0,0.0,,,,27.259,,3.095,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2011,-4.122,-0.814,,0.0,,0.0,0.556,0.152,0.0,,,,,,,805.172,97.931,,,,,,,18.935,,6.22,0.0,5.68,5.7,0.0,0.1,0.0,0.02,0.0,0.0,0.1,0.0,0.0,5.8,4.67,,,,,,,,,98.276,,0.0,,,,,,,0.0,,1.724,,,,,,,1.724,0.1,,,,,,,6.752,0.42,0.0,,,,,,,0.345,,,,,,,0.0,,,,,,,,0.0,0.0,,,,27.41,,1.724,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2012,4.715,0.893,,0.0,,0.0,-0.505,-0.138,0.0,,,,,,,806.397,98.148,,,,,,,19.827,,6.09,0.0,5.83,5.84,0.0,0.1,0.0,0.01,0.0,0.0,0.1,0.0,0.0,5.94,4.79,,,,,,,,,98.316,,0.0,,,,,,,0.0,,1.684,,,,,,,1.684,0.1,,,,,,,2.463,0.15,0.0,,,,,,,0.168,,,,,,,0.0,,,,,,,,0.0,0.0,,,,27.272,,1.684,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2013,-5.35,-1.061,,0.0,,0.0,-4.316,-1.177,0.0,,,,,,,802.147,97.699,,,,,,,18.767,,6.18,0.0,6.37,6.38,0.0,0.14,0.0,0.01,0.0,0.0,0.14,0.0,0.0,6.52,5.23,,,,,,,,,97.853,,0.0,,,,,,,0.0,,2.147,,,,,,,2.147,0.14,,,,,,,-5.502,-0.34,0.0,,,,,,,0.153,,,,,,,0.0,,,,,,,,0.0,0.0,,,,26.095,,2.147,,,,,,0.0,,,,,,,0.0,,,,,,
,Kosovo,2014,-12.349,-2.318,,0.0,,0.0,-7.355,-1.919,0.0,,,,,,,797.422,97.053,,,,,,,16.449,,5.92,0.0,5.27,5.28,0.0,0.15,0.0,0.01,0.0,0.0,0.15,0.0,0.0,5.43,4.33,,,,,,,,,97.238,,0.0,,,,,,,0.0,,2.762,,,,,,,2.762,0.15,,,,,,,8.277,0.49,0.0,,,,,,,0.184,,,,,,,0.0,,,,,,,,0.0,0.0,,,,24.176,,2.762,,,,,,0.0,,,,,,,0.0,,,,,,
