iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
KGZ,Kyrgyzstan,1992,,,,,,,,,,,,,,,,,,,,,,,,9.912,2225.244,,,,,,,,,,,,,,,,4.225,18575.243,,,,,,,,19580875909.0,,,,,,,,1.07,240.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,307.626,,,,,,,,,,,4454192.0,82.738,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1993,-19.991,-1.981,-59.979,-0.642,-9.462,-0.13,-12.413,-10.27,,,,,,,,,,,,,,,,7.93,1768.628,,,,,,,,,,,,,,,,4.297,16161.861,,,,,,,,16865843726.0,,,,,,,,0.428,95.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241,276.676,,,,,,,,,,,4483844.0,72.467,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1994,-50.901,-4.037,-12.057,-0.052,-19.478,-0.242,-11.532,-8.357,,,,,,,,,,,,,,,,3.894,861.666,,,,,,,,,,,,,,,,4.788,14187.369,,,,,,,,13389776019.0,,,,,,,,0.376,83.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,221.06,,,,,,,,,,,4518808.0,64.11,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1995,-45.207,-1.76,0.344,0.001,24.19,0.242,-14.822,-9.502,,,,,,,,,,,,,,,,2.133,467.242,,,,,,,,,,,,,,,,4.356,11959.355,,,,,,,,12537071816.0,,,,,,,,0.378,82.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241,271.692,,,,,,,,,,,4566096.0,54.608,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1996,-11.663,-0.249,-30.894,-0.117,0.274,0.003,24.516,13.387,,,,,,,,,,,,,,,,1.885,407.103,,,,,,,,,,,,,,,,5.116,14687.619,,,,,,,,13289591232.0,,,,,,,,0.261,56.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.244,268.711,,,,,,,,,,,4629403.0,67.995,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1997,27.628,0.521,-25.215,-0.066,-10.395,-0.129,-5.698,-3.875,,,,,,,,,,,,,,,,2.405,511.16,,,,,,,,,,,,,,,,4.433,13626.216,,,,,,,,14463592473.0,,,,,,,,0.195,41.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.115,236.878,,,,,,,,,,,4705651.0,64.12,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1998,-17.241,-0.415,-22.222,-0.043,-5.648,-0.063,0.359,0.23,,,,,,,,,,,,,,,,1.991,415.86,,,,,,,,,,,,,,,,4.4,13443.421,,,,,,,,14624163226.0,,,,,,,,0.152,31.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052,219.711,,,,,,,,,,,4786772.0,64.351,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,1999,-3.472,-0.069,-28.571,-0.043,-5.478,-0.058,7.577,4.876,,,,,,,,,,,,,,,,1.922,395.281,,,,,,,,,,,,,,,,4.612,14240.791,,,,,,,,15009657718.0,,,,,,,,0.108,22.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,204.5,,,,,,,,,,,4861121.0,69.226,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,2000,1.918,0.037,30.0,0.033,27.004,0.268,1.069,0.74,0.0,0.0,,,,,,132.952,12.977,,,,,414.574,,1.958,397.985,12.92,0.0,2.04,2.17,0.0,13.55,0.0,0.13,0.0,0.0,13.55,0.0,0.0,15.72,2.09,4.466,14218.728,,,,,,440.993,13.804,15667580318.0,0.0,,,,,0.0,,0.141,28.654,86.196,,,,,2753.667,,86.196,13.55,2753.667,,,,,,-21.672,-2.8,0.0,,,,,0.0,,0.827,,,,,26.419,,1.263,256.578,0.0,0.0,,,,,0.0,0.0,,3194.66,4920712.0,69.966,2753.667,86.196,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
KGZ,Kyrgyzstan,2001,12.0,0.235,23.077,0.033,-0.273,-0.003,-5.114,-3.578,0.0,0.0,,,,,,151.329,15.133,,,,,447.325,,2.193,441.96,12.83,0.0,2.22,2.36,0.0,12.31,0.0,0.14,0.0,0.0,12.31,0.0,0.0,14.67,2.22,4.064,13377.047,,,,,,475.534,16.087,16336560615.0,0.0,,,,,0.0,,0.174,34.967,83.913,,,,,2480.435,,83.913,12.31,2480.435,,,,,,-14.341,-1.84,0.0,,,,,0.0,,0.954,,,,,28.21,,1.259,253.705,0.0,0.0,,,,,0.0,0.0,,2955.969,4962839.0,66.388,2480.435,83.913,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
