iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
LVA,Latvia,1985,,,,,,,,,,,,,,,,,,,7.984,,8.443,,3271.663,,,,,,,,2.979,0.0,,,0.0,2.979,0.0,0.0,4.961,,2.843,40978.126,,92.176,,97.481,37772.09,,,37201218565.0,,,19.957,,21.105,,8177.807,,,60.042,,7.824,,8.274,1154.184,3206.069,60.042,2.979,1154.184,,7.824,,8.274,3206.069,,,0.0,,0.0,,0.0,0.0,0.0,,,64.236,,67.932,,26322.619,,,,0.0,,0.0,,0.0,,0.0,0.0,1922.3,2580763.0,105.755,1154.184,60.042,,7.824,,8.274,3206.069,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
LVA,Latvia,1986,,,,,,,-7.115,-7.524,,,,,,,,,,26.19,10.847,2.211,10.655,,4094.579,,,,,,,,3.001,0.0,,,0.0,3.001,0.0,0.0,5.184,,2.572,37749.832,-7.781,91.514,-7.585,89.895,34546.558,,,38189518605.0,,4.574,22.468,0.965,22.07,,8481.565,,,57.885,0.742,8.486,0.061,8.335,1153.189,3203.305,57.885,3.001,1153.189,0.742,8.486,0.061,8.335,3203.305,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-15.842,58.2,-10.762,57.17,,21970.413,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,1992.197,2602152.0,98.231,1153.189,57.885,0.742,8.486,0.061,8.335,3203.305,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1987,,,,,,,-8.929,-8.771,,,,,,,,,,-8.435,10.905,-0.899,9.756,,3713.856,,,,,,,,3.699,0.0,,,0.0,3.699,0.0,0.0,5.937,,2.352,34055.256,-11.914,88.514,-10.71,79.185,30143.794,,,38039137400.0,,4.009,25.66,0.885,22.955,,8738.5,,,62.305,23.27,11.486,1.94,10.275,1408.135,3911.489,62.305,3.699,1408.135,23.27,11.486,1.94,10.275,3911.489,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-18.71,51.949,-10.697,46.474,,17691.439,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,2260.073,2626906.0,89.46,1408.135,62.305,23.27,11.486,1.94,10.275,3911.489,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1988,,,,,,,-5.523,-4.941,,,,,,,,,,0.372,11.586,0.036,9.792,,3695.413,,,,,,,,3.001,0.0,,,0.0,3.001,0.0,0.0,5.11,,2.133,31895.966,-3.79,90.138,-3.001,76.184,28750.329,,,39628011500.0,,7.689,29.248,1.765,24.72,,9328.987,,,58.724,-18.877,9.862,-1.94,8.335,1132.438,3145.662,58.724,3.001,1132.438,-18.877,9.862,-1.94,8.335,3145.662,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-10.334,49.304,-4.803,41.671,,15725.929,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,1928.422,2649835.0,84.519,1132.438,58.724,-18.877,9.862,-1.94,8.335,3145.662,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1989,,,,,,,-0.152,-0.128,,,,,,,,,,-18.335,9.476,-1.795,7.997,,3001.864,,,,,,,,3.606,0.0,,,0.0,3.606,0.0,0.0,5.801,,2.02,31678.832,-2.376,88.13,-1.81,74.373,27918.524,,,41772726249.0,,0.0,29.293,0.0,24.72,,9279.581,,,62.166,20.177,11.87,1.682,10.017,1353.719,3760.334,62.166,3.606,1353.719,20.177,11.87,1.682,10.017,3760.334,,,0.0,,0.0,0.0,0.0,0.0,0.0,,-0.036,49.361,-0.015,41.656,,15637.079,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,2177.599,2663943.0,84.391,1353.719,62.166,20.177,11.87,1.682,10.017,3760.334,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1990,,,,,,,1.505,1.27,0.0,0.0,,,,,,,0.0,3.04,9.619,0.243,8.24,0.0,3092.522,,,10.23,0.0,0.0,2.15,1.73,4.5,0.0,0.42,0.0,0.0,4.5,0.0,0.0,6.65,,2.035,32149.458,-1.616,85.42,-1.202,73.172,27462.245,806.922,32.331,42100703540.0,26.015,3.905,29.985,0.965,25.686,649.29,9640.13,,,67.669,24.673,14.58,2.472,12.489,1688.906,4687.239,67.669,4.5,1688.906,24.673,14.58,2.472,12.489,4687.239,34.995,3.58,0.0,,0.0,0.0,0.0,0.0,0.0,6.316,-5.786,45.816,-2.41,39.246,157.631,14729.592,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2495.827,2664447.0,85.661,1688.906,67.669,24.673,14.58,2.472,12.489,4687.239,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1991,,,,,,,-7.667,-6.568,0.0,0.0,,,,,,,0.0,-12.35,9.131,-1.018,7.222,0.0,2726.235,,,9.88,0.0,0.0,2.37,1.81,3.28,0.0,0.56,0.0,0.0,3.28,0.0,0.0,5.65,,2.166,29855.727,-4.341,88.498,-3.176,69.995,26421.747,894.623,41.947,36517596963.0,32.035,-3.758,31.255,-0.965,24.72,683.235,9331.36,,,58.053,-27.157,11.502,-3.392,9.097,1238.128,3434.004,58.053,3.28,1238.128,-27.157,11.502,-3.392,9.097,3434.004,42.814,4.23,0.0,,0.0,0.0,0.0,0.0,0.0,9.912,-3.04,48.112,-1.193,38.053,211.388,14364.152,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2132.751,2649161.0,79.093,1238.128,58.053,-27.157,11.502,-3.392,9.097,3434.004,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1992,,,,,,,-28.46,-22.51,0.0,0.0,,,,,,,0.0,-12.029,11.229,-0.869,6.353,0.0,2424.755,0.0,0.0,7.92,0.0,0.0,1.32,1.15,2.52,0.0,0.17,0.0,0.0,2.52,0.0,0.0,3.84,,2.299,21594.43,-29.167,87.624,-20.415,49.58,18921.888,503.768,34.375,24608100411.0,29.948,-42.879,24.955,-10.6,14.12,438.889,5388.967,0.0,0.0,65.625,-23.023,12.376,-2.094,7.003,961.739,2672.559,65.625,2.52,961.739,-23.023,12.376,-2.094,7.003,2672.559,51.515,4.08,0.0,,0.0,0.0,0.0,0.0,0.0,4.427,-23.511,51.44,-8.947,29.106,64.879,11108.165,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1465.507,2620254.0,56.583,961.739,65.625,-23.023,12.376,-2.094,7.003,2672.559,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1993,,0.0,,0.0,,0.0,-14.037,-7.943,0.0,0.0,,,,,,,0.0,-8.603,11.938,-0.547,5.807,0.0,2248.406,0.0,0.0,6.43,0.0,0.0,1.05,0.56,2.88,0.0,0.49,0.0,0.0,2.88,0.0,0.0,3.93,,2.248,18833.367,-18.009,83.576,-8.929,40.651,15740.097,406.558,26.718,21636016750.0,14.249,-37.466,18.154,-5.29,8.83,216.831,3418.967,0.0,0.0,73.282,14.082,16.424,0.986,7.989,1115.13,3093.284,73.282,2.88,1115.13,14.082,16.424,0.986,7.989,3093.284,38.88,2.5,0.0,,0.0,0.0,0.0,0.0,0.0,12.468,-10.623,53.483,-3.092,26.014,189.727,10072.725,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1521.688,2582658.0,48.64,1115.13,73.282,14.082,16.424,0.986,7.989,3093.284,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LVA,Latvia,1994,,0.0,,0.0,,0.0,-3.309,-1.609,0.0,0.0,,,,,,,0.0,-24.775,9.288,-1.439,4.368,0.0,1717.321,0.0,0.0,6.26,0.0,0.0,1.13,0.31,3.31,0.0,0.82,0.0,0.0,3.31,0.0,0.0,4.44,,2.143,18489.614,-6.89,80.48,-2.801,37.85,14880.394,444.247,25.45,21944830346.0,6.982,0.0,18.775,0.0,8.83,121.873,3471.423,0.0,0.0,74.55,14.917,19.52,1.192,9.181,1301.289,3609.234,74.55,3.31,1301.289,14.917,19.52,1.192,9.181,3609.234,29.073,1.82,0.0,,0.0,0.0,0.0,0.0,0.0,18.468,-5.237,52.417,-1.362,24.652,322.374,9691.651,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1745.536,2543632.0,47.031,1301.289,74.55,14.917,19.52,1.192,9.181,3609.234,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
