iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
LBN,Lebanon,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.128,11691.679,,,,,,,,14227047936.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2588928.0,30.269,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1981,,0.0,,0.0,,0.0,-6.237,-1.888,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.024,10939.735,,,,,,,,14025617819.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2594299.0,28.381,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1982,,0.0,,0.0,,0.0,-4.003,-1.136,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.125,10454.079,,,,,,,,8719515843.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2606148.0,27.245,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1983,,0.0,,0.0,,0.0,3.298,0.899,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.676,10733.302,,,,,,,,10518242364.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2622072.0,28.143,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1984,,0.0,,0.0,,0.0,-4.179,-1.176,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.806,10222.403,,,,,,,,14929918908.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2638056.0,26.967,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1985,,0.0,,0.0,,0.0,16.012,4.318,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.717,11796.88,,,,,,,,18218143800.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2651992.0,31.285,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1986,,0.0,,0.0,,0.0,-4.377,-1.369,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.793,11242.889,,,,,,,,16681318200.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2660873.0,29.916,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1987,,0.0,,0.0,,0.0,4.984,1.491,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.638,11771.839,,,,,,,,19174717198.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2667957.0,31.407,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1988,,0.0,,0.0,,0.0,-9.736,-3.058,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.087,10559.537,,,,,,,,13586212130.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2684682.0,28.349,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,1989,,0.0,,0.0,,0.0,-20.416,-5.788,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.916,8274.946,,,,,,,,7735714480.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2726438.0,22.561,,,,,,,,,,,,,,,,,,,,,
