iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
LSO,Lesotho,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.277,446.121,,,,,,,,2159451000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340258.0,0.598,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1981,,0.0,,,,,-0.273,-0.002,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.273,432.777,,,,,,,,2181780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377808.0,0.596,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1982,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.264,421.294,,,,,,,,2258408000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415362.0,0.596,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1983,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.26,410.458,,,,,,,,2296231000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452727.0,0.596,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1984,,0.0,,,,,0.274,0.002,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.249,401.372,,,,,,,,2400979000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489685.0,0.598,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1985,,0.0,,,,,9.699,0.058,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.264,429.787,,,,,,,,2483200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526132.0,0.656,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1986,,0.0,,,,,4.89,0.032,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.264,440.54,,,,,,,,2610615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561687.0,0.688,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1987,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.263,430.962,,,,,,,,2619536000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596395.0,0.688,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1988,,0.0,,,,,-32.703,-0.225,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.162,283.872,,,,,,,,2855720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630993.0,0.463,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,1989,,0.0,,,,,48.595,0.225,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.228,412.817,,,,,,,,3019896000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666564.0,0.688,,,,,,,,,,,,,,,,,,,,,
