iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
LBR,Liberia,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.204,4994.424,,,,,,,,7688404000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852991.0,9.255,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1981,,0.0,,,,,-7.574,-0.701,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.158,4457.749,,,,,,,,7388006000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918832.0,8.554,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1982,,0.0,,,,,0.503,0.043,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.143,4321.064,,,,,,,,7519236000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989477.0,8.597,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1983,,0.0,,,,,-0.213,-0.018,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.181,4169.847,,,,,,,,7261876000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057231.0,8.578,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1984,,0.0,,,,,-10.7,-0.918,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.062,3627.687,,,,,,,,7216528000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111667.0,7.66,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1985,,0.0,,,,,1.196,0.092,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.096,3612.75,,,,,,,,7070847000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145756.0,7.752,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1986,,0.0,,,,,-20.99,-1.627,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.877,2837.678,,,,,,,,6987057000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158434.0,6.125,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1987,,0.0,,,,,-21.64,-1.325,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.675,2228.897,,,,,,,,7111704000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153312.0,4.8,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1988,,0.0,,,,,24.469,1.174,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.817,2799.255,,,,,,,,7312740000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134105.0,5.974,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,1989,,0.0,,,,,-16.431,-0.982,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.664,2370.045,,,,,,,,7518948000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106429.0,4.992,,,,,,,,,,,,,,,,,,,,,
