iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
LUX,Luxembourg,1965,,,,,,,,,,,,,,,,,,,75.897,,31.716,,96063.116,,,,,,,,0.086,0.0,,,0.0,0.086,0.0,0.0,,,7.003,126570.663,,99.426,,41.549,125843.742,,,5967663000.0,,,0.0,,0.0,,0.0,,,,,0.574,,0.24,261.728,727.022,,0.086,261.728,,0.574,,0.24,727.022,,,,,0.0,,0.0,0.0,0.0,,,23.529,,9.832,,29780.626,,,,0.0,,0.0,,0.0,,,0.0,,330160.0,41.789,261.728,,,0.574,,0.24,727.022,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
LUX,Luxembourg,1966,,,,,,,-4.176,-1.745,,,,,,,,,,-9.706,71.517,-3.078,28.638,,86148.476,,,,,,,,0.078,0.0,,,0.0,0.078,0.0,0.0,,,6.632,120458.819,-4.143,99.461,-1.721,39.827,119809.149,,,6038157180.0,,,0.0,0.0,0.0,,0.0,,,,-10.014,0.539,-0.024,0.216,233.916,649.767,,0.078,233.916,-10.014,0.539,-0.024,0.216,649.767,,,,,0.0,0.0,0.0,0.0,0.0,,13.803,27.944,1.357,11.19,,33660.672,,,,0.0,,0.0,0.0,0.0,,,0.0,,332423.0,40.043,233.916,,-10.014,0.539,-0.024,0.216,649.767,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1967,,,,,,,-1.517,-0.608,,,,,,,,,,-6.299,68.045,-1.804,26.834,,80284.831,,,,,,,,0.088,0.0,,,0.0,0.088,0.0,0.0,,,6.516,117988.332,-1.595,99.382,-0.635,39.192,117259.088,,,6052326792.0,,,0.0,0.0,0.0,,0.0,,,,12.858,0.618,0.028,0.244,262.562,729.338,,0.088,262.562,12.858,0.618,0.028,0.244,729.338,,,,,0.0,0.0,0.0,0.0,0.0,,10.442,31.337,1.168,12.358,,36974.257,,,,0.0,,0.0,0.0,0.0,,,0.0,,334234.0,39.436,262.562,,12.858,0.618,0.028,0.244,729.338,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1968,,,,,,,8.158,3.217,,,,,,,,,,7.186,67.433,1.928,28.762,,85645.302,,,,,,,,0.09,0.0,,,0.0,0.09,0.0,0.0,,,6.764,127007.391,8.195,99.416,3.212,42.404,126266.11,,,6305567058.0,,,0.0,0.0,0.0,,0.0,,,,2.137,0.584,0.005,0.249,266.898,741.383,,0.09,266.898,2.137,0.584,0.005,0.249,741.383,,,,,0.0,0.0,0.0,0.0,0.0,,10.387,31.983,1.284,13.642,,40620.808,,,,0.0,,0.0,0.0,0.0,,,0.0,,335829.0,42.653,266.898,,2.137,0.584,0.005,0.249,741.383,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1969,,,,,,,7.627,3.253,,,,,,,,,,6.235,66.561,1.793,30.555,,90516.647,,,,,,,,0.078,0.0,,,0.0,0.078,0.0,0.0,,,6.63,135990.224,7.748,99.528,3.286,45.689,135348.511,,,6924150000.0,,,0.064,0.029,0.029,,86.649,,,,-12.981,0.472,-0.032,0.217,231.056,641.822,,0.078,231.056,-12.981,0.472,-0.032,0.217,641.822,,,,,0.0,0.0,0.0,0.0,0.0,,10.724,32.903,1.463,15.105,,44745.216,,,,0.0,,0.0,0.0,0.0,,,0.0,,337568.0,45.906,231.056,,-12.981,0.472,-0.032,0.217,641.822,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1970,,,,,,,3.834,1.76,,,,,,,,,,2.535,65.729,0.775,31.33,,92236.281,,,,,,,,0.086,0.0,,,0.0,0.086,0.0,0.0,,,6.769,140328.852,3.802,99.498,1.737,47.426,139623.92,,,7042269762.0,,149.404,0.153,0.044,0.073,,214.768,,,,10.535,0.502,0.023,0.239,253.815,705.043,,0.086,253.815,10.535,0.502,0.023,0.239,705.043,,,,,0.0,0.0,0.0,0.0,0.0,,6.083,33.616,0.919,16.023,,47172.872,,,,0.0,,0.0,0.0,0.0,,,0.0,,339672.0,47.666,253.815,,10.535,0.502,0.023,0.239,705.043,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1971,,,,,,,-3.839,-1.83,,,,,,,,,,-7.844,62.991,-2.457,28.873,,84365.755,,,,,,,,0.049,0.0,,,0.0,0.049,0.0,0.0,,,6.339,133931.96,-3.639,99.705,-1.726,45.7,133536.542,,,7230460800.0,,100.873,0.32,0.074,0.147,,428.184,,,,-43.478,0.295,-0.104,0.135,142.389,395.525,,0.049,142.389,-43.478,0.295,-0.104,0.135,395.525,,,,,0.0,0.0,0.0,0.0,0.0,,4.106,36.394,0.658,16.681,,48742.603,,,,0.0,,0.0,0.0,0.0,,,0.0,,342232.0,45.836,142.389,,-43.478,0.295,-0.104,0.135,395.525,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1972,,,,,,,3.117,1.429,,,,,,,,,,-1.583,60.12,-0.457,28.416,,82339.242,,,,,,,,0.057,0.0,,,0.0,0.057,0.0,0.0,,,6.133,136957.007,3.073,99.662,1.404,47.105,136494.597,,,7706997600.0,,700.0,2.48,1.026,1.172,,3396.961,,,,17.919,0.338,0.024,0.16,166.506,462.518,,0.057,166.506,17.919,0.338,0.024,0.16,462.518,,,,,0.0,0.0,0.0,0.0,0.0,,5.009,37.062,0.836,17.517,,50758.395,,,,0.0,,0.0,0.0,0.0,,,0.0,,345104.0,47.264,166.506,,17.919,0.338,0.024,0.16,462.518,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1973,,,,,,,6.014,2.842,,,,,,,,,,-0.913,56.193,-0.259,28.156,,80867.408,,,,,,,,0.051,0.0,,,0.0,0.051,0.0,0.0,,,6.002,143911.184,6.074,99.719,2.861,49.966,143506.549,,,8347719000.0,,100.0,4.679,1.172,2.345,,6733.94,,,,-11.71,0.281,-0.019,0.141,145.71,404.75,,0.051,145.71,-11.71,0.281,-0.019,0.141,404.75,,,,,0.0,0.0,0.0,0.0,0.0,,11.121,38.847,1.948,19.465,,55905.2,,,,0.0,,0.0,0.0,0.0,,,0.0,,348178.0,50.107,145.71,,-11.71,0.281,-0.019,0.141,404.75,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
LUX,Luxembourg,1974,,,,,,,1.544,0.774,,,,,,,,,,6.609,58.995,1.861,30.017,,85472.405,,,,,,,,0.075,0.0,,,0.0,0.075,0.0,0.0,,,5.848,144880.258,1.414,99.591,0.707,50.672,144287.635,,,8699790150.0,,34.375,6.192,0.806,3.151,,8971.125,,,,47.713,0.409,0.067,0.208,213.386,592.739,,0.075,213.386,47.713,0.409,0.067,0.208,592.739,,,,,0.0,0.0,0.0,0.0,0.0,,-10.07,34.404,-1.96,17.505,,49844.104,,,,0.0,,0.0,0.0,0.0,,,0.0,,351190.0,50.88,213.386,,47.713,0.409,0.067,0.208,592.739,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
