iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MWI,Malawi,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.564,567.232,,,,,,,,6283546048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250434.0,3.545,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1981,,0.0,,,,,4.666,0.165,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.621,578.707,,,,,,,,5974818275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6412380.0,3.711,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1982,,0.0,,,,,-5.446,-0.202,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.582,534.392,,,,,,,,6028067264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6565985.0,3.509,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1983,,0.073,,,,,-6.857,-0.241,,,,,,,,,,,,,,,,0.073,10.856,,,,,,,,,,,,,,,,0.52,485.048,,,,,,,,6284869228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6737924.0,3.268,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1984,10.0,0.007,,,,,-0.632,-0.021,,,,,,,,,,,,,,,,0.08,11.553,,,,,,,,,,,,,,,,0.494,466.294,,,,,,,,6571625500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6964613.0,3.248,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1985,159.091,0.128,,,,,10.384,0.337,,,,,,,,,,,,,,,,0.208,28.683,,,,,,,,,,,,,,,,0.506,493.211,,,,,,,,7081270728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7268271.0,3.585,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1986,8.772,0.018,,,,,-0.948,-0.034,,,,,,,,,,,,,,,,0.227,29.579,,,,,,,,,,,,,,,,0.499,463.166,,,,,,,,7121541024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7666390.0,3.551,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1987,3.427,0.008,,,,,4.524,0.161,,,,,,,,,,,,,,,,0.235,28.809,,,,,,,,,,,,,,,,0.509,455.887,,,,,,,,7284503375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8141140.0,3.711,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1988,43.47,0.102,,,,,0.287,0.011,,,,,,,,,,,,,,,,0.336,38.96,,,,,,,,,,,,,,,,0.498,430.964,,,,,,,,7481569904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8636686.0,3.722,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,1989,15.217,0.051,,,,,12.55,0.467,,,,,,,,,,,,,,,,0.388,42.718,,,,,,,,,,,,,,,,0.534,461.592,,,,,,,,7846863552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9075568.0,4.189,,,,,,,,,,,,,,,,,,,,,
