iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MLI,Mali,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.26,289.678,,,,,,,,7893522704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7090124.0,2.054,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1981,,0.0,,,,,28.841,0.592,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.347,365.763,,,,,,,,7633887646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7234725.0,2.646,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1982,,0.0,,,,,-19.963,-0.528,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.294,286.647,,,,,,,,7198211650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7388670.0,2.118,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1983,,0.0,,,,,2.571,0.054,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.289,287.917,,,,,,,,7514189746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7545163.0,2.172,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1984,,0.0,,,,,1.644,0.036,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.282,286.958,,,,,,,,7840599100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7694857.0,2.208,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1985,,0.0,,,,,7.924,0.175,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.297,304.279,,,,,,,,8016484014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7831888.0,2.383,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1986,,0.0,,,,,-17.169,-0.409,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.231,248.204,,,,,,,,8528636304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7952863.0,1.974,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1987,,0.0,,,,,13.547,0.267,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.258,278.006,,,,,,,,8685988702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8062216.0,2.241,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1988,,0.0,,,,,-36.032,-0.808,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.165,175.457,,,,,,,,8679173292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8171525.0,1.434,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1989,,0.0,,,,,70.053,1.004,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.255,293.861,,,,,,,,9552949595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8296919.0,2.438,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1990,,0.0,,,,,1.718,0.042,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.258,293.496,,,,,,,,9628796712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8449915.0,2.48,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1991,,0.0,,,,,0.207,0.005,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.242,287.781,,,,,,,,10269520023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8635528.0,2.485,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1992,,0.0,,,,,7.734,0.192,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.268,302.513,,,,,,,,9995125966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850334.0,2.677,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1993,,0.0,,,,,0.846,0.023,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.263,297.122,,,,,,,,10249529968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9087173.0,2.7,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1994,,0.0,,,,,0.241,0.006,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.257,289.933,,,,,,,,10520795919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9334893.0,2.706,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1995,,0.0,,,,,0.325,0.009,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.253,283.267,,,,,,,,10736651622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9585660.0,2.715,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1996,,0.0,,,,,3.606,0.098,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.247,285.965,,,,,,,,11389968444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9837575.0,2.813,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1997,,0.0,,,,,1.321,0.037,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.242,282.372,,,,,,,,11793163874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10094363.0,2.85,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1998,,0.0,,,,,2.249,0.064,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.243,281.303,,,,,,,,12008589306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360564.0,2.914,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,1999,,0.0,,,,,0.067,0.002,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.231,274.023,,,,,,,,12634194438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10642937.0,2.916,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,2000,,0.0,,,,,50.972,1.487,5.128,1.827,,,,,,282.051,0.0,,,,,0.0,,0.0,0.0,0.39,0.02,0.0,0.14,0.0,0.23,0.0,0.14,0.0,0.02,0.25,0.0,0.0,0.39,0.11,0.353,402.227,,,,,,12.79,35.897,12490369076.0,0.0,,,,,0.0,,,,58.974,,,,,21.011,,64.103,0.25,22.838,,,,,,0.0,0.0,0.0,,,,,0.0,,35.897,,,,,12.79,,,,0.0,1.827,,,,,0.0,5.128,,35.628,10946448.0,4.403,22.838,64.103,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2001,,0.0,,,,,1.18,0.052,5.0,1.774,,,,,,300.0,0.0,,,,,0.0,,0.0,0.0,0.4,0.02,0.0,0.15,0.0,0.23,0.0,0.15,0.0,0.02,0.25,0.0,0.0,0.4,0.12,0.312,395.233,,,,,,13.308,37.5,14257387030.0,0.0,,,,,0.0,,,,57.5,,,,,20.405,,62.5,0.25,22.18,,,,,,0.0,0.0,0.0,,,,,0.0,,37.5,,,,,13.308,,,,0.0,1.774,,,,,0.0,5.0,,35.487,11271603.0,4.455,22.18,62.5,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2002,,0.0,,,,,1.28,0.057,4.878,1.722,,,,,,292.683,0.0,,,,,0.0,,0.0,0.0,0.41,0.02,0.0,0.15,0.0,0.24,0.0,0.15,0.0,0.02,0.26,0.0,0.0,0.41,0.12,0.31,388.393,,,,,,12.912,36.585,14544527302.0,0.0,,,,,0.0,,,,58.537,,,,,20.66,,63.415,0.26,22.381,,,,,,0.0,0.0,0.0,,,,,0.0,,36.585,,,,,12.912,,,,0.0,1.722,,,,,0.0,4.878,,35.293,11616890.0,4.512,22.381,63.415,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2003,,0.0,,,,,0.369,0.017,6.977,2.504,,,,,,325.581,0.0,,,,,0.0,,0.0,0.0,0.43,0.03,0.0,0.17,0.0,0.23,0.0,0.17,0.0,0.03,0.26,0.0,0.0,0.43,0.14,0.288,377.925,,,,,,14.187,39.535,15730793180.0,0.0,,,,,0.0,,,,53.488,,,,,19.194,,60.465,0.26,21.698,,,,,,0.0,0.0,0.0,,,,,0.0,,39.535,,,,,14.187,,,,0.0,2.504,,,,,0.0,6.977,,35.885,11982692.0,4.529,21.698,60.465,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2004,,0.0,,,,,3.828,0.173,6.522,2.425,,,,,,326.087,0.0,,,,,0.0,,0.0,0.0,0.46,0.03,0.0,0.18,0.0,0.25,0.0,0.18,0.0,0.03,0.28,0.0,0.0,0.46,0.15,0.297,380.134,,,,,,14.552,39.13,15828927343.0,0.0,,,,,0.0,,,,54.348,,,,,20.212,,60.87,0.28,22.637,,,,,,0.0,0.0,0.0,,,,,0.0,,39.13,,,,,14.552,,,,0.0,2.425,,,,,0.0,6.522,,37.19,12369078.0,4.702,22.637,60.87,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2005,,0.0,,,,,14.569,0.685,5.128,3.131,,,,,,282.051,0.0,,,,,0.0,,0.0,0.0,0.78,0.04,0.0,0.29,0.0,0.45,0.0,0.29,0.0,0.04,0.49,0.0,0.0,0.78,0.22,0.323,421.662,,,,,,22.7,37.179,16700207951.0,0.0,,,,,0.0,,,,57.692,,,,,35.224,,62.821,0.49,38.355,,,,,,0.0,0.0,0.0,,,,,0.0,,37.179,,,,,22.7,,,,0.0,3.131,,,,,0.0,5.128,,61.054,12775509.0,5.387,38.355,62.821,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2006,,0.0,,,,,15.299,0.824,5.952,3.787,,,,,,285.714,0.0,,,,,0.0,,0.0,0.0,0.84,0.05,0.0,0.31,0.0,0.48,0.0,0.31,0.0,0.05,0.53,0.0,0.0,0.84,0.24,0.359,470.418,,,,,,23.479,36.905,17320427440.0,0.0,,,,,0.0,,,,57.143,,,,,36.354,,63.095,0.53,40.141,,,,,,0.0,0.0,0.0,,,,,0.0,,36.905,,,,,23.479,,,,0.0,3.787,,,,,0.0,5.952,,63.62,13203378.0,6.211,40.141,63.095,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2007,,0.0,,,,,15.142,0.94,6.024,3.663,,,,,,289.157,0.0,,,,,0.0,,0.0,0.0,0.83,0.05,0.0,0.31,0.0,0.47,0.0,0.31,0.0,0.05,0.52,0.0,0.0,0.83,0.24,0.402,523.868,,,,,,22.708,37.349,17779654106.0,0.0,,,,,0.0,,,,56.627,,,,,34.429,,62.651,0.52,38.091,,,,,,0.0,0.0,0.0,,,,,0.0,,37.349,,,,,22.708,,,,0.0,3.663,,,,,0.0,6.024,,60.799,13651455.0,7.152,38.091,62.651,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2008,,0.0,,,,,19.661,1.406,6.0,4.251,,,,,,280.0,0.0,,,,,0.0,,0.0,0.0,1.0,0.06,0.0,0.37,0.0,0.57,0.0,0.37,0.0,0.06,0.63,0.0,0.0,1.0,0.28,0.463,606.341,,,,,,26.216,37.0,18486106256.0,0.0,,,,,0.0,,,,57.0,,,,,40.387,,63.0,0.63,44.638,,,,,,0.0,0.0,0.0,,,,,0.0,,37.0,,,,,26.216,,,,0.0,4.251,,,,,0.0,6.0,,70.854,14113578.0,8.558,44.638,63.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLI,Mali,2009,,0.0,,,,,24.357,2.084,5.357,4.115,,,,,,267.857,0.0,,,,,0.0,,0.0,0.0,1.12,0.06,0.0,0.39,0.0,0.67,0.0,0.39,0.0,0.06,0.73,0.0,0.0,1.12,0.3,0.555,729.833,,,,,,26.746,34.821,19186286297.0,0.0,,,,,0.0,,,,59.821,,,,,45.949,,65.179,0.73,50.064,,,,,,0.0,0.0,0.0,,,,,0.0,,34.821,,,,,26.746,,,,0.0,4.115,,,,,0.0,5.357,,76.81,14581427.0,10.642,50.064,65.179,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
