iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MLT,Malta,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.698,16628.626,,,,,,,,3246888920.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,331494.0,5.512,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1981,,0.0,,0.0,,0.0,9.913,0.546,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.806,18133.689,,,,,,,,3354326048.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,334115.0,6.059,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1982,,0.0,,0.0,,0.0,6.153,0.373,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.874,19086.677,,,,,,,,3431474772.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,336964.0,6.432,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1983,,0.0,,0.0,,0.0,-29.062,-1.869,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.338,13419.499,,,,,,,,3410439978.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,339984.0,4.562,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1984,,0.0,,0.0,,0.0,41.26,1.882,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.872,18784.395,,,,,,,,3442460063.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,343096.0,6.445,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1985,,0.0,,0.0,,0.0,-31.204,-2.011,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.256,12804.995,,,,,,,,3531468864.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,346254.0,4.434,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1986,,0.0,,0.0,,0.0,30.777,1.365,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.581,16593.736,,,,,,,,3668679000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,349431.0,5.798,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1987,,0.0,,0.0,,0.0,11.693,0.678,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.696,18366.581,,,,,,,,3819621321.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,352617.0,6.476,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1988,,0.0,,0.0,,0.0,11.579,0.75,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.745,20310.066,,,,,,,,4140703515.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,355796.0,7.226,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1989,,0.0,,0.0,,0.0,3.015,0.218,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.662,20739.344,,,,,,,,4479557061.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,358935.0,7.444,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,1990,,0.0,,0.0,,0.0,8.898,0.662,0.0,0.0,,,,,,,55.856,,,,,1712.627,,0.0,0.0,1.11,0.0,0.62,1.11,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.11,,1.703,22392.525,,,,,,3066.154,100.0,4761399713.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,44.144,,,,,1353.528,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,3066.154,362017.0,8.106,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1991,,0.0,,0.0,,0.0,5.347,0.433,0.0,0.0,,,,,,,41.549,,,,,1616.478,,0.0,0.0,1.42,0.0,0.59,1.42,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,1.42,,1.687,23397.719,,,,,,3890.507,100.0,5061075304.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,58.451,,,,,2274.029,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,3890.507,364991.0,8.54,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1992,,0.0,,0.0,,0.0,5.102,0.436,0.0,0.0,,,,,,,37.584,,,,,1522.194,,0.0,0.0,1.49,0.0,0.56,1.49,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.49,,1.693,24397.718,,,,,,4050.124,100.0,5300727152.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,62.416,,,,,2527.93,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4050.124,367890.0,8.976,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1993,,0.0,,0.0,,0.0,5.559,0.499,0.0,0.0,,,,,,,40.0,,,,,1618.236,,0.0,0.0,1.5,0.0,0.6,1.5,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.5,,1.71,25553.637,,,,,,4045.591,100.0,5540228341.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,60.0,,,,,2427.355,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4045.591,370774.0,9.475,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1994,,0.0,,0.0,,0.0,7.058,0.669,0.0,0.0,,,,,,,23.377,,,,,963.2,,0.0,0.0,1.54,0.0,0.36,1.54,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1.54,,1.732,27139.189,,,,,,4120.357,100.0,5855593885.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,76.623,,,,,3157.157,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4120.357,373754.0,10.143,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1995,,0.0,,0.0,,0.0,-2.967,-0.301,0.0,0.0,,,,,,,5.521,,,,,238.795,,0.0,0.0,1.63,0.0,0.09,1.63,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,1.63,,1.58,26114.699,,,,,,4324.835,100.0,6229765182.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,94.479,,,,,4086.04,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4324.835,376893.0,9.842,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1996,,0.0,,0.0,,0.0,3.726,0.367,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,1.66,0.0,0.0,1.66,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,1.66,,1.579,26848.009,,,,,,4365.446,100.0,6467464248.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,4365.446,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4365.446,380259.0,10.209,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1997,,0.0,,0.0,,0.0,6.671,0.681,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,1.69,0.0,0.0,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,1.69,,1.599,28378.076,,,,,,4403.84,100.0,6810149830.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,4403.84,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4403.84,383756.0,10.89,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1998,,0.0,,0.0,,0.0,4.735,0.516,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,1.72,0.0,0.0,1.72,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,1.72,,1.593,29451.058,,,,,,4441.208,100.0,7162085104.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,4441.208,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4441.208,387282.0,11.406,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,1999,,0.0,,0.0,,0.0,10.871,1.24,0.0,0.0,,,,,,,0.0,,,,,0.0,,0.0,0.0,1.85,0.0,0.0,1.85,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,1.85,,1.685,32373.13,,,,,,4735.988,100.0,7503060116.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,4735.988,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4735.988,390626.0,12.646,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,2000,,0.0,,0.0,,0.0,46.41,5.869,0.0,0.0,,,,,,697.917,0.0,,,,,0.0,,0.0,0.0,1.92,0.0,0.0,1.92,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,1.92,1.34,2.31,47033.457,,,,,,4877.442,100.0,8014504148.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,4877.442,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4877.442,393649.0,18.515,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MLT,Malta,2001,,0.0,,0.0,,0.0,10.157,1.881,0.0,0.0,,,,,,701.031,0.0,,,,,0.0,,0.0,0.0,1.94,0.0,0.0,1.94,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,1.94,1.36,2.528,51461.053,,,,,,4894.985,100.0,8066432493.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,100.0,,,,,4894.985,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4894.985,396324.0,20.395,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
