iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MUS,Mauritius,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.592,4117.519,,,,,,,,6716995970.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,966039.0,3.978,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1981,,0.0,,0.0,,0.0,-11.335,-0.451,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.496,3605.888,,,,,,,,7111819200.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,978071.0,3.527,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1982,,0.0,,0.0,,0.0,-0.56,-0.02,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.467,3546.476,,,,,,,,7502798520.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,988889.0,3.507,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1983,,0.0,,0.0,,0.0,3.787,0.133,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.483,3644.901,,,,,,,,7532347300.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,998620.0,3.64,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1984,,0.0,,0.0,,0.0,7.946,0.289,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.498,3899.857,,,,,,,,7891903516.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1007502.0,3.929,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1985,,0.0,,0.0,,0.0,6.88,0.27,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.498,4134.28,,,,,,,,8434796160.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1015764.0,4.199,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1986,,0.0,,0.0,,0.0,24.244,1.018,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.564,5098.885,,,,,,,,9255125233.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1023278.0,5.218,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1987,,0.0,,0.0,,0.0,-11.618,-0.606,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.452,4476.333,,,,,,,,10196916479.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1030176.0,4.611,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1988,,0.0,,0.0,,0.0,33.628,1.551,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.566,5940.806,,,,,,,,10886205756.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1037253.0,6.162,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,1989,,0.0,,0.0,,0.0,16.308,1.005,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.63,6854.606,,,,,,,,11383072818.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1045584.0,7.167,,,,,,,,,,,,,,,,,,,,,
