iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Middle Africa,1965,,,,,,,,,,,,,,,,,,,5.727,,2.116,,,,,,,,,,3.935,0.0,,,0.0,3.935,0.0,0.0,,,,,,70.422,,26.024,,,,,,,0.292,,0.108,,,,,,,29.578,,10.931,,,,3.935,,,29.578,,10.931,,,,,,0.0,,0.0,,,,,64.404,,23.8,,,,,,,,0.0,,0.0,,,,,,36.955,,,,29.578,,10.931,,,,0.0,,0.0,,,,,0.0,,0.0,,
,Middle Africa,1966,,,,,,,3.051,1.127,,,,,,,,,,10.357,6.133,0.219,2.335,,,,,,,,,,4.093,0.0,,,0.0,4.093,0.0,0.0,,,,,2.645,70.145,0.688,26.713,,,,,,0.0,0.283,0.0,0.108,,,,,,4.015,29.855,0.439,11.369,,,,4.093,,4.015,29.855,0.439,11.369,,,,,,0.0,0.0,0.0,,,,1.972,63.729,0.469,24.27,,,,,,,,0.0,0.0,0.0,,,,,,38.082,,,4.015,29.855,0.439,11.369,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1967,,,,,,,-0.429,-0.163,,,,,,,,,,-4.568,5.878,-0.107,2.229,,,,,,,,,,3.846,0.0,,,0.0,3.846,0.0,0.0,,,,,1.957,71.826,0.523,27.236,,,,,,53.364,0.436,0.058,0.165,,,,,,-6.035,28.174,-0.686,10.683,,,,3.846,,-6.035,28.174,-0.686,10.683,,,,,,0.0,0.0,0.0,,,,2.356,65.512,0.572,24.841,,,,,,,,0.0,0.0,0.0,,,,,,37.919,,,-6.035,28.174,-0.686,10.683,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1968,,,,,,,3.76,1.426,,,,,,,,,,9.506,6.203,0.212,2.441,,,,,,,,,,4.012,0.0,,,0.0,4.012,0.0,0.0,,,,,3.542,71.675,0.965,28.2,,,,,,47.504,0.62,0.079,0.244,,,,,,4.316,28.325,0.461,11.144,,,,4.012,,4.316,28.325,0.461,11.144,,,,,,0.0,0.0,0.0,,,,2.714,64.852,0.674,25.516,,,,,,,,0.0,0.0,0.0,,,,,,39.345,,,4.316,28.325,0.461,11.144,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1969,,,,,,,4.994,1.965,,,,,,,,,,7.407,6.346,0.181,2.621,,,,,,,,,,4.36,0.0,,,0.0,4.36,0.0,0.0,,,,,3.54,70.682,0.998,29.199,,,,,,-3.897,0.567,-0.01,0.234,,,,,,8.674,29.318,0.967,12.111,,,,4.36,,8.674,29.318,0.967,12.111,,,,,,0.0,0.0,0.0,,,,3.241,63.769,0.827,26.343,,,,,,,,0.0,0.0,0.0,,,,,,41.31,,,8.674,29.318,0.967,12.111,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1970,,,,,,,4.885,2.018,,,,,,,,,,-4.869,5.756,-0.128,2.494,,,,,,,,,,4.865,0.0,,,0.0,4.865,0.0,0.0,,,,,2.107,68.81,0.615,29.814,,,,,,143.65,1.317,0.337,0.571,,,,,,11.583,31.19,1.403,13.514,,,,4.865,,11.583,31.19,1.403,13.514,,,,,,0.0,0.0,0.0,,,,1.542,61.737,0.406,26.749,,,,,,,,0.0,0.0,0.0,,,,,,43.328,,,11.583,31.19,1.403,13.514,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1971,,,,,,,14.884,6.449,,,,,,,,,,3.683,5.195,0.092,2.586,,,,,,,,,,5.19,0.0,,,0.0,5.19,0.0,0.0,,,,,18.603,71.037,5.546,35.36,,,,,,128.734,2.623,0.735,1.306,,,,,,6.68,28.963,0.903,14.417,,,,5.19,,6.68,28.963,0.903,14.417,,,,,,0.0,0.0,0.0,,,,17.644,63.22,4.72,31.469,,,,,,,,0.0,0.0,0.0,,,,,,49.777,,,6.68,28.963,0.903,14.417,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1972,,,,,,,3.775,1.879,,,,,,,,,,-4.862,4.762,-0.126,2.46,,,,,,,,,,5.31,0.0,,,0.0,5.31,0.0,0.0,,,,,4.372,71.446,1.546,36.906,,,,,,17.745,2.976,0.232,1.537,,,,,,2.312,28.554,0.333,14.75,,,,5.31,,2.312,28.554,0.333,14.75,,,,,,0.0,0.0,0.0,,,,4.576,63.708,1.44,32.909,,,,,,,,0.0,0.0,0.0,,,,,,51.656,,,2.312,28.554,0.333,14.75,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1973,,,,,,,11.564,5.974,,,,,,,,,,1.506,4.333,0.037,2.497,,,,,,,,,,5.756,0.0,,,0.0,5.756,0.0,0.0,,,,,12.829,72.256,4.735,41.641,,,,,,238.838,9.038,3.671,5.208,,,,,,8.399,27.744,1.239,15.989,,,,5.756,,8.399,27.744,1.239,15.989,,,,,,0.0,0.0,0.0,,,,3.119,58.885,1.026,33.935,,,,,,,,0.0,0.0,0.0,,,,,,57.629,,,8.399,27.744,1.239,15.989,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Middle Africa,1974,,,,,,,3.504,2.02,,,,,,,,,,-1.863,4.108,-0.047,2.45,,,,,,,,,,5.651,0.0,,,0.0,5.651,0.0,0.0,,,,,5.55,73.684,2.311,43.952,,,,,,14.576,10.005,0.759,5.968,,,,,,-1.824,26.316,-0.292,15.697,,,,5.651,,-1.824,26.316,-0.292,15.697,,,,,,0.0,0.0,0.0,,,,4.711,59.571,1.599,35.534,,,,,,,,0.0,0.0,0.0,,,,,,59.649,,,-1.824,26.316,-0.292,15.697,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
