iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MDA,Moldova,1992,,,,,,,,,,,,,,,,,,,,,,,,1.416,323.46,,,,,,,,,,,,,,,,2.55,14227.113,,,,,,,,24417023869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376804.0,62.269,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1993,-31.154,-0.441,,,,,-25.496,-15.876,,,,,,,,,,,,,,,,0.975,222.978,,,,,,,,,,,,,,,,1.958,10613.414,,,,,,,,23693266675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371155.0,46.393,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1994,-37.989,-0.37,,,,,-30.062,-13.947,,,,,,,,,,,,,,,,0.604,138.663,,,,,,,,,,,,,,,,2.017,7443.889,,,,,,,,16084185218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4358790.0,32.446,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1995,-71.171,-0.43,,,,,2.298,0.746,,,,,,,,,,,,,,,,0.174,40.143,,,,,,,,,,,,,,,,2.132,7646.861,,,,,,,,15569822188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340602.0,33.192,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1996,-7.221,-0.013,,,,,14.342,4.76,,,,,,,,,,,,,,,,0.162,37.454,,,,,,,,,,,,,,,,2.637,8792.929,,,,,,,,14391438404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316225.0,37.952,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1997,27.006,0.044,,,,,9.984,3.789,,,,,,,,,,,,,,,,0.205,47.899,,,,,,,,,,,,,,,,2.905,9737.948,,,,,,,,14366543996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286477.0,41.741,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1998,-83.333,-0.171,,,,,-6.98,-2.913,,,,,,,,,,,,,,,,0.034,8.043,,,,,,,,,,,,,,,,2.943,9125.64,,,,,,,,13191435189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254835.0,38.828,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,1999,-100.0,-0.034,,,,,-18.329,-7.117,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.533,7504.127,,,,,,,,12519937764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225835.0,31.711,,,,,,,,,,,,,,,,,,,,,
MDA,Moldova,2000,,0.0,,,,,3.907,1.239,0.0,0.0,,,,,,634.652,53.861,,,,,680.522,,0.0,0.0,7.11,0.0,2.86,4.92,2.06,0.39,0.0,0.0,0.0,0.0,0.39,0.0,0.0,5.31,3.37,2.625,7840.326,,,,,,1170.687,92.655,12554039951.0,38.795,,,,,490.166,,,,7.345,,,,,92.798,,7.345,0.39,92.798,,,,,,25.316,1.8,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1263.486,4202659.0,32.95,92.798,7.345,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2001,,0.0,,,,,-2.174,-0.716,0.0,0.0,,,,,,640.071,54.433,,,,,733.205,,0.0,0.0,7.14,0.0,3.07,5.28,2.21,0.36,0.0,0.0,0.0,0.0,0.36,0.0,0.0,5.64,3.61,2.463,7698.415,,,,,,1261.017,93.617,13087727904.0,39.184,,,,,527.812,,,,6.383,,,,,85.978,,6.383,0.36,85.978,,,,,,21.008,1.5,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1346.995,4187097.0,32.234,85.978,6.383,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2002,,0.0,,,,,10.127,3.264,0.0,0.0,,,,,,639.706,54.412,,,,,708.434,,0.0,0.0,7.68,0.0,2.96,5.09,2.13,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.44,3.48,2.562,8496.032,,,,,,1218.22,93.566,13857801831.0,39.154,,,,,509.785,,,,6.434,,,,,83.768,,6.434,0.35,83.768,,,,,,29.167,2.24,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1301.987,4178228.0,35.498,83.768,6.434,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2003,,0.0,,,,,11.058,3.925,0.0,0.0,,,,,,640.569,54.448,,,,,733.237,,0.0,0.0,9.07,0.0,3.06,5.26,2.2,0.36,0.0,0.0,0.0,0.0,0.36,0.0,0.0,5.62,3.6,2.716,9446.707,,,,,,1260.401,93.594,14513543534.0,39.146,,,,,527.164,,,,6.406,,,,,86.263,,6.406,0.36,86.263,,,,,,38.037,3.45,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1346.664,4173276.0,39.424,86.263,6.406,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2004,,0.0,,,,,-6.64,-2.618,0.0,0.0,,,,,,639.854,54.479,,,,,714.978,,0.0,0.0,8.41,0.0,2.98,5.12,2.14,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.47,3.5,2.405,8830.667,,,,,,1228.418,93.601,15302827107.0,39.122,,,,,513.44,,,,6.399,,,,,83.974,,6.399,0.35,83.974,,,,,,34.958,2.94,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1312.392,4167962.0,36.806,83.974,6.399,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2005,,0.0,,,,,9.469,3.485,0.0,0.0,,,,,,640.071,54.433,,,,,738.106,,0.0,0.0,8.78,0.0,3.07,5.28,2.21,0.36,0.0,0.0,0.0,0.0,0.36,0.0,0.0,5.64,3.61,2.494,9686.942,,,,,,1269.446,93.617,16157469934.0,39.184,,,,,531.34,,,,6.383,,,,,86.553,,6.383,0.36,86.553,,,,,,35.763,3.14,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1355.999,4159296.0,40.291,86.553,6.383,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2006,,0.0,,,,,5.828,2.348,0.0,0.0,,,,,,639.373,54.355,,,,,752.485,,0.0,0.0,9.25,0.0,3.12,5.37,2.25,0.37,0.0,0.0,0.0,0.0,0.37,0.0,0.0,5.74,3.67,2.564,10283.72,,,,,,1295.142,93.554,16628243209.0,39.199,,,,,542.657,,,,6.446,,,,,89.237,,6.446,0.37,89.237,,,,,,37.946,3.51,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1384.379,4146264.0,42.639,89.237,6.446,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2007,,0.0,,,,,-12.982,-5.535,0.0,0.0,,,,,,641.441,54.414,,,,,731.212,,0.0,0.0,8.48,0.0,3.02,5.2,2.18,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.55,3.56,2.206,8983.639,,,,,,1259.041,93.694,16819761639.0,39.279,,,,,527.829,,,,6.306,,,,,84.743,,6.306,0.35,84.743,,,,,,34.552,2.93,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1343.784,4130129.0,37.104,84.743,6.306,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2008,,0.0,,,,,3.29,1.221,0.0,0.0,,,,,,639.085,54.225,,,,,748.866,,0.0,0.0,8.64,0.0,3.08,5.3,2.22,0.38,0.0,0.0,0.0,0.0,0.38,0.0,0.0,5.68,3.63,2.151,9318.099,,,,,,1288.633,93.31,17815153138.0,39.085,,,,,539.767,,,,6.69,,,,,92.393,,6.69,0.38,92.393,,,,,,34.259,2.96,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1381.025,4112886.0,38.324,92.393,6.69,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2009,,0.0,,,,,-9.883,-3.788,0.0,0.0,,,,,,643.836,54.623,,,,,778.521,,0.0,0.0,7.3,0.0,3.19,5.49,2.3,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.84,3.76,2.1,8428.653,,,,,,1339.836,94.007,16449232601.0,39.384,,,,,561.316,,,,5.993,,,,,85.418,,5.993,0.35,85.418,,,,,,20.0,1.46,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1425.254,4097515.0,34.537,85.418,5.993,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2010,,0.0,,,,,-1.085,-0.375,0.0,0.0,,,,,,636.049,54.073,,,,,763.566,,0.0,0.0,7.23,0.0,3.12,5.37,2.25,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,5.77,3.67,1.974,8360.544,,,,,,1314.215,93.068,17302215313.0,38.995,,,,,550.649,,,,6.932,,,,,97.893,,6.932,0.4,97.893,,,,,,20.194,1.46,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1412.108,4086090.0,34.162,97.893,6.932,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MDA,Moldova,2011,,0.0,,,,,-3.106,-1.061,0.0,0.0,,,,,,641.026,54.396,,,,,728.09,,0.0,0.0,6.13,0.0,2.97,5.11,2.14,0.35,0.0,0.0,0.0,0.0,0.35,0.0,0.0,5.46,3.5,1.823,8114.628,,,,,,1252.707,93.59,18154272029.0,39.194,,,,,524.617,,,,6.41,,,,,85.802,,6.41,0.35,85.802,,,,,,10.93,0.67,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,1338.509,4079167.0,33.101,85.802,6.41,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
