iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MNE,Montenegro,2005,,,,,,,,,0.0,0.0,,,,,,299.652,34.843,,,,,1622.355,,,,4.66,0.0,1.0,1.0,0.0,1.87,0.0,0.0,0.0,0.0,1.87,0.0,0.0,2.87,0.86,,,,,,,,1622.355,34.843,5587145705.0,0.0,,,,,0.0,,,,65.157,,,,,3033.803,,65.157,1.87,3033.803,,,,,,38.412,1.79,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,4656.158,616388.0,,3033.803,65.157,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2006,,,,,,,,,0.0,0.0,,,,,,345.763,40.678,,,,,1942.178,,4.075,6595.959,4.82,0.0,1.2,1.2,0.0,1.75,0.0,0.0,0.0,0.0,1.75,0.0,0.0,2.95,1.02,2.4,24847.49,,,,,,1942.178,40.678,6395709425.0,0.0,,,,,0.0,,0.0,0.0,59.322,,,,,2832.343,,59.322,1.75,2832.343,,,,,,38.797,1.87,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4774.521,617863.0,15.352,2832.343,59.322,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2007,-20.437,-0.833,,0.0,,0.0,-10.056,-1.544,0.0,0.0,,,,,,345.794,40.187,,,,,1388.095,,3.243,5233.651,4.73,0.0,0.86,0.86,0.0,1.28,0.0,0.0,0.0,0.0,1.28,0.0,0.0,2.14,0.74,1.85,22287.923,,,,,,1388.095,40.187,7462959805.0,0.0,,,,,0.0,,0.0,0.0,59.813,,,,,2066.002,,59.813,1.28,2066.002,,,,,,54.757,2.59,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,3454.098,619554.0,13.809,2066.002,59.813,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2008,44.638,1.447,,0.0,,0.0,13.01,1.797,0.0,0.0,,,,,,388.693,45.583,,,,,2076.252,,4.69,7548.451,4.61,0.0,1.29,1.29,0.0,1.54,0.0,0.0,0.0,0.0,1.54,0.0,0.0,2.83,1.1,1.854,25116.34,,,,,,2076.252,45.583,8414771324.0,0.0,,,,,0.0,,0.0,0.0,54.417,,,,,2478.626,,54.417,1.54,2478.626,,,,,,38.612,1.78,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4554.877,621312.0,15.605,2478.626,54.417,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2009,-45.0,-2.11,,0.0,,0.0,-13.745,-2.145,0.0,0.0,,,,,,224.638,25.0,,,,,1107.663,,2.579,4140.845,3.81,0.0,0.69,0.69,0.0,2.07,0.0,0.0,0.0,0.0,2.07,0.0,0.0,2.76,0.62,1.608,21607.767,,,,,,1107.663,25.0,8371377798.0,0.0,,,,,0.0,,0.0,0.0,75.0,,,,,3322.99,,75.0,2.07,3322.99,,,,,,27.559,1.05,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4430.653,622933.0,13.46,3322.99,75.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2010,102.508,2.644,,0.0,,0.0,24.858,3.346,0.0,0.0,,,,,,276.119,31.592,,,,,2034.347,,5.224,8367.454,4.02,0.0,1.27,1.27,0.0,2.75,0.0,0.0,0.0,0.0,2.75,0.0,0.0,4.02,1.11,1.86,26920.755,,,,,,2034.347,31.592,9033098103.0,0.0,,,,,0.0,,0.0,0.0,68.408,,,,,4405.082,,68.408,2.75,4405.082,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,6439.429,624279.0,16.806,4405.082,68.408,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2011,1.806,0.094,,0.0,,0.0,-17.514,-2.943,0.0,0.0,,,,,,460.377,54.717,,,,,2318.994,,5.318,8505.055,4.21,0.0,1.45,1.45,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,2.65,1.22,1.414,22170.623,,,,,,2318.994,54.717,9801452451.0,0.0,,,,,0.0,,0.0,0.0,45.283,,,,,1919.168,,45.283,1.2,1919.168,,,,,,37.055,1.56,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4238.162,625271.0,13.863,1919.168,45.283,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2012,-9.478,-0.504,,0.0,,0.0,-2.86,-0.396,0.0,0.0,,,,,,407.018,48.07,,,,,2188.74,,4.814,7690.832,4.06,0.0,1.37,1.37,0.0,1.48,0.0,0.0,0.0,0.0,1.48,0.0,0.0,2.85,1.16,1.404,21513.935,,,,,,2188.74,48.07,9593080259.0,0.0,,,,,0.0,,0.0,0.0,51.93,,,,,2364.478,,51.93,1.48,2364.478,,,,,,29.803,1.21,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,4553.218,625931.0,13.466,2364.478,51.93,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2013,-5.263,-0.253,,0.0,,0.0,7.692,1.036,0.0,0.0,,,,,,314.721,36.548,,,,,2299.063,,4.561,7281.271,3.6,0.0,1.44,1.44,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,3.94,1.24,1.452,23153.6,,,,,,2299.063,36.548,9985414528.0,0.0,,,,,0.0,,0.0,0.0,63.452,,,,,3991.43,,63.452,2.5,3991.43,,,,,,-9.444,-0.34,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,6290.493,626342.0,14.502,3991.43,63.452,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
MNE,Montenegro,2014,-2.187,-0.1,,0.0,,0.0,-10.68,-1.549,0.0,0.0,,,,,,378.549,44.795,,,,,2266.018,,4.461,7118.546,3.43,0.0,1.42,1.42,0.0,1.75,0.0,0.0,0.0,0.0,1.75,0.0,0.0,3.17,1.2,1.269,20670.57,,,,,,2266.018,44.795,10205667552.0,0.0,,,,,0.0,,0.0,0.0,55.205,,,,,2792.627,,55.205,1.75,2792.627,,,,,,7.58,0.26,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,5058.645,626650.0,12.953,2792.627,55.205,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
