iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
NAM,Namibia,1990,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.38,7089.478,,,,,,,,7363138983.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1432899.0,10.159,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1991,,0.0,,0.0,,0.0,-46.871,-4.761,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.682,3655.585,,,,,,,,7919438250.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1476399.0,5.397,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1992,,0.0,,0.0,,0.0,-6.959,-0.376,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.585,3310.273,,,,,,,,8581783370.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1516951.0,5.022,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1993,,0.0,,0.0,,0.0,25.758,1.293,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.749,4060.815,,,,,,,,8429546979.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1555098.0,6.315,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1994,,0.0,,0.0,,0.0,-4.664,-0.295,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.665,3782.108,,,,,,,,9059104689.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1591826.0,6.02,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1995,,0.0,,0.0,,0.0,57.225,3.445,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.002,5814.767,,,,,,,,9444600555.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1627866.0,9.466,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1996,,0.0,,0.0,,0.0,-2.917,-0.276,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.941,5524.648,,,,,,,,9761131844.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1663378.0,9.19,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1997,,0.0,,0.0,,0.0,-3.4,-0.312,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.871,5227.89,,,,,,,,10188013655.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1698029.0,8.877,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1998,,0.0,,0.0,,0.0,9.863,0.876,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.925,5632.064,,,,,,,,10539251719.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1731635.0,9.753,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,1999,,0.0,,0.0,,0.0,33.906,3.307,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.197,7403.862,,,,,,,,10909878885.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1763861.0,13.059,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,2000,,0.0,,0.0,,0.0,-2.886,-0.377,0.0,0.0,,,,,,42.857,1.429,,,,,11.145,,0.0,0.0,1.97,0.0,0.02,0.03,0.0,1.37,0.0,0.01,0.0,0.0,1.37,0.0,0.0,1.4,0.06,1.122,7067.093,,,,,,16.717,2.143,11306642313.0,0.0,,,,,0.0,,0.0,0.0,97.857,,,,,763.409,,97.857,1.37,763.409,,,,,,28.934,0.57,0.0,,,,,0.0,,0.714,,,,,5.572,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,780.126,1794583.0,12.682,763.409,97.857,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2001,,0.0,,0.0,,0.0,15.737,1.996,0.0,0.0,,,,,,22.059,0.0,,,,,0.0,,0.0,0.0,2.16,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,1.36,0.03,1.281,8048.822,,,,,,0.0,0.0,11455887049.0,0.0,,,,,0.0,,0.0,0.0,100.0,,,,,745.75,,100.0,1.36,745.75,,,,,,37.037,0.8,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,745.75,1823667.0,14.678,745.75,100.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2002,,0.0,,0.0,,0.0,-3.849,-0.565,0.0,0.0,,,,,,20.69,0.0,,,,,0.0,,0.0,0.0,2.7,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,1.45,0.0,0.0,1.45,0.03,1.174,7622.64,,,,,,0.0,0.0,12022088092.0,0.0,,,,,0.0,,0.0,0.0,100.0,,,,,783.141,,100.0,1.45,783.141,,,,,,46.296,1.25,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,783.141,1851519.0,14.113,783.141,100.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2003,,0.0,,0.0,,0.0,5.428,0.766,0.0,0.0,,,,,,33.113,0.662,,,,,5.322,,0.0,0.0,2.84,0.0,0.01,0.01,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.51,0.05,1.218,7918.402,,,,,,5.322,0.662,12213628452.0,0.0,,,,,0.0,,0.0,0.0,99.338,,,,,798.249,,99.338,1.5,798.249,,,,,,46.831,1.33,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,803.571,1879113.0,14.88,798.249,99.338,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2004,,0.0,,0.0,,0.0,4.247,0.632,0.0,0.0,,,,,,25.157,0.0,,,,,0.0,,0.0,0.0,3.13,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,1.59,0.0,0.0,1.59,0.04,1.136,8130.808,,,,,,0.0,0.0,13656686384.0,0.0,,,,,0.0,,0.0,0.0,100.0,,,,,833.448,,100.0,1.59,833.448,,,,,,49.201,1.54,0.0,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,833.448,1907737.0,15.511,833.448,100.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2005,,0.0,,0.0,,0.0,5.425,0.842,0.0,0.0,,,,,,41.916,1.198,,,,,10.318,,0.0,0.0,3.34,0.0,0.02,0.03,0.0,1.64,0.0,0.01,0.0,0.0,1.64,0.0,0.0,1.67,0.07,1.166,8436.711,,,,,,15.477,1.796,14023657802.0,0.0,,,,,0.0,,0.0,0.0,98.204,,,,,846.095,,98.204,1.64,846.095,,,,,,50.0,1.67,0.0,,,,,0.0,,0.599,,,,,5.159,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,861.573,1938316.0,16.353,846.095,98.204,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2006,,0.0,,0.0,,0.0,-0.343,-0.056,0.0,0.0,,,,,,65.476,3.571,,,,,30.436,,0.0,0.0,3.59,0.0,0.06,0.09,0.0,1.59,0.0,0.03,0.0,0.0,1.59,0.0,0.0,1.68,0.11,1.084,8267.0,,,,,,45.655,5.357,15036091186.0,0.0,,,,,0.0,,0.0,0.0,94.643,,,,,806.567,,94.643,1.59,806.567,,,,,,53.203,1.91,0.0,,,,,0.0,,1.786,,,,,15.218,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,852.222,1971318.0,16.297,806.567,94.643,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2007,,0.0,,0.0,,0.0,2.903,0.473,0.0,0.0,,,,,,44.025,1.258,,,,,9.968,,0.0,0.0,3.6,0.0,0.02,0.03,0.0,1.56,0.0,0.01,0.0,0.0,1.56,0.0,0.0,1.59,0.07,1.057,8357.742,,,,,,14.951,1.887,15867124624.0,0.0,,,,,0.0,,0.0,0.0,98.113,,,,,777.467,,98.113,1.56,777.467,,,,,,55.833,2.01,0.0,,,,,0.0,,0.629,,,,,4.984,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,792.418,2006516.0,16.77,777.467,98.113,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2008,,0.0,,0.0,,0.0,5.397,0.905,0.0,0.0,,,,,,103.03,6.667,,,,,53.832,,0.0,0.0,3.75,0.0,0.11,0.17,0.0,1.48,0.0,0.06,0.0,0.0,1.48,0.0,0.0,1.65,0.17,1.084,8649.918,,,,,,83.195,10.303,16311734505.0,0.0,,,,,0.0,,0.0,0.0,89.697,,,,,724.289,,89.697,1.48,724.289,,,,,,56.0,2.1,0.0,,,,,0.0,,3.636,,,,,29.363,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,807.485,2043382.0,17.675,724.289,89.697,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
NAM,Namibia,2009,,0.0,,0.0,,0.0,1.926,0.34,0.0,0.0,,,,,,61.224,3.401,,,,,24.026,,0.0,0.0,3.6,0.0,0.05,0.08,0.0,1.39,0.0,0.03,0.0,0.0,1.39,0.0,0.0,1.47,0.09,1.1,8657.008,,,,,,38.442,5.442,16383498281.0,0.0,,,,,0.0,,0.0,0.0,94.558,,,,,667.936,,94.558,1.39,667.936,,,,,,59.167,2.13,0.0,,,,,0.0,,2.041,,,,,14.416,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,706.378,2081039.0,18.016,667.936,94.558,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
