iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
NZL,New Zealand,1900,,,,,,,,,,,,,,,,,,,,,,,,7.419,9182.235,,,,,,,,,,,,,,,,,,,,,,,,,5528757000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807964.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1901,12.249,0.909,,,,,,,,,,,,,,,,,,,,,,8.328,10069.821,,,,,,,,,,,,,,,,,,,,,,,,,5546344000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826989.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1902,10.993,0.915,,,,,,,,,,,,,,,,,,,,,,9.243,10905.844,,,,,,,,,,,,,,,,,,,,,,,,,5970456000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847539.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1903,4.182,0.387,,,,,,,,,,,,,,,,,,,,,,9.63,11072.749,,,,,,,,,,,,,,,,,,,,,,,,,6532845000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869673.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1904,8.31,0.8,,,,,,,,,,,,,,,,,,,,,,10.43,11687.649,,,,,,,,,,,,,,,,,,,,,,,,,6505505000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892385.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1905,3.121,0.326,,,,,,,,,,,,,,,,,,,,,,10.755,11745.671,,,,,,,,,,,,,,,,,,,,,,,,,7104789000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915690.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1906,9.079,0.977,,,,,,,,,,,,,,,,,,,,,,11.732,12486.029,,,,,,,,,,,,,,,,,,,,,,,,,7778012000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939604.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1907,5.838,0.685,,,,,,,,,,,,,,,,,,,,,,12.417,12878.653,,,,,,,,,,,,,,,,,,,,,,,,,8248128000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964142.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1908,1.638,0.203,,,,,,,,,,,,,,,,,,,,,,12.62,12756.521,,,,,,,,,,,,,,,,,,,,,,,,,7676172000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989321.0,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,1909,2.687,0.339,,,,,,,,,,,,,,,,,,,,,,12.959,12789.055,,,,,,,,,,,,,,,,,,,,,,,,,7785472000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013317.0,,,,,,,,,,,,,,,,,,,,,,
