iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
NIC,Nicaragua,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.01,2959.631,,,,,,,,9569442000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3265520.0,9.665,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1981,,0.0,,0.0,,0.0,-0.525,-0.051,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.953,2861.19,,,,,,,,10088520000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3360142.0,9.614,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1982,,0.0,,0.0,,0.0,-1.157,-0.111,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.95,2750.351,,,,,,,,9999360000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3455129.0,9.503,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1983,,0.0,,0.0,,0.0,-0.937,-0.089,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.9,2651.991,,,,,,,,10462228000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3549711.0,9.414,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1984,,0.0,,0.0,,0.0,-1.125,-0.106,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.904,2555.015,,,,,,,,10301112000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3642978.0,9.308,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1985,,0.0,,0.0,,0.0,13.113,1.221,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.066,2819.346,,,,,,,,9880260000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3734343.0,10.528,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1986,,0.0,,0.0,,0.0,-3.935,-0.414,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.034,2645.513,,,,,,,,9779728000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3823133.0,10.114,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1987,,0.0,,0.0,,0.0,4.627,0.468,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.09,2706.667,,,,,,,,9706884000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3909672.0,10.582,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1988,,0.0,,0.0,,0.0,1.453,0.154,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.263,2686.979,,,,,,,,8503192000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3995529.0,10.736,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,1989,,0.0,,0.0,,0.0,8.365,0.898,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.392,2849.391,,,,,,,,8356356000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4082958.0,11.634,,,,,,,,,,,,,,,,,,,,,
