iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Non-OECD,1965,,,,,,,,,,,,,,,,,,,47.104,,5976.658,,,,,,,,,,205.504,1.861,,,0.0,205.504,0.0,0.0,,,,,,95.389,,12103.087,,,,,,,12.441,,1578.472,,,,,,,4.499,,570.845,,,,207.364,,,4.54,,576.013,,,,,,0.041,,5.168,,,,,35.844,,4547.947,,,12110.695,,,,,0.0,,0.0,,,,,,12688.119,,,,4.499,,570.845,,,,0.0,,0.0,,,,,0.0,,0.0,,
,Non-OECD,1966,,,,,9.921,1201.54,6.398,811.782,,,,,,,,,,3.83,45.968,228.934,6205.591,,,,,,,,,,225.002,2.076,,,0.0,225.002,0.0,0.0,,,,,6.253,95.259,756.845,12859.931,,,,,,11.212,13.003,176.983,1755.455,,,,,,9.488,4.63,54.161,625.005,,,,227.078,,9.506,4.672,54.759,630.771,,,,,11.571,0.043,0.598,5.766,,,,7.716,36.288,350.928,4898.875,,,13312.235,,,,,0.0,0.0,0.0,,,,,,13499.902,,,9.488,4.63,54.161,625.005,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1967,,,,,7.619,1014.257,3.307,446.425,,,,,,,,,,-1.194,43.965,-74.076,6131.516,,,,,,,,,,226.83,2.292,,,0.0,226.83,0.0,0.0,,,,,3.426,95.369,440.574,13300.505,,,,,,10.401,13.896,182.592,1938.047,,,,,,0.812,4.518,5.078,630.083,,,,229.122,,0.9,4.564,5.678,636.449,,,,,10.407,0.046,0.6,6.366,,,,6.778,37.508,332.057,5230.932,,,14326.492,,,,,0.0,0.0,0.0,,,,,,13946.327,,,0.812,4.518,5.078,630.083,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1968,,,,,11.449,1640.251,4.674,651.917,,,,,,,,,,0.307,42.131,18.826,6150.342,,,,,,,,,,258.715,3.151,,,0.0,258.715,0.0,0.0,,,,,4.216,94.952,560.79,13861.295,,,,,,8.32,14.38,161.241,2099.287,,,,,,14.057,4.923,88.571,718.654,,,,261.866,,14.292,4.983,90.958,727.407,,,,,37.5,0.06,2.387,8.754,,,,7.278,38.441,380.723,5611.654,,,15966.744,,,,,0.0,0.0,0.0,,,,,,14598.244,,,14.057,4.923,88.571,718.654,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1969,,,,,9.839,1570.954,6.952,1014.941,,,,,,,,,,5.942,41.733,365.449,6515.791,,,,,,,,,,283.531,4.409,,,0.0,283.531,0.0,0.0,,,,,6.798,94.815,942.347,14803.642,,,,,,8.489,14.587,178.202,2277.489,,,,,,9.592,5.044,68.933,787.586,,,,287.939,,9.957,5.123,72.425,799.832,,,,,39.893,0.078,3.492,12.246,,,,7.105,38.495,398.695,6010.349,,,17537.697,,,,,0.0,0.0,0.0,,,,,,15613.185,,,9.592,5.044,68.933,787.586,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1970,,,,,11.727,2056.701,8.214,1282.496,,,,,,,,,,6.3,40.995,410.528,6926.318,,,,,,,,,,312.432,5.742,,,0.562,312.994,0.0,0.0,,,,,8.077,94.694,1195.637,15999.278,,,,,,9.229,14.724,210.199,2487.688,,,2514.954,,,10.193,5.137,80.28,867.866,,,,318.735,,10.695,5.24,85.545,885.377,,,,,30.239,0.094,3.703,15.949,,,,9.565,38.976,574.91,6585.259,,,19594.398,,,,,0.009,1.562,1.562,,,,,,16895.681,,,10.391,5.146,81.842,869.428,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1971,,,9.558,240.377,7.811,1530.564,7.349,1241.735,,,,,,,,,,6.197,40.555,429.222,7355.54,,,,,,,,,,328.75,6.45,,,2.242,330.992,0.0,0.0,,,,,7.433,94.768,1189.162,17188.441,,,,,,9.049,14.957,225.112,2712.8,,,2755.332,,,5.223,5.035,45.329,913.195,,,,337.442,,5.869,5.168,51.963,937.34,,,,,12.34,0.099,1.968,17.917,,,,8.122,39.256,534.828,7120.087,,,21124.963,,,,298.814,0.034,4.667,6.229,,,,,,18137.416,,,5.75,5.069,49.995,919.423,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1972,,,6.673,183.871,6.978,1474.159,6.054,1098.124,,,,,,,,,,3.574,39.606,262.9,7618.44,,,,,,,,,,347.284,11.033,,,2.239,349.523,0.0,0.0,,,,,6.008,94.726,1032.623,18221.063,,,,,,5.743,14.913,155.785,2868.585,,,2939.203,,,5.638,5.015,51.484,964.679,,,,360.556,,6.85,5.207,64.205,1001.546,,,,,71.053,0.159,12.731,30.648,,,,8.623,40.207,613.938,7734.024,,,22599.121,,,,-0.149,0.032,-0.009,6.219,,,,,,19235.541,,,5.599,5.047,51.475,970.898,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1973,,,9.762,286.929,12.135,2742.378,6.178,1188.309,,,,,,,,,,1.575,37.889,120.009,7738.449,,,,,,,,,,363.497,16.689,,,2.385,365.882,0.0,0.0,,,,,6.188,94.735,1127.516,19348.579,,,,,,10.264,15.487,294.43,3163.014,,,3226.131,,,4.669,4.944,45.037,1009.716,,,,382.572,,6.106,5.203,61.154,1062.7,,,,,51.267,0.227,15.712,46.36,,,,9.22,41.359,713.077,8447.101,,,25341.5,,,,6.517,0.032,0.405,6.625,,,,,,20423.85,,,4.68,4.976,45.442,1016.34,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Non-OECD,1974,,,9.783,315.611,1.372,347.674,4.73,966.102,,,,,,,,,,1.206,36.614,93.324,7831.773,,,,,,,,,,401.207,25.78,,,2.507,403.714,0.0,0.0,,,,,4.322,94.366,836.182,20184.762,,,,,,6.715,15.78,212.406,3375.42,,,3541.742,,,10.374,5.21,104.748,1114.464,,,,429.494,,12.265,5.578,130.339,1193.039,,,,,54.467,0.335,25.25,71.61,,,,6.28,41.971,530.452,8977.553,,,25689.174,,,,5.131,0.033,0.34,6.965,,,,,,21389.951,,,10.34,5.243,105.088,1121.429,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
