iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
MKD,North Macedonia,1990,,,,,,,,,0.0,0.0,,,,,,,89.739,,52.303,,15.467,2584.888,7748.038,,,5.83,0.0,5.16,5.26,0.0,0.49,0.0,0.1,0.0,0.0,0.49,0.0,0.0,5.75,,1.732,14813.801,,95.388,,28.208,14130.576,2634.983,91.478,17074264453.0,0.0,,0.0,,0.0,0.0,0.0,,,8.522,,4.612,,1.364,245.464,683.237,8.522,0.49,245.464,,4.612,,1.364,683.237,1.372,0.08,0.0,,0.0,,0.0,0.0,0.0,1.739,,43.085,,12.741,50.095,6382.538,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,2880.447,1996218.0,29.572,245.464,8.522,,4.612,,1.364,683.237,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
MKD,North Macedonia,1991,,,,,,,-0.934,-0.276,0.0,0.0,,,,,,,84.229,0.432,53.024,0.067,15.534,2438.163,7792.896,,,5.84,0.0,4.86,4.92,0.0,0.85,0.0,0.06,0.0,0.0,0.85,0.0,0.0,5.77,,1.821,14696.932,-4.494,91.959,-1.268,26.94,13515.209,2468.264,85.269,16091739428.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,14.731,72.709,8.041,0.992,2.356,426.428,1181.735,14.731,0.85,426.428,72.709,8.041,0.992,2.356,1181.735,1.199,0.07,0.0,,0.0,0.0,0.0,0.0,0.0,1.04,-10.475,38.935,-1.335,11.406,30.101,5722.313,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2894.691,1993304.0,29.295,426.428,14.731,72.709,8.041,0.992,2.356,1181.735,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1992,,,,,,,2.695,0.79,0.0,0.0,,,,,,,85.008,-0.587,51.33,-0.091,15.442,2594.713,7765.283,12.529,6300.044,6.34,0.0,5.16,5.22,0.0,0.85,0.0,0.06,0.0,0.0,0.85,0.0,0.0,6.07,,1.993,15128.273,2.931,92.17,0.79,27.729,13943.789,2624.884,85.997,15098989425.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,14.003,0.0,7.83,0.0,2.356,427.424,1184.495,14.003,0.85,427.424,0.0,7.83,0.0,2.356,1184.495,4.259,0.27,0.0,,0.0,0.0,0.0,0.0,0.0,0.988,7.721,40.841,0.881,12.287,30.171,6178.506,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3052.308,1988659.0,30.085,427.424,14.003,0.0,7.83,0.0,2.356,1184.495,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1993,-0.874,-0.11,,,,,0.336,0.101,0.0,0.0,,,,,,,88.224,0.497,51.412,0.077,15.519,2303.4,7822.083,12.419,6259.561,5.79,0.0,4.57,4.66,0.0,0.52,0.0,0.09,0.0,0.0,0.52,0.0,0.0,5.18,,2.151,15214.495,3.63,95.196,1.007,28.736,14483.668,2348.762,89.961,14032409060.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,10.039,-38.443,4.804,-0.906,1.45,262.094,730.839,10.039,0.52,262.094,-38.443,4.804,-0.906,1.45,730.839,10.535,0.61,0.0,,0.0,0.0,0.0,0.0,0.0,1.737,7.567,43.784,0.93,13.217,45.362,6661.585,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2610.856,1984024.0,30.186,262.094,10.039,-38.443,4.804,-0.906,1.45,730.839,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1994,-0.824,-0.102,,,,,-6.191,-1.869,0.0,0.0,,,,,,,87.71,3.876,56.929,0.602,16.121,2629.039,8134.75,12.317,6215.218,6.01,0.0,5.21,5.25,0.0,0.69,0.0,0.04,0.0,0.0,0.69,0.0,0.0,5.94,,2.046,14289.285,-8.175,93.182,-2.349,26.387,13315.11,2649.223,88.384,13843363076.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,11.616,33.142,6.818,0.481,1.931,348.184,974.186,11.616,0.69,348.184,33.142,6.818,0.481,1.931,974.186,1.165,0.07,0.0,,0.0,0.0,0.0,0.0,0.0,0.673,-22.326,36.253,-2.951,10.266,20.185,5180.36,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2997.407,1981713.0,28.317,348.184,11.616,33.142,6.818,0.481,1.931,974.186,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1995,5.671,0.698,,,,,0.672,0.19,0.0,0.0,,,,,,,86.297,3.142,58.326,0.507,16.627,2667.327,8383.819,13.015,6562.535,6.25,0.0,5.29,5.33,0.0,0.8,0.0,0.04,0.0,0.0,0.8,0.0,0.0,6.13,,2.073,14374.112,-0.395,92.195,-0.104,26.283,13252.232,2687.496,86.949,13754777966.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,13.051,15.252,7.805,0.294,2.225,403.376,1121.892,13.051,0.8,403.376,15.252,7.805,0.294,2.225,1121.892,1.92,0.12,0.0,,0.0,0.0,0.0,0.0,0.0,0.653,-5.948,33.869,-0.611,9.655,20.169,4868.413,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3090.872,1983259.0,28.508,403.376,13.051,15.252,7.805,0.294,2.225,1121.892,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1996,-1.435,-0.187,,,,,16.208,4.62,0.0,0.0,,,,,,,86.145,-3.246,48.562,-0.54,16.088,2875.18,8086.507,12.828,6448.284,6.61,0.0,5.72,5.79,0.0,0.85,0.0,0.07,0.0,0.0,0.85,0.0,0.0,6.64,,2.369,16651.908,17.062,92.873,4.484,30.767,15465.099,2910.365,87.199,13985296878.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,12.801,6.117,7.127,0.136,2.361,427.256,1186.822,12.801,0.85,427.256,6.117,7.127,0.136,2.361,1186.822,-0.454,-0.03,0.0,,0.0,0.0,0.0,0.0,0.0,1.054,52.033,44.311,5.024,14.679,35.186,7378.592,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3337.621,1989441.0,33.128,427.256,12.801,6.117,7.127,0.136,2.361,1186.822,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1997,-6.228,-0.799,,,,,-9.888,-3.276,0.0,0.0,,,,,,,85.587,-6.469,50.404,-1.041,15.047,2880.593,7524.974,12.03,6015.992,6.8,0.0,5.76,5.83,0.0,0.9,0.0,0.07,0.0,0.0,0.9,0.0,0.0,6.73,,2.095,14929.241,-11.098,91.625,-3.415,27.352,13678.994,2915.601,86.627,14249369122.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,13.373,5.882,8.375,0.139,2.5,450.093,1250.259,13.373,0.9,450.093,5.882,8.375,0.139,2.5,1250.259,1.029,0.07,0.0,,0.0,0.0,0.0,0.0,0.0,1.04,-16.171,41.221,-2.374,12.305,35.007,6154.02,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3365.693,1999588.0,29.852,450.093,13.373,5.882,8.375,0.139,2.5,1250.259,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1998,22.03,2.65,,,,,12.989,3.878,0.0,0.0,,,,,,,83.83,29.298,57.68,4.408,19.455,2937.3,9669.369,14.68,7295.829,7.05,0.0,5.91,5.97,0.0,1.08,0.0,0.06,0.0,0.0,1.08,0.0,0.0,7.05,,2.281,16763.932,12.318,91.081,3.369,30.722,15268.787,2967.12,84.681,14789551333.0,0.0,,0.568,0.192,0.191,0.0,95.177,,,15.319,20.333,8.919,0.508,3.008,536.765,1495.158,15.319,1.08,536.765,20.333,8.919,0.508,3.008,1495.158,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.851,-10.001,32.834,-1.231,11.075,29.82,5504.242,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3503.886,2012052.0,33.73,536.765,15.319,20.333,8.919,0.508,3.008,1495.158,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
MKD,North Macedonia,1999,-9.797,-1.438,,,,,-4.373,-1.475,0.0,0.0,,,,,,,79.3,-12.79,52.602,-2.488,16.967,2687.225,8381.231,13.241,6540.94,6.76,0.0,5.44,5.47,0.0,1.39,0.0,0.03,0.0,0.0,1.39,0.0,0.0,6.86,,2.08,15933.19,-7.568,88.038,-2.325,28.397,14027.281,2702.045,79.738,15508166868.0,0.0,85.0,1.098,0.163,0.354,0.0,175.003,,,20.262,28.255,11.962,0.85,3.858,686.626,1905.923,20.262,1.39,686.626,28.255,11.962,0.85,3.858,1905.923,-1.479,-0.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.437,0.007,34.337,0.001,11.076,14.819,5471.047,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3388.67,2024393.0,32.255,686.626,20.262,28.255,11.962,0.85,3.858,1905.923,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
