iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,OECD,1900,,,,,,,,,,,,,,,,,,,,,,,,5057.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1901,2.97,150.212,10.817,7.988,9.157,9.711,,,,,,,,,,,,,,,,,,5207.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1902,2.349,122.319,9.761,7.988,27.054,31.32,,,,,,,,,,,,,,,,,,5330.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1903,9.251,493.075,8.893,7.988,13.371,19.666,,,,,,,,,,,,,,,,,,5823.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1904,0.063,3.694,8.167,7.988,17.241,28.749,,,,,,,,,,,,,,,,,,5826.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1905,6.794,395.862,7.55,7.988,13.885,27.144,,,,,,,,,,,,,,,,,,6222.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1906,5.844,363.636,7.02,7.988,-5.605,-12.479,,,,,,,,,,,,,,,,,,6586.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1907,10.497,691.396,6.56,7.988,32.345,67.977,,,,,,,,,,,,,,,,,,7277.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1908,-5.704,-415.111,6.156,7.988,11.139,30.982,,,,,,,,,,,,,,,,,,6862.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,1909,4.765,327.034,5.799,7.988,3.014,9.316,,,,,,,,,,,,,,,,,,7189.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
