iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
PSE,Palestine,1997,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.172,947.686,,,,,,,,15853595188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872006.0,2.722,,,,,,,,,,,,,,,,,,,,,
PSE,Palestine,1998,,0.0,,,,,58.482,1.592,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.245,1437.536,,,,,,,,17641238653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000624.0,4.314,,,,,,,,,,,,,,,,,,,,,
PSE,Palestine,1999,,0.0,,,,,1.794,0.077,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.236,1407.393,,,,,,,,18589121213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119868.0,4.391,,,,,,,,,,,,,,,,,,,,,
PSE,Palestine,2000,,0.0,,,,,31.279,1.373,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,1787.936,,,,,,0.0,,16535485012.0,,,,,,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,,100.0,2.26,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,3224009.0,5.764,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,
PSE,Palestine,2001,,0.0,,,,,35.681,2.057,0.0,0.0,,,,,,333.333,0.0,,,,,0.0,,0.0,0.0,2.11,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.536,2362.937,,,,,,9.064,100.0,14595986280.0,100.0,,,,,9.064,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,98.578,2.08,0.0,,,,,0.0,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,9.064,3309908.0,7.821,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
PSE,Palestine,2002,,0.0,,,,,-7.406,-0.579,0.0,0.0,,,,,,571.429,0.0,,,,,0.0,,0.0,0.0,2.45,0.0,0.0,0.14,0.05,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.583,2142.472,,,,,,41.418,100.0,12429343604.0,35.714,,,,,14.792,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,94.286,2.31,0.0,,,,,0.0,,64.286,,,,,26.626,,,,0.0,0.0,,,,,0.0,0.0,,41.418,3380161.0,7.242,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
PSE,Palestine,2003,,0.0,,,,,7.269,0.526,0.0,0.0,,,,,,625.0,0.0,,,,,0.0,,0.0,0.0,2.64,0.0,0.0,0.32,0.12,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.32,0.2,0.564,2257.015,,,,,,92.973,100.0,13784762179.0,37.5,,,,,34.865,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,87.879,2.32,0.0,,,,,0.0,,62.5,,,,,58.108,,,,0.0,0.0,,,,,0.0,0.0,,92.973,3441868.0,7.768,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
PSE,Palestine,2004,,0.0,,,,,52.093,4.047,0.0,0.0,,,,,,621.622,0.0,,,,,0.0,,0.0,0.0,2.97,0.0,0.0,0.37,0.13,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.37,0.23,0.798,3370.621,,,,,,105.554,100.0,14801525769.0,35.135,,,,,37.086,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,87.542,2.6,0.0,,,,,0.0,,64.865,,,,,68.467,,,,0.0,0.0,,,,,0.0,0.0,,105.554,3505320.0,11.815,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
PSE,Palestine,2005,,0.0,,,,,22.554,2.665,0.0,0.0,,,,,,617.021,0.0,,,,,0.0,,0.0,0.0,3.33,0.0,0.0,0.47,0.17,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.47,0.29,0.907,4046.958,,,,,,131.36,100.0,15962718532.0,36.17,,,,,47.513,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,85.886,2.86,0.0,,,,,0.0,,63.83,,,,,83.847,,,,0.0,0.0,,,,,0.0,0.0,,131.36,3577956.0,14.48,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
PSE,Palestine,2006,,0.0,,,,,-11.704,-1.695,0.0,0.0,,,,,,636.364,0.0,,,,,0.0,,0.0,0.0,3.43,0.0,0.0,0.33,0.12,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.33,0.21,0.857,3490.907,,,,,,90.104,100.0,14923434018.0,36.364,,,,,32.765,,,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,90.379,3.1,0.0,,,,,0.0,,63.636,,,,,57.339,,,,0.0,0.0,,,,,0.0,0.0,,90.104,3662421.0,12.785,0.0,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
