iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
PAN,Panama,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,4.014,27232.652,,,,,,,,13424040000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,1978489.0,53.88,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1981,,0.0,,0.0,,0.0,1.237,0.667,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.731,26923.538,,,,,,,,14618687000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2025965.0,54.546,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1982,,0.0,,0.0,,0.0,-4.923,-2.685,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.415,25008.262,,,,,,,,15185760000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2073748.0,51.861,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1983,,0.0,,0.0,,0.0,1.209,0.627,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.51,24736.763,,,,,,,,14954066000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2121863.0,52.488,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1984,,0.0,,0.0,,0.0,2.597,1.363,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.527,24812.436,,,,,,,,15268616000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2170330.0,53.851,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1985,,0.0,,0.0,,0.0,-10.079,-5.428,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.017,21820.146,,,,,,,,16051872000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2219200.0,48.423,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1986,,0.0,,0.0,,0.0,3.109,1.505,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.979,22009.489,,,,,,,,16762536000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2268500.0,49.929,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1987,,0.0,,0.0,,0.0,3.748,1.871,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.999,22344.305,,,,,,,,17272821000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2318259.0,51.8,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1988,,0.0,,0.0,,0.0,-1.028,-0.533,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.303,21644.888,,,,,,,,15522386000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2368556.0,51.267,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,1989,,0.0,,0.0,,0.0,-2.609,-1.337,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.168,20637.006,,,,,,,,15760105000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,2419424.0,49.93,,,,,,,,,,,,,,,,,,,,,
