iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
PRY,Paraguay,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.496,2549.325,,,,,,,,16341148000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3181627.0,8.111,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1981,,0.0,,0.0,,0.0,-3.289,-0.267,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.441,2396.709,,,,,,,,17785296000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3272922.0,7.844,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1982,,0.0,,0.0,,0.0,-1.83,-0.144,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.437,2285.92,,,,,,,,17625100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3368763.0,7.701,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1983,,0.0,,0.0,,0.0,7.937,0.611,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.486,2396.375,,,,,,,,17109645000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3468533.0,8.312,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1984,,0.0,,0.0,,0.0,7.615,0.633,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.507,2504.673,,,,,,,,17643760000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3571275.0,8.945,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1985,,0.0,,0.0,,0.0,84.067,7.52,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.898,4478.691,,,,,,,,18342962000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3676206.0,16.465,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1986,,0.0,,0.0,,0.0,100.52,16.55,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.799,8726.959,,,,,,,,18352974000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3783074.0,33.015,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1987,,0.0,,0.0,,0.0,48.688,16.074,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.563,12613.692,,,,,,,,19149667000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,3891725.0,49.089,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1988,,0.0,,0.0,,0.0,4.054,1.99,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.508,12764.431,,,,,,,,20363574000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4001678.0,51.079,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1989,,0.0,,0.0,,0.0,24.368,12.447,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.95,15447.421,,,,,,,,21535528000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4112396.0,63.526,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1990,,0.0,,0.0,,0.0,6.525,4.145,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.049,16022.871,,,,,,,,22196120000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4223413.0,67.671,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1991,,0.0,,0.0,,0.0,6.005,4.063,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.144,16550.275,,,,,,,,22815096882.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4334348.0,71.735,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1992,,0.0,,0.0,,0.0,-5.691,-4.082,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,2.904,15219.796,,,,,,,,23297733521.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4445019.0,67.652,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1993,,0.0,,0.0,,0.0,12.924,8.744,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.138,16769.959,,,,,,,,24342777723.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4555518.0,76.396,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1994,,0.0,,0.0,,0.0,15.51,11.849,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.504,18911.985,,,,,,,,25181162588.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4666096.0,88.245,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1995,,0.0,,0.0,,0.0,15.32,13.519,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.82,21303.716,,,,,,,,26638152773.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4776838.0,101.764,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1996,,0.0,,0.0,,0.0,4.647,4.729,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,3.968,21788.356,,,,,,,,26836725555.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4887638.0,106.494,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,1997,,0.0,,0.0,,0.0,10.111,10.768,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,4.23,23461.224,,,,,,,,27719501947.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,4998096.0,117.261,,,,,,,,,,,,,,,,,,,,,
