iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
PER,Peru,1900,,,,,,,,,,,,,,,,,,,,,,,,0.391,105.841,,,,,,,,,,,,,,,,,,,,,,,,,3954432000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,119.701,,,,,,,,,,,3692024.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1901,-6.25,-0.024,,0.0,2.632,0.012,,,,,,,,,,,,,,,,,,0.366,98.119,,,,,,,,,,,,,,,,,,,,,,,,,4244406000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454,121.481,,,,,,,,,,,3733680.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1902,-100.0,-0.366,,0.0,-17.949,-0.081,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4515387000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372,98.488,,,,,,,,,,,3778753.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1903,,0.301,,0.0,15.625,0.058,,,,,,,,,,,,,,,,,,0.301,78.702,,,,,,,,,,,,,,,,,,,,,,,,,4818336000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,112.432,,,,,,,,,,,3827311.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1904,62.162,0.187,,0.0,5.405,0.023,,,,,,,,,,,,,,,,,,0.488,126.006,,,,,,,,,,,,,,,,,,,,,,,,,4982964000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454,117.005,,,,,,,,,,,3876494.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1905,25.0,0.122,,0.0,28.205,0.128,,,,,,,,,,,,,,,,,,0.611,155.509,,,,,,,,,,,,,,,,,,,,,,,,,5349645000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,148.104,,,,,,,,,,,3926308.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1906,6.667,0.041,,0.0,42.0,0.244,,,,,,,,,,,,,,,,,,0.651,163.772,,,,,,,,,,,,,,,,,,,,,,,,,5775112000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826,207.639,,,,,,,,,,,3976762.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1907,132.5,0.863,,0.0,40.845,0.337,,,,,,,,,,,,,,,,,,1.514,375.938,,,,,,,,,,,,,,,,,,,,,,,,,6135360000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.163,288.739,,,,,,,,,,,4027865.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1908,67.204,1.018,,0.0,26.0,0.302,,,,,,,,,,,,,,,,,,2.532,620.609,,,,,,,,,,,,,,,,,,,,,,,,,6248666000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.465,359.195,,,,,,,,,,,4079624.0,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,1909,13.183,0.334,,0.0,49.206,0.721,,,,,,,,,,,,,,,,,,2.866,693.519,,,,,,,,,,,,,,,,,,,,,,,,,6356260000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.186,529.146,,,,,,,,,,,4132020.0,,,,,,,,,,,,,,,,,,,,,,
