iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
POL,Poland,1900,,,,,,,,,,,,,,,,,,,,,,,,190.975,7846.077,,,,,,,,,,,,,,,,,,,,,,,,,66825000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.036,165.801,,,,,,,,,,,24340168.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1901,5.481,10.466,,0.0,16.715,0.675,,,,,,,,,,,,,,,,,,201.441,8216.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,192.11,,,,,,,,,,,24517983.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1902,-2.684,-5.407,,0.0,28.642,1.349,,,,,,,,,,,,,,,,,,196.035,7938.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.059,245.371,,,,,,,,,,,24694172.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1903,3.961,7.765,,0.0,29.175,1.768,,,,,,,,,,,,,,,,,,203.799,8195.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.827,314.733,,,,,,,,,,,24868705.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1904,0.648,1.32,,0.0,22.437,1.756,,,,,,,,,,,,,,,,,,205.12,8190.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.583,382.644,,,,,,,,,,,25044468.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1905,8.37,17.168,,0.0,-3.641,-0.349,,,,,,,,,,,,,,,,,,222.288,8813.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.234,366.126,,,,,,,,,,,25221471.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1906,5.498,12.222,,0.0,-7.179,-0.663,,,,,,,,,,,,,,,,,,234.509,9232.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.571,337.457,,,,,,,,,,,25399722.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1907,9.565,22.43,,0.0,52.782,4.524,,,,,,,,,,,,,,,,,,256.939,10044.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.095,511.954,,,,,,,,,,,25579229.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1908,4.559,11.714,,0.0,52.575,6.885,,,,,,,,,,,,,,,,,,268.653,10429.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98,775.635,,,,,,,,,,,25760003.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1909,1.802,4.841,,0.0,21.42,4.28,,,,,,,,,,,,,,,,,,273.494,10580.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.26,938.559,,,,,,,,,,,25848341.0,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,1910,-0.008,-0.022,,0.0,-15.34,-3.722,,,,,,,,,,,,,,,,,,273.472,10581.396,,,,,,,,,,,,,,,,,,,,,,,,,71778936000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.539,794.695,,,,,,,,,,,25844639.0,,,,,,,,,,,,,,,,,,,,,,
