iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
PRI,Puerto Rico,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.584,21454.118,,,,,,,,41858400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090688.0,66.308,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1981,,0.0,,,,,-0.634,-0.421,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.557,21040.132,,,,,,,,42304579000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3131507.0,65.887,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1982,,0.0,,,,,-0.093,-0.061,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.605,20776.179,,,,,,,,41023569000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3168344.0,65.826,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1983,,0.0,,,,,1.991,1.311,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.629,20967.978,,,,,,,,41211248000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201864.0,67.137,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1984,,0.0,,,,,-0.42,-0.282,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.512,20677.662,,,,,,,,44223350000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233169.0,66.854,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1985,,0.0,,,,,-0.048,-0.032,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.481,20477.659,,,,,,,,45132790000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3263173.0,66.822,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1986,,0.0,,,,,1.673,1.118,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.392,20639.603,,,,,,,,48819552000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291747.0,67.94,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1987,,0.0,,,,,0.282,0.192,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.33,20528.903,,,,,,,,51212280000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318838.0,68.132,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1988,,0.0,,,,,0.345,0.235,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.253,20435.148,,,,,,,,54560975000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345571.0,68.367,,,,,,,,,,,,,,,,,,,,,
PRI,Puerto Rico,1989,,0.0,,,,,-0.015,-0.01,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,1.194,20263.682,,,,,,,,57259992000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3373373.0,68.357,,,,,,,,,,,,,,,,,,,,,
