iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
ROU,Romania,1900,,,,,,,,,,,,,,,,,,,,,,,,0.169,15.489,,,,,,,,,,,,,,,,,,,,,,,,,6765000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.884,263.959,,,,,,,,,,,10926867.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1901,65.079,0.11,,0.0,20.161,0.582,,,,,,,,,,,,,,,,,,0.279,25.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.466,315.044,,,,,,,,,,,11000830.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1902,26.923,0.075,,0.0,8.725,0.302,,,,,,,,,,,,,,,,,,0.355,32.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.768,340.112,,,,,,,,,,,11079056.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1903,-6.818,-0.024,,0.0,27.16,1.023,,,,,,,,,,,,,,,,,,0.33,29.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.792,429.29,,,,,,,,,,,11161599.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1904,1.626,0.005,,0.0,28.883,1.384,,,,,,,,,,,,,,,,,,0.336,29.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.176,549.192,,,,,,,,,,,11244756.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1905,4.0,0.013,,0.0,28.437,1.756,,,,,,,,,,,,,,,,,,0.349,30.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.932,700.15,,,,,,,,,,,11328532.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1906,10.769,0.038,,0.0,42.375,3.361,,,,,,,,,,,,,,,,,,0.387,33.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.293,989.469,,,,,,,,,,,11412932.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1907,-11.111,-0.043,,0.0,18.229,2.059,,,,,,,,,,,,,,,,,,0.344,29.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.351,1161.184,,,,,,,,,,,11497961.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1908,25.781,0.089,,0.0,-0.784,-0.105,,,,,,,,,,,,,,,,,,0.433,37.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.247,1143.561,,,,,,,,,,,11583623.0,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,1909,-36.646,-0.159,,0.0,19.052,2.524,,,,,,,,,,,,,,,,,,0.274,23.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77,1352.366,,,,,,,,,,,11661263.0,,,,,,,,,,,,,,,,,,,,,,
