iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
RUS,Russia,1985,,,,,,,,,,,,,,,,,14.382,,24.199,,2303.885,967.79,16115.911,2160.92,15115.844,,,138.353,702.957,451.267,159.726,99.317,113.337,,0.0,159.726,0.0,0.0,962.0,,5.302,66597.386,,92.442,,8801.024,61564.013,4917.251,73.072,1795626512575.0,46.909,,37.402,,3560.848,3156.658,24908.495,4248.812,29720.853,16.604,,4.66,,443.684,1117.299,3103.609,26.928,259.043,1812.032,,7.558,,719.565,5033.426,,,10.324,,2.898,,275.881,694.733,1929.816,11.781,,30.841,,2936.284,792.804,20539.607,6307.019,44118.206,,0.0,,0.0,,0.0,,0.0,0.0,6729.283,142957280.0,9520.581,1117.299,16.604,,4.66,,443.684,3103.609,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
RUS,Russia,1986,3.427,74.057,8.87,376.859,3.481,219.528,1.766,168.139,,,,,,,,,14.384,2.716,24.425,62.576,2366.461,1000.301,16434.301,2234.977,15521.174,,,144.039,731.848,469.814,164.331,105.221,117.995,,0.0,164.331,0.0,0.0,1001.4,,5.265,67284.954,1.579,92.272,138.946,8939.97,62085.135,5082.439,73.082,1840205385700.0,46.916,1.16,37.179,41.295,3602.143,3262.701,25015.712,4625.671,32123.755,16.41,2.883,4.711,12.792,456.475,1141.224,3170.07,26.918,269.552,1871.953,4.057,7.728,29.193,748.757,5199.873,,,10.507,5.945,3.017,16.401,292.282,730.728,2029.803,11.783,1.195,30.668,35.075,2971.359,819.437,20635.121,6526.547,45324.706,,0.0,,0.0,0.0,0.0,,0.0,0.0,6954.392,143995344.0,9688.72,1141.224,16.41,2.883,4.711,12.792,456.475,3170.07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1987,0.811,18.115,8.211,379.802,1.479,96.517,3.275,317.328,,,,,,,,,14.284,1.526,24.011,36.103,2402.564,1031.444,16565.663,2253.092,15535.041,,,149.593,760.07,487.931,162.528,124.702,122.545,,0.0,162.528,0.0,0.0,1047.3,,5.442,68991.579,3.0,92.026,268.224,9208.195,63490.386,5240.673,72.574,1838644351479.0,46.589,5.769,38.077,207.824,3809.967,3364.28,26269.695,5005.473,34512.672,15.519,-1.097,4.512,-5.009,451.467,1120.628,3112.857,27.426,287.23,1980.448,6.558,7.974,49.104,797.862,5501.248,,,11.907,18.514,3.462,54.113,346.395,859.82,2388.391,11.701,0.818,29.938,24.297,2995.656,844.949,20655.027,6623.064,45665.943,,0.0,,0.0,0.0,0.0,,0.0,0.0,7221.12,145032896.0,10006.048,1120.628,15.519,-1.097,4.512,-5.009,451.467,3112.857,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1988,3.213,72.403,8.359,418.426,-0.123,-8.164,1.75,175.12,,,,,,,,,14.219,-1.476,23.25,-35.462,2367.102,1037.582,16211.542,2325.495,15926.573,,,151.501,769.763,494.153,160.924,134.814,124.108,,0.0,160.924,0.0,0.0,1065.5,,5.45,69727.589,1.645,91.931,151.489,9359.683,64101.497,5271.859,72.244,1868131716720.0,46.378,5.527,39.49,210.595,4020.562,3384.3,27535.574,5423.898,37146.556,15.103,-0.987,4.391,-4.456,447.01,1102.115,3061.432,27.756,295.737,2025.412,2.962,8.069,23.632,821.493,5626.148,,,12.653,8.109,3.678,28.088,374.483,923.297,2564.716,11.648,-0.789,29.191,-23.644,2972.012,849.977,20354.381,6614.9,45303.347,,0.0,,0.0,0.0,0.0,,0.0,0.0,7297.271,146013488.0,10181.168,1102.115,15.103,-0.987,4.391,-4.456,447.01,3061.432,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1989,-3.806,-88.514,4.408,239.1,-2.91,-192.511,0.372,37.892,,,,,,,,,14.269,-3.305,22.398,-78.235,2288.867,1045.877,15584.965,2236.98,15231.653,,,153.602,780.436,501.005,159.726,136.338,125.829,,0.0,159.726,0.0,0.0,1076.5,,5.433,69581.83,0.395,91.952,36.983,9396.667,63982.131,5314.005,72.497,1881091725604.0,46.54,1.487,39.929,59.774,4080.336,3411.356,27783.13,5662.999,38559.495,14.838,-0.744,4.342,-3.327,443.684,1087.578,3021.052,27.503,296.064,2015.91,0.111,8.048,0.908,822.402,5599.754,,,12.665,1.131,3.706,4.235,378.718,928.332,2578.702,11.689,1.866,29.626,55.444,3027.456,856.772,20614.036,6422.388,43730.199,,0.0,,0.0,0.0,0.0,,0.0,0.0,7329.915,146863920.0,10219.06,1087.578,14.838,-0.744,4.342,-3.327,443.684,3021.052,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1990,-3.527,-78.904,5.879,332.901,-6.58,-422.576,-1.761,-179.943,,,,,,,,,14.494,-7.368,21.12,-168.654,2120.213,1063.194,14371.264,2158.076,14627.893,,,156.855,796.964,511.616,166.846,118.325,128.494,,0.065,166.911,0.0,0.0,1082.2,,5.471,68047.247,-1.595,92.108,-149.863,9246.803,62676.778,5401.992,73.643,1834865200000.0,47.276,1.51,41.258,61.614,4141.95,3467.84,28075.033,5995.9,40641.469,15.417,4.457,4.617,19.777,463.46,1130.915,3141.432,26.357,285.236,1933.387,-3.658,7.892,-30.08,792.322,5370.524,,,10.934,-13.212,3.274,-50.037,328.681,802.032,2227.868,11.873,-1.415,29.73,-42.824,2984.632,870.958,20230.481,5999.812,40667.99,,0.441,,0.002,0.181,0.181,,0.006,1.224,7335.379,147531568.0,10039.117,1131.355,15.423,4.498,4.618,19.957,463.641,3142.656,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1991,-8.039,-173.491,-1.38,-82.765,-10.457,-627.404,-1.372,-137.783,,,,,,,,,14.486,-8.362,19.623,-177.303,1942.911,1045.544,13128.179,1984.585,13409.756,,,154.736,780.021,501.311,168.094,119.984,123.973,,0.065,168.159,0.0,0.0,1068.163,,5.57,66902.906,-1.577,91.916,-145.858,9100.945,61494.708,5270.566,73.024,1777486523641.0,46.932,2.598,42.919,107.598,4249.548,3387.338,28714.043,5913.134,39954.802,15.737,0.748,4.716,3.468,466.928,1135.804,3155.014,26.976,288.143,1946.969,1.019,8.084,8.075,800.397,5408.251,,,11.233,1.402,3.366,4.608,333.289,810.726,2252.017,11.606,-2.552,29.375,-76.153,2908.479,837.683,19652.485,5372.409,36301.142,,0.439,0.0,0.002,0.0,0.181,,0.006,1.22,7217.535,147995584.0,9901.335,1136.243,15.743,0.748,4.718,3.468,467.109,3156.234,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1992,-4.108,-81.519,0.156,9.196,-13.667,-734.248,-3.765,-372.808,,,,,,,,,15.282,-6.032,19.16,-117.205,1825.707,1039.407,12313.52,1903.066,12835.262,,,154.111,714.351,460.187,172.594,119.626,100.052,,0.063,172.657,0.0,0.0,1008.45,,6.128,64265.317,-4.223,91.479,-384.308,8716.637,58789.509,4817.952,70.837,1555013222609.0,45.633,-3.203,43.17,-136.099,4113.449,3103.742,27743.251,5922.33,39943.261,17.115,2.677,5.031,12.5,479.428,1164.063,3233.512,28.983,292.283,1971.308,1.437,8.521,11.501,811.898,5475.859,,,11.862,-0.298,3.487,-0.994,332.295,806.82,2241.167,9.921,-4.504,29.149,-131.005,2777.474,674.803,18732.738,4638.16,31282.153,,0.425,-3.077,0.002,-0.006,0.175,,0.006,1.18,6801.509,148268576.0,9528.527,1164.488,17.121,2.675,5.033,12.494,479.603,3234.692,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1993,-9.813,-186.749,-3.991,-236.341,-11.017,-510.964,-6.798,-647.766,,,,,,,,,15.513,-9.741,18.556,-177.837,1647.87,1000.121,11106.229,1716.317,11567.535,,,148.392,660.445,429.168,174.289,119.186,82.886,,0.06,174.349,0.0,0.0,956.587,,6.127,59854.058,-7.471,90.819,-651.244,8065.393,54358.683,4451.232,69.042,1449494329787.0,44.865,-0.291,46.184,-11.961,4101.488,2892.484,27642.999,5685.989,38322.111,18.22,0.982,5.452,4.708,484.136,1174.663,3262.956,30.686,293.535,1978.351,0.428,9.181,3.478,815.376,5495.423,,,12.46,-0.368,3.728,-1.222,331.072,803.283,2231.344,8.665,-16.614,26.079,-461.446,2316.029,558.628,15609.454,4127.196,27816.247,,0.404,-4.762,0.002,-0.008,0.167,,0.006,1.123,6447.152,148373584.0,8880.761,1175.068,18.226,0.98,5.453,4.7,484.303,3264.079,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RUS,Russia,1994,-11.002,-188.835,-1.779,-101.158,-10.51,-433.764,-8.78,-779.723,,,,,,,,,18.55,-12.54,17.791,-206.645,1441.225,1095.284,9715.078,1527.482,10296.513,,,162.485,599.497,363.742,175.926,97.82,73.27,,0.061,175.987,0.0,0.0,875.914,,6.253,54607.813,-8.988,90.611,-724.923,7340.469,49480.937,4041.117,68.443,1295583353421.0,41.527,-6.054,47.564,-248.287,3853.201,2451.929,25973.836,5584.831,37646.459,20.085,0.939,6.032,4.547,488.684,1185.889,3294.139,31.26,273.807,1845.689,-6.721,9.389,-54.8,760.576,5126.919,,,11.168,-17.927,3.354,-59.35,271.722,659.389,1831.638,8.365,-11.658,25.256,-269.992,2046.037,493.904,13792.023,3693.432,24896.839,,0.411,1.667,0.002,0.003,0.169,,0.007,1.142,5904.397,148349440.0,8101.038,1186.3,20.092,0.939,6.034,4.55,488.853,3295.282,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
