iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
RWA,Rwanda,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.124,205.913,,,,,,,,8591535216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5153314.0,1.061,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1981,,0.0,,,,,79.044,0.839,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.21,356.505,,,,,,,,9053313794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5329250.0,1.9,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1982,,0.0,,,,,0.196,0.004,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.207,345.81,,,,,,,,9206470560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5504847.0,1.904,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1983,,0.0,,,,,11.752,0.224,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.218,373.81,,,,,,,,9744708456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5690989.0,2.127,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1984,,0.0,,,,,50.583,1.076,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.344,542.693,,,,,,,,9308494586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5902847.0,3.203,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1985,,0.0,,,,,2.005,0.064,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.337,531.596,,,,,,,,9696520494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6146884.0,3.268,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1986,,0.0,,,,,-0.133,-0.004,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.323,506.431,,,,,,,,10109706974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6443748.0,3.263,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1987,,0.0,,,,,0.485,0.016,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.325,483.651,,,,,,,,10096805888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6779981.0,3.279,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1988,,0.0,,,,,-0.384,-0.013,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.322,460.845,,,,,,,,10131944120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7088194.0,3.267,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,1989,,0.0,,,,,3.059,0.1,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.335,462.621,,,,,,,,10042057512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7276983.0,3.366,,,,,,,,,,,,,,,,,,,,,
