iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SAU,Saudi Arabia,1965,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,5.063,48546.122,,100.0,,235.14,48546.161,,,46439224744.0,,,2.553,,6.004,,1239.567,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,97.447,,229.136,,47306.594,1291.211,266579.122,,0.0,,0.0,,0.0,,,0.0,,4843632.0,235.14,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
SAU,Saudi Arabia,1966,,,,,17.964,231.956,1.353,3.182,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.48,47518.409,1.353,100.0,3.182,238.322,47518.447,,,53195043990.0,,20.253,3.03,1.216,7.22,,1439.581,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.858,96.97,1.966,231.102,,46078.866,1523.167,303700.928,,0.0,,0.0,0.0,0.0,,,0.0,,5015353.0,238.322,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1967,,,,,7.878,120.001,1.445,3.443,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,4.177,46536.885,1.445,100.0,3.443,241.765,46536.922,,,57878675796.0,,20.461,3.597,1.477,8.697,,1674.119,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.851,96.403,1.966,233.068,,44862.803,1643.169,316290.589,,0.0,,0.0,0.0,0.0,,,0.0,,5195124.0,241.765,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1968,,,,,9.156,150.442,1.552,3.753,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.895,45569.072,1.552,100.0,3.753,245.518,45569.108,,,63038983056.0,,20.262,4.26,1.762,10.46,,1941.324,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.854,95.74,1.991,235.059,,43627.784,1793.611,332900.855,,0.0,,0.0,0.0,0.0,,,0.0,,5387822.0,245.518,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1969,,,,,5.53,99.182,1.688,4.145,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.678,44583.362,1.688,100.0,4.145,249.663,44583.397,,,67871505086.0,,20.391,5.044,2.133,12.592,,2248.654,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.856,94.956,2.012,237.071,,42334.743,1892.793,338004.222,,0.0,,0.0,0.0,0.0,,,0.0,,5599909.0,249.663,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1970,,,,,18.077,342.162,5.284,13.193,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.54,45037.351,5.284,100.0,13.193,262.856,45037.387,,,74243296803.0,,21.992,5.844,2.769,15.362,,2632.024,15.362,2632.022,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,4.397,94.156,10.423,247.494,,42405.363,2234.955,382934.533,,0.0,,0.0,0.0,0.0,,,0.0,,5836388.0,262.855,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1971,,,-16.574,-2.546,25.302,565.488,0.158,0.416,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.1,43154.864,0.158,100.0,0.416,263.272,43154.898,,,84937216086.0,,-16.574,4.868,-2.546,12.815,,2100.686,12.815,2100.684,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,1.197,95.132,2.962,250.456,,41054.212,2800.442,459041.449,,0.0,,0.0,0.0,0.0,,,0.0,,6100631.0,263.272,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1972,,,13.343,1.71,26.345,737.781,7.178,18.897,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.88,44137.378,7.178,100.0,18.897,282.169,44137.414,,,97984580328.0,,13.343,5.148,1.71,14.526,,2272.106,14.526,2272.104,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,6.862,94.852,17.187,267.644,,41865.308,3538.224,553455.123,,0.0,,0.0,0.0,0.0,,,0.0,,6392973.0,282.169,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1973,,,17.724,2.574,26.224,927.866,6.674,18.831,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.566,44845.627,6.674,100.0,18.831,301.001,44845.663,,,117324598944.0,,17.724,5.681,2.575,17.1,,2547.707,17.1,2547.705,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,6.074,94.319,16.257,283.9,,42297.956,4466.09,665396.549,,0.0,,0.0,0.0,0.0,,,0.0,,6711922.0,301.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,1974,,,26.556,4.541,11.883,530.706,6.097,18.353,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.365,45269.306,6.097,100.0,18.353,319.354,45269.342,,,135018031659.0,,26.556,6.776,4.541,21.641,,3067.676,21.641,3067.673,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,4.865,93.224,13.812,297.713,,42201.667,4996.796,708310.055,,0.0,,0.0,0.0,0.0,,,0.0,,7054532.0,319.354,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
