iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SEN,Senegal,1980,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.876,1835.079,,,,,,,,11696173720.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5583157.0,10.246,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1981,,0.0,,0.0,,0.0,-0.273,-0.028,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.88,1779.923,,,,,,,,11610720981.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5740441.0,10.218,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1982,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.764,1728.934,,,,,,,,13375981144.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,5909734.0,10.218,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1983,,0.0,,0.0,,0.0,-5.882,-0.601,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.701,1579.178,,,,,,,,13711421407.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6089567.0,9.617,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1984,,0.0,,0.0,,0.0,25.342,2.437,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.922,1920.147,,,,,,,,13074190272.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6277420.0,12.054,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1985,,0.0,,0.0,,0.0,-5.26,-0.634,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.842,1764.646,,,,,,,,13570220000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6471329.0,11.42,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1986,,0.0,,0.0,,0.0,2.632,0.301,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.824,1756.964,,,,,,,,14225652060.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6670665.0,11.72,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1987,,0.0,,0.0,,0.0,1.207,0.141,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.801,1725.132,,,,,,,,14808651776.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,6875746.0,11.862,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1988,,0.0,,0.0,,0.0,-14.281,-1.694,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.653,1434.764,,,,,,,,15564026685.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7086624.0,10.168,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1989,,0.0,,0.0,,0.0,3.377,0.343,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.687,1439.176,,,,,,,,15304410000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7303511.0,10.511,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1990,,0.0,,0.0,,0.0,1.218,0.128,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.665,1413.577,,,,,,,,15993263368.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7526306.0,10.639,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,1991,,0.0,,0.0,,0.0,-7.665,-0.815,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.602,1266.652,,,,,,,,16307770938.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,7755503.0,9.824,,,,,,,,,,,,,,,,,,,,,
