iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
SRB,Serbia,1990,,,,,,,,,0.0,0.0,,,,,,,72.569,,,,,2971.313,,,,36.95,0.0,28.28,31.48,1.32,7.49,0.0,1.88,0.0,0.0,7.49,0.0,0.0,38.97,,,,,,,,,3307.53,80.78,75948516338.0,3.387,,,,,138.689,,,,19.22,,,,,786.957,,19.22,7.49,786.957,,,,,,-5.467,-2.02,0.0,,,,,0.0,,4.824,,,,,197.527,,,,0.0,0.0,,,,,0.0,0.0,,4094.487,9517677.0,,786.957,19.22,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1991,,,,,,,,,0.0,0.0,,,,,,,66.1,,,,,2592.972,,,,35.4,0.0,24.9,28.1,1.32,9.57,0.0,1.88,0.0,0.0,9.57,0.0,0.0,37.67,,,,,,,,,2926.206,74.595,68665329585.0,3.504,,,,,137.459,,,,25.405,,,,,996.576,,25.405,9.57,996.576,,,,,,-6.412,-2.27,0.0,,,,,0.0,,4.991,,,,,195.775,,,,0.0,0.0,,,,,0.0,0.0,,3922.782,9602879.0,,996.576,25.405,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1992,,,,,,,,,0.0,0.0,,,,,,,69.746,,,,,2466.719,,99.657,10272.688,33.91,0.0,23.93,25.14,0.59,9.17,0.0,0.62,0.0,0.0,9.17,0.0,0.0,34.31,,,,,,,,,2591.447,73.273,50650013986.0,1.72,,,,,60.818,,9.175,945.811,26.727,,,,,945.249,,26.727,9.17,945.249,,,,,,-1.18,-0.4,0.0,,,,,0.0,,1.807,,,,,63.91,,14.379,1482.146,0.0,0.0,,,,,0.0,0.0,,3536.696,9701145.0,,945.249,26.727,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1993,-4.528,-4.512,13.713,1.258,-0.273,-0.039,,,0.0,0.0,,,,,,,70.861,,,,,2167.376,,95.145,9713.347,28.96,0.0,21.23,21.9,0.37,8.06,0.0,0.3,0.0,0.0,8.06,0.0,0.0,29.96,,,,,,,,,2235.777,73.097,36015633659.0,1.235,,,,,37.773,,10.434,1065.181,26.903,,,,,822.848,,26.903,8.06,822.848,,,,,,-3.453,-1.0,0.0,,,,,0.0,,1.001,,,,,30.627,,14.339,1463.896,0.0,0.0,,,,,0.0,0.0,,3058.624,9795253.0,,822.848,26.903,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1994,-8.479,-8.067,-18.17,-1.896,10.842,1.555,,,0.0,0.0,,,,,,,69.273,,,,,2164.956,,87.077,8829.916,29.57,0.0,21.35,21.9,0.31,8.92,0.0,0.24,0.0,0.0,8.92,0.0,0.0,30.82,,,,,,,,,2220.728,71.058,37817210022.0,1.006,,,,,31.435,,8.538,865.767,28.942,,,,,904.516,,28.942,8.92,904.516,,,,,,-4.227,-1.25,0.0,,,,,0.0,,0.779,,,,,24.337,,15.894,1611.694,0.0,0.0,,,,,0.0,0.0,,3125.244,9861631.0,,904.516,28.942,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1995,-20.603,-17.941,15.108,1.29,-7.845,-1.247,,,0.0,0.0,,,,,,,67.371,,,,,2193.412,,69.137,6994.693,31.78,0.0,21.68,22.28,0.35,9.9,0.0,0.25,0.0,0.0,9.9,0.0,0.0,32.18,,,,,,,,,2254.115,69.236,40959922067.0,1.088,,,,,35.41,,9.828,994.296,30.764,,,,,1001.604,,30.764,9.9,1001.604,,,,,,-1.259,-0.4,0.0,,,,,0.0,,0.777,,,,,25.293,,14.647,1481.872,0.0,0.0,,,,,0.0,0.0,,3255.719,9884145.0,,1001.604,30.764,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1996,60.103,41.553,-25.949,-2.55,0.274,0.04,,,0.0,0.0,,,,,,,61.591,,,,,2019.062,,110.69,11230.644,34.07,0.0,19.9,20.83,0.51,11.48,0.0,0.42,0.0,0.0,11.48,0.0,0.0,32.31,,,,,,,,,2113.42,64.469,44013042703.0,1.578,,,,,51.745,,7.278,738.385,35.531,,,,,1164.765,,35.531,11.48,1164.765,,,,,,5.166,1.76,0.0,,,,,0.0,,1.3,,,,,42.613,,14.687,1490.166,0.0,0.0,,,,,0.0,0.0,,3278.185,9856064.0,,1164.765,35.531,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1997,0.951,1.052,2.534,0.184,-8.763,-1.287,,,0.0,0.0,,,,,,,66.951,,,,,2407.844,,111.742,11420.125,36.01,0.0,23.56,24.69,0.56,10.5,0.0,0.57,0.0,0.0,10.5,0.0,0.0,35.19,,,,,,,,,2523.33,70.162,48378787244.0,1.591,,,,,57.232,,7.462,762.615,29.838,,,,,1073.105,,29.838,10.5,1073.105,,,,,,2.277,0.82,0.0,,,,,0.0,,1.62,,,,,58.254,,13.4,1369.502,0.0,0.0,,,,,0.0,0.0,,3596.435,9784689.0,,1073.105,29.838,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1998,2.6,2.905,36.919,2.755,-9.305,-1.247,,,0.0,0.0,,,,,,,68.351,,,,,2486.209,,114.648,11837.148,35.68,0.0,24.08,24.91,0.52,10.32,0.0,0.31,0.0,0.0,10.32,0.0,0.0,35.23,,,,,,,,,2571.904,70.707,50685451365.0,1.476,,,,,53.689,,10.217,1054.863,29.293,,,,,1065.518,,29.293,10.32,1065.518,,,,,,1.261,0.45,0.0,,,,,0.0,,0.88,,,,,32.007,,12.153,1254.799,0.0,0.0,,,,,0.0,0.0,,3637.422,9685430.0,,1065.518,29.293,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
SRB,Serbia,1999,-25.011,-28.674,-27.919,-2.852,0.0,0.0,,,0.0,0.0,,,,,,,61.499,,,,,1978.953,,85.973,8973.491,32.7,0.0,18.96,19.69,0.36,11.14,0.0,0.37,0.0,0.0,11.14,0.0,0.0,30.83,,,,,,,,,2055.147,63.866,42474166038.0,1.168,,,,,37.575,,7.364,768.654,36.134,,,,,1162.739,,36.134,11.14,1162.739,,,,,,5.719,1.87,0.0,,,,,0.0,,1.2,,,,,38.619,,12.153,1268.499,0.0,0.0,,,,,0.0,0.0,,3217.886,9580824.0,,1162.739,36.134,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,
